effects at time horizon,,,,Risk profile: NEUTRAL,,,,,,Risk profile: UPSIDE sceptical,,,,,,Risk profile: DOWNSIDE CRITICAL,,,,,,Risk profile: COMBINED,,,,,,Risk profile: DMREU,,,,,,"Risk profile: WLU (low, 0.01)",,,,,,"Risk profile: WLU (moderate, 0.05)",,,,,,"Risk profile: WLU (high, 0.1)",,,,,,Risk profile: AMBIGUITY AVERSION,,,,,
project_id,near_term_xrisk,effect_id,recipient_type,neutral_t0,neutral_t1,neutral_t2,neutral_t3,neutral_t4,neutral_t5,upside_t0,upside_t1,upside_t2,upside_t3,upside_t4,upside_t5,downside_t0,downside_t1,downside_t2,downside_t3,downside_t4,downside_t5,combined_t0,combined_t1,combined_t2,combined_t3,combined_t4,combined_t5,dmreu_t0,dmreu_t1,dmreu_t2,dmreu_t3,dmreu_t4,dmreu_t5,wlu - low_t0,wlu - low_t1,wlu - low_t2,wlu - low_t3,wlu - low_t4,wlu - low_t5,wlu - moderate_t0,wlu - moderate_t1,wlu - moderate_t2,wlu - moderate_t3,wlu - moderate_t4,wlu - moderate_t5,wlu - high_t0,wlu - high_t1,wlu - high_t2,wlu - high_t3,wlu - high_t4,wlu - high_t5,ambiguity_t0,ambiguity_t1,ambiguity_t2,ambiguity_t3,ambiguity_t4,ambiguity_t5
sentinel_bio,FALSE,effect_human_lives_extinction,human_life_years,160.8,1565,7033,7.804e+04,4.738e+05,1.819e+19,85.06,1058,4880,5.229e+04,3.145e+05,-2.049e+18,79.12,779,3476,3.823e+04,2.32e+05,9.997e+18,-65.72,-414.7,-1758,-2.137e+04,-1.321e+05,-1.047e+19,-9.044,-7.718,7.901,-548.2,-4192,-2.922e+18,63.44,667.3,2980,3.229e+04,1.93e+05,5.365e+18,44.23,430.8,1772,1.621e+04,8.378e+04,-3.619e+18,22.05,159.1,406.3,-1184,-2.995e+04,-6.052e+18,17.78,388.5,1878,1.933e+04,1.151e+05,-2.094e+18
sentinel_bio_100m_1b,FALSE,effect_human_lives_sub_ext_100m_1b,human_life_years,1121,2822,3003,1619,0.2498,0,1006,2626,2634,853.7,-0.009613,0,552.5,1393,1490,803.2,0.2113,0,5.109,269.6,-153.9,-758.5,-0.04913,0,105.3,405.5,202.9,-116.1,-0.01429,0,458.4,1204,1194,574.5,0.1087,0,315.5,809.8,770.4,347,0.08287,0,145.6,335.1,280,98.24,0.05414,0,586.7,1730,1393,75.15,-0.009826,0
sentinel_bio_10m_100m,FALSE,effect_human_lives_sub_ext_10m_100m,human_life_years,282.4,712.9,757.5,404.3,0.05761,0,253.6,663,664,212.2,-0.007479,0,138.9,352.2,381.6,203.9,0.02769,0,1.425,67.53,-31.82,-184.8,-0.03823,0,26.6,102.2,53.08,-27.73,-0.01137,0,116.7,307.6,306.3,146.2,0.0198,0,85.95,221.6,213.7,96.31,0.01382,0,48.81,116.7,104.1,40.09,0.006966,0,148.1,436.2,352.4,20.05,-0.007646,0
sentinel_bio_1b_8b,FALSE,effect_human_lives_sub_ext_1b_8b,human_life_years,1272,3201,3409,1842,0.2837,0,1178,3055,3110,1053,-0.02255,0,628,1583,1714,938.9,0.1935,0,73.88,476.9,21.72,-794.8,-0.1153,0,144.4,533.8,295.7,-111,-0.03404,0,520.4,1367,1362,660.6,0.1112,0,358.5,920.1,882.9,402.8,0.07965,0,165.5,380.5,326.8,120.7,0.04449,0,731.8,2131,1755,128.7,-0.02305,0
longview_nuclear,FALSE,effect_human_lives_extinction,human_life_years,133.2,1360,6591,7.581e+04,4.605e+05,1.524e+19,64.77,888.2,4539,5.078e+04,3.057e+05,-3.108e+18,63.74,663.2,3281,3.768e+04,2.286e+05,2.809e+18,-61.36,-404.8,-1652,-2.015e+04,-1.248e+05,-1.589e+19,-9.743,-22.33,2.31,-365.1,-3075,-4.559e+18,50.97,569.5,2800,3.156e+04,1.887e+05,2.263e+18,35.23,365.3,1673,1.602e+04,8.31e+04,-6.662e+18,17.13,131.5,400.6,-789,-2.691e+04,-9.278e+18,9.651,307.5,1732,1.884e+04,1.122e+05,-3.177e+18
longview_nuclear_100m_1b,FALSE,effect_human_lives_sub_ext_100m_1b,human_life_years,936.5,2575,3064,1710,0.3476,0,824.3,2385,2704,950.1,-0.01361,0,461.6,1270,1521,847.5,0.2932,0,-37.34,213.3,-105,-761,-0.06954,0,67.44,350.9,230.8,-111.5,-0.02015,0,374.5,1091,1228,609.7,0.1509,0,257.3,734.2,795.2,369.5,0.1146,0,119,306.2,292.1,106,0.07426,0,448.1,1548,1472,120.2,-0.01391,0
longview_nuclear_10m_100m,FALSE,effect_human_lives_sub_ext_10m_100m,human_life_years,235.7,650.3,773.2,427.3,0.07538,0,207.8,602.1,682.2,237.6,-0.0112,0,116,320.8,389,215.5,0.03059,0,-9.173,53.36,-20.26,-185,-0.05723,0,17.04,88.41,59.93,-26.42,-0.01702,0,95.27,278.6,315,155.3,0.02442,0,70.1,200.9,220.3,102.6,0.01631,0,39.87,106.3,107.9,43.13,0.007008,0,113.1,390.2,372.5,31.49,-0.01145,0
longview_nuclear_1b_8b,FALSE,effect_human_lives_sub_ext_1b_8b,human_life_years,1062,2921,3478,1946,0.3808,0,968.5,2779,3189,1169,-0.03301,0,524.6,1442,1746,991.6,0.2488,0,14.43,396.7,77.47,-788.8,-0.1687,0,95.64,463.4,329.3,-103.4,-0.04977,0,424.9,1238,1400,701.4,0.1463,0,292.2,833.9,910,429.2,0.1032,0,135.2,347.2,339.3,130.5,0.0553,0,563.2,1909,1848,186.8,-0.03374,0
longview_ai,TRUE,effect_human_lives_extinction,human_life_years,590.9,4245,1.762e+04,1.932e+05,1.172e+06,4.924e+19,398.1,3382,1.433e+04,1.511e+05,9.062e+05,-2.874e+19,-1267,-8817,-3.615e+04,-3.938e+05,-2.384e+06,-6.572e+19,-1923,-1.259e+04,-5.129e+04,-5.686e+05,-3.457e+06,-1.469e+20,-505,-3148,-1.268e+04,-1.415e+05,-8.62e+05,-4.295e+19,-221.4,-1603,-6720,-7.64e+04,-4.773e+05,-2.021e+19,-378.6,-2946,-1.296e+04,-1.573e+05,-1.023e+06,-5.941e+19,-558.6,-4458,-1.98e+04,-2.41e+05,-1.56e+06,-6.942e+19,-24.65,759.2,3671,3.15e+04,1.782e+05,-2.937e+19
longview_ai_100m_1b,TRUE,effect_human_lives_sub_ext_100m_1b,human_life_years,302.9,565.6,581.6,324.4,0.0837,0,246,479.9,425.7,36.77,-0.008374,0,-613.2,-1166,-1215,-655.1,0.0502,0,-886.3,-1631,-1848,-1196,-0.0428,0,-225.1,-404.2,-485.5,-323.6,-0.01272,0,-102.4,-201.7,-207.2,-106,0.03121,0,-174,-346,-358.2,-190.3,0.02234,0,-257.8,-514.8,-531,-283.6,0.01229,0,50.17,139.3,-11.5,-194.8,-0.00856,0
