fund,display_name,tier_name,n_samples,mean,p1,p5,p10,p50,p90,p95,p99
sentinel_bio,Sentinel Bio,,1000000,3.6384960838009733e+19,-20856590884.215942,-32.04477985698238,0.0,0.0,14679893076.380676,126206793390.4496,1.086074972810519e+16
sentinel_bio_100m_1b,100M-1B deaths,100M-1B deaths,1000000,17131.53853522311,-52121.75015559884,-13.399260319812443,0.0,0.0,46904.893609370076,101259.23925062417,310359.7251958253
sentinel_bio_10m_100m,10M-100M deaths,10M-100M deaths,1000000,4314.339777556507,-13353.930270837389,-4.824462871383927,0.0,0.0,11864.570192282305,25527.312280828082,77746.69312878599
sentinel_bio_1b_8b,1B-8B deaths,1B-8B deaths,1000000,19449.52355573996,-63571.56478728471,-79.20318519533237,0.0,0.0,57883.436548283535,118657.9206681076,328312.9365419012
longview_nuclear,Longview Philanthropy Nuclear Weapons Policy Fund,,1000000,3.048251401808329e+19,-19951755708.48768,-27.184833970797445,0.0,0.0,14366950877.927687,123624153813.99301,1.110305954977564e+16
longview_nuclear_100m_1b,100M-1B deaths,100M-1B deaths,1000000,16570.989930438373,-50471.237477378585,-13.174339848087225,0.0,0.0,45322.415502680684,97813.81879794416,300682.0075639024
longview_nuclear_10m_100m,10M-100M deaths,10M-100M deaths,1000000,4173.116167576879,-12905.693159410663,-4.64033077285246,0.0,0.0,11460.710452306665,24692.279045567015,75293.70454934801
longview_nuclear_1b_8b,1B-8B deaths,1B-8B deaths,1000000,18813.30391707609,-61393.74420937479,-78.20204084453916,0.0,0.0,55904.8026542815,114617.87042667367,318037.1569994646
longview_ai,Longview Philanthropy AI Program,,1000000,1.2315812826043502e+20,-5529450544269.005,-78921105835.30667,-2611921661.7623343,0.0,139070202201.663,924403143246.71,1.4852594921415406e+16
longview_ai_100m_1b,100M-1B deaths,100M-1B deaths,1000000,4436.232053517637,-81460.28042038542,-12325.496148771617,-2086.571783276488,0.0,16669.508145021176,40979.11835974194,141088.41124430113
longview_ai_10m_100m,10M-100M deaths,10M-100M deaths,1000000,1266.8438294954271,-23290.172207980195,-3323.2678016517725,-548.7025553636558,0.0,4555.7002948767,11512.78493627877,41063.77775859017
longview_ai_1b_8b,1B-8B deaths,1B-8B deaths,1000000,10005.643423869797,-181226.26916937585,-30931.824861083358,-5475.184996651243,0.0,41763.29182064754,97044.86694801295,300492.55785370024
