effects at time horizon,,,,Risk profile: NEUTRAL,,,,,,Risk profile: UPSIDE sceptical,,,,,,Risk profile: DOWNSIDE CRITICAL,,,,,,Risk profile: COMBINED,,,,,,Risk profile: DMREU,,,,,,"Risk profile: WLU (low, 0.01)",,,,,,"Risk profile: WLU (moderate, 0.05)",,,,,,"Risk profile: WLU (high, 0.1)",,,,,,Risk profile: AMBIGUITY AVERSION,,,,,
project_id,near_term_xrisk,effect_id,recipient_type,neutral_t0,neutral_t1,neutral_t2,neutral_t3,neutral_t4,neutral_t5,upside_t0,upside_t1,upside_t2,upside_t3,upside_t4,upside_t5,downside_t0,downside_t1,downside_t2,downside_t3,downside_t4,downside_t5,combined_t0,combined_t1,combined_t2,combined_t3,combined_t4,combined_t5,dmreu_t0,dmreu_t1,dmreu_t2,dmreu_t3,dmreu_t4,dmreu_t5,wlu - low_t0,wlu - low_t1,wlu - low_t2,wlu - low_t3,wlu - low_t4,wlu - low_t5,wlu - moderate_t0,wlu - moderate_t1,wlu - moderate_t2,wlu - moderate_t3,wlu - moderate_t4,wlu - moderate_t5,wlu - high_t0,wlu - high_t1,wlu - high_t2,wlu - high_t3,wlu - high_t4,wlu - high_t5,ambiguity_t0,ambiguity_t1,ambiguity_t2,ambiguity_t3,ambiguity_t4,ambiguity_t5
sentinel_bio,FALSE,effect_human_lives_extinction,human_life_years,137.1,2604,1.235e+04,2.188e+05,3.701e+06,1.065e+32,106.1,2016,9856,1.473e+05,1.137e+06,-1.658e+31,66.96,1279,6136,1.092e+05,1.903e+06,4.016e+31,-23.28,-416.5,-2005,-5.463e+04,-1.652e+06,-8.473e+31,5.232,113.8,549.8,1740,-2.744e+05,-2.445e+31,57.31,1080,5087,8.784e+04,1.45e+06,1.164e+31,42.61,692.5,2997,4.135e+04,4.822e+05,-4.226e+31,25,246,640.6,-7521,-4.194e+05,-4.821e+31,48.4,937.8,4346,5.743e+04,1.858e+05,-1.694e+31
sentinel_bio_100m_1b,FALSE,effect_human_lives_sub_ext_100m_1b,human_life_years,415,355.8,426.9,320.2,0,0,415,355.8,426.9,320.2,0,0,207.5,177.9,213.5,160.1,0,0,88.09,57.78,-29.9,-65.18,0,0,79.36,54.37,29.85,13.83,0,0,183.2,147.4,163.8,123,0,0,137,108.7,115.7,87.5,0,0,79.85,61.9,59.09,45.72,0,0,300.2,239.6,188.3,98.46,0,0
sentinel_bio_10m_100m,FALSE,effect_human_lives_sub_ext_10m_100m,human_life_years,216.2,185.3,222.3,166.8,0,0,216.2,185.3,222.3,166.8,0,0,108.1,92.64,111.2,83.38,0,0,45.88,30.1,-15.57,-33.95,0,0,41.34,28.32,15.55,7.202,0,0,95.91,77.16,85.81,64.43,0,0,73.81,58.67,62.58,47.31,0,0,46.37,36.1,35.02,27,0,0,156.4,124.8,98.07,51.28,0,0
sentinel_bio_1b_8b,FALSE,effect_human_lives_sub_ext_1b_8b,human_life_years,922.9,791.1,949.3,712,0,0,922.9,791.1,949.3,712,0,0,461.5,395.5,474.7,356,0,0,195.9,128.5,-66.48,-144.9,0,0,176.5,120.9,66.38,30.75,0,0,405,325.6,361.9,271.7,0,0,291.8,231.2,245.2,185.5,0,0,152.8,117.7,109.7,85.35,0,0,667.6,532.8,418.7,219,0,0
longview_nuclear,FALSE,effect_human_lives_extinction,human_life_years,133.5,2533,1.223e+04,2.189e+05,3.707e+06,1.06e+32,103.1,1958,9704,1.49e+05,1.136e+06,-1.642e+31,66.19,1257,6086,1.093e+05,1.912e+06,4.037e+31,-21.63,-390.8,-1974,-5.405e+04,-1.642e+06,-8.393e+31,5.381,114.7,549.8,2026,-2.703e+05,-2.421e+31,56.03,1055,5042,8.79e+04,1.455e+06,1.177e+31,41.85,679.5,2975,4.146e+04,4.868e+05,-4.186e+31,24.85,247.6,642.7,-7398,-4.157e+05,-4.777e+31,47.2,913.5,4309,5.792e+04,1.921e+05,-1.678e+31
longview_nuclear_100m_1b,FALSE,effect_human_lives_sub_ext_100m_1b,human_life_years,134.5,115.3,138.3,103.7,0,0,134.5,115.3,138.3,103.7,0,0,67.24,57.64,69.16,51.87,0,0,28.54,18.72,-9.687,-21.12,0,0,25.72,17.62,9.672,4.481,0,0,59.88,48.19,53.6,40.24,0,0,47.03,37.42,39.99,30.23,0,0,31.03,24.22,23.74,18.26,0,0,97.28,77.64,61.01,31.9,0,0
longview_nuclear_10m_100m,FALSE,effect_human_lives_sub_ext_10m_100m,human_life_years,70.04,60.03,72.04,54.03,0,0,70.04,60.03,72.04,54.03,0,0,35.02,30.02,36.02,27.01,0,0,14.86,9.751,-5.045,-11,0,0,13.39,9.175,5.037,2.333,0,0,31.34,25.23,28.06,21.07,0,0,25.28,20.14,21.58,16.31,0,0,17.72,13.89,13.78,10.58,0,0,50.66,40.43,31.77,16.62,0,0
longview_nuclear_1b_8b,FALSE,effect_human_lives_sub_ext_1b_8b,human_life_years,599.3,513.7,616.4,462.3,0,0,599.3,513.7,616.4,462.3,0,0,299.6,256.8,308.2,231.1,0,0,127.2,83.43,-43.16,-94.12,0,0,114.6,78.51,43.1,19.97,0,0,263.8,212.2,235.8,177.1,0,0,194,153.8,163.4,123.6,0,0,107.9,83.4,78.8,61.11,0,0,433.5,346,271.9,142.2,0,0
longview_ai,TRUE,effect_human_lives_extinction,human_life_years,1254,9697,4.133e+04,7.064e+05,1.192e+07,4.341e+32,713.8,5678,2.444e+04,2.95e+05,-1.842e+06,-2.188e+32,-2506,-1.945e+04,-8.29e+04,-1.446e+06,-2.438e+07,-4.41e+32,-4005,-3.096e+04,-1.321e+05,-2.381e+06,-4.375e+07,-1.118e+33,-1040,-8017,-3.42e+04,-6.302e+05,-1.209e+07,-3.318e+32,-434,-3518,-1.542e+04,-2.883e+05,-5.195e+06,-1.954e+32,-791.5,-6809,-3.103e+04,-6.151e+05,-1.179e+07,-4.928e+32,-1193,-1.035e+04,-4.731e+04,-9.269e+05,-1.73e+07,-5.207e+32,-161.7,-1167,-5098,-1.811e+05,-6.641e+06,-2.236e+32
longview_ai_100m_1b,TRUE,effect_human_lives_sub_ext_100m_1b,human_life_years,24.81,21.26,25.52,19.14,0,0,24.81,21.26,25.52,19.14,0,0,-49.61,-42.53,-51.03,-38.27,0,0,-65.54,-58.3,-81.51,-62.4,0,0,-15.3,-14.28,-20.14,-15.82,0,0,-7.889,-6.59,-7.772,-5.809,0,0,-11.89,-9.96,-12.11,-8.986,0,0,-16.77,-14.05,-17.31,-12.79,0,0,10.53,6.907,-3.262,-3.718,0,0
