fund,display_name,tier_name,n_samples,mean,p1,p5,p10,p50,p90,p95,p99
sentinel_bio,Sentinel Bio,,1000000,1.0646712254534761e+32,-15584823986806.809,0.0,0.0,0.0,10956608760413.547,139110253533669.36,8.746004354996733e+27
sentinel_bio_100m_1b,100M-1B deaths,100M-1B deaths,1000000,1517.8714400483182,-3348.245823635996,-1.3951024263931902,0.0,0.0,3348.245823635996,11160.81941211999,33482.45823635997
sentinel_bio_10m_100m,10M-100M deaths,10M-100M deaths,1000000,790.5617874686261,-1743.8862958866755,-0.7266192898893393,0.0,0.0,1743.8862958866755,5812.954319622253,17438.862958866757
sentinel_bio_1b_8b,1B-8B deaths,1B-8B deaths,1000000,3375.3014071841467,-7445.51780996503,-3.1022990872145635,0.0,0.0,7445.51780996503,24818.392699883432,74455.1780996503
longview_nuclear,Longview Philanthropy Nuclear Weapons Policy Fund,,1000000,1.060491983027838e+32,-16026005733191.344,0.0,0.0,0.0,10914137271456.348,139296281732506.25,9.185530030248742e+27
longview_nuclear_100m_1b,100M-1B deaths,100M-1B deaths,1000000,491.8322538457032,-1084.924089365522,-0.4520517038628314,0.0,0.0,1084.924089365522,3616.4136312184055,10849.240893655215
longview_nuclear_10m_100m,10M-100M deaths,10M-100M deaths,1000000,256.1351274300539,-565.0039575662954,-0.2354183156320684,0.0,0.0,565.0039575662954,1883.3465252209846,5650.039575662954
longview_nuclear_1b_8b,1B-8B deaths,1B-8B deaths,1000000,2191.597723816973,-4834.406743713912,-2.0143361430382556,0.0,0.0,4834.406743713912,16114.68914571304,48344.06743713912
longview_ai,Longview Philanthropy AI Program,,1000000,4.341006282825775e+32,-7.195795052880653e+16,-4844997897763.124,-85272913.85116266,0.0,18102461994846.45,362862841607789.06,1.563115901153514e+27
longview_ai_100m_1b,100M-1B deaths,100M-1B deaths,1000000,90.72092155240203,-3001.7951984250676,-300.17951984250675,-40.0239359790009,0.0,400.23935979000896,400.23935979000896,4002.393597900089
longview_ai_10m_100m,10M-100M deaths,10M-100M deaths,1000000,83.13924932898958,-2750.93104397392,-275.093104397392,-36.67908058631893,0.0,366.79080586318935,366.79080586318935,3667.9080586318933
longview_ai_1b_8b,1B-8B deaths,1B-8B deaths,1000000,285.79518842743704,-9456.458440613727,-945.6458440613725,-126.08611254151633,0.0,1260.8611254151633,1260.8611254151633,12608.611254151636
