effect_type,time_horizon,mean,5th_percentile,95th_percentile
YLDs_averted,0-5 years,2273.166823675509,1659.9583270718163,3016.1791315377504
YLDs_averted,5-10 years,284.1458529594386,207.49479088397703,377.0223914422188
YLDs_averted,10-20 years,142.0729264797193,103.74739544198852,188.5111957211094
YLDs_averted,20-100 years,142.0729264797193,103.74739544198852,188.5111957211094
YLDs_averted,100-500 years,0.0,0.0,0.0
YLDs_averted,500+ years,0.0,0.0,0.0
life_years_saved,0-5 years,11333.181099060603,8275.947080373206,15037.56960065691
life_years_saved,5-10 years,1416.6476373825753,1034.4933850466507,1879.6962000821138
life_years_saved,10-20 years,708.3238186912877,517.2466925233254,939.8481000410569
life_years_saved,20-100 years,708.3238186912877,517.2466925233254,939.8481000410569
life_years_saved,100-500 years,0.0,0.0,0.0
life_years_saved,500+ years,0.0,0.0,0.0
income_doublings,0-5 years,15620.23592603212,11406.52785628754,20725.900597834745
income_doublings,5-10 years,1952.529490754015,1425.8159820359424,2590.737574729343
income_doublings,10-20 years,976.2647453770074,712.9079910179712,1295.3687873646716
income_doublings,20-100 years,976.2647453770074,712.9079910179712,1295.3687873646716
income_doublings,100-500 years,0.0,0.0,0.0
income_doublings,500+ years,0.0,0.0,0.0
