effect_type,time_horizon,mean,5th_percentile,95th_percentile
YLDs_averted,0-5 years,77.24585151359423,24.78045749115056,178.08575522773927
YLDs_averted,5-10 years,124.97795787340952,40.09290999747472,288.12931152412534
YLDs_averted,10-20 years,308.0724879940751,98.82960758852735,710.2429530427055
YLDs_averted,20-100 years,1311.5398232225587,420.7417770726247,3023.6777167087143
YLDs_averted,100-500 years,0.0,0.0,0.0
YLDs_averted,500+ years,0.0,0.0,0.0
life_years_saved,0-5 years,645.7224207694009,209.00003066118026,1482.6248835662914
life_years_saved,5-10 years,967.6082196423649,313.18433597566593,2221.6977107216935
life_years_saved,10-20 years,2360.495858401737,764.0182389728948,5419.8673991396145
life_years_saved,20-100 years,15536.35455893507,5028.629136512507,35672.58179070074
life_years_saved,100-500 years,0.0,0.0,0.0
life_years_saved,500+ years,0.0,0.0,0.0
income_doublings,0-5 years,194.43844783876125,63.73118065202716,459.9199997593199
income_doublings,5-10 years,484.7643494062267,158.89143669409512,1146.649862413647
income_doublings,10-20 years,3513.209763004467,1151.526401096217,8310.061365514286
income_doublings,20-100 years,22442.991253279488,7356.149701013437,53086.10846537027
income_doublings,100-500 years,0.0,0.0,0.0
income_doublings,500+ years,0.0,0.0,0.0
