fund_varied,multiplier,ghd,gcr,aw,diff_ghd,diff_gcr,diff_aw
baseline,1.0,17.8910,35.6335,46.4755,0.0000,0.0000,0.0000
ea_awf,0.5,18.3493,35.6385,46.0122,0.4583,0.0050,-0.4633
ea_awf,1.5,17.4360,35.6335,46.9305,-0.4550,-0.0000,0.4550
ea_awf,2,16.9160,35.6010,47.4830,-0.9750,-0.0325,1.0075
givewell,0.5,16.1160,36.3935,47.4905,-1.7750,0.7600,1.0150
givewell,1.5,22.1385,35.1335,42.7280,4.2475,-0.5000,-3.7475
givewell,2,24.2060,35.1335,40.6605,6.3150,-0.5000,-5.8150
leaf,0.5,18.1935,35.6335,46.1730,0.3025,0.0000,-0.3025
leaf,1.5,19.6085,35.4335,44.9580,1.7175,-0.2000,-1.5175
leaf,2,21.5110,35.1335,43.3555,3.6200,-0.5000,-3.1200
longview_ai,0.1,22.5360,33.7360,43.7280,4.6450,-1.8975,-2.7475
longview_ai,2,18.8810,34.6660,46.4530,0.9900,-0.9675,-0.0225
longview_ai,4,15.2410,38.4060,46.3530,-2.6500,2.7725,-0.1225
longview_ai,10,14.6294,41.1544,44.2161,-3.2616,5.5209,-2.2594
longview_nuclear,0.1,18.3810,35.1335,46.4855,0.4900,-0.5000,0.0100
longview_nuclear,1.5,17.6910,35.8335,46.4755,-0.2000,0.2000,0.0000
longview_nuclear,2,17.4939,36.0331,46.4731,-0.3971,0.3996,-0.0024
longview_nuclear,4,16.0968,37.4468,46.4563,-1.7942,1.8133,-0.0192
longview_nuclear,10,15.1492,38.4025,46.4483,-2.7418,2.7690,-0.0272
navigation_fund_cagefree,0.5,17.5614,36.9589,45.4797,-0.3296,1.3254,-0.9958
navigation_fund_cagefree,1.5,18.2750,35.0225,46.7025,0.3840,-0.6110,0.2270
navigation_fund_cagefree,2,18.4202,34.7535,46.8263,0.5292,-0.8800,0.3508
navigation_fund_general,0.5,22.1760,35.6335,42.1905,4.2850,0.0000,-4.2850
navigation_fund_general,1.5,17.3010,35.6335,47.0655,-0.5900,0.0000,0.5900
navigation_fund_general,2,16.9110,35.6335,47.4555,-0.9800,0.0000,0.9800
sentinel_bio,0.1,18.3810,35.1335,46.4855,0.4900,-0.5000,0.0100
sentinel_bio,0.8,18.0910,35.4335,46.4755,0.2000,-0.2000,0.0000
sentinel_bio,2,16.6139,36.8731,46.5131,-1.2771,1.2396,0.0376
sentinel_bio,4,15.8793,37.6643,46.4563,-2.0117,2.0308,-0.0192
sentinel_bio,10,14.0767,39.4808,46.4425,-3.8143,3.8473,-0.0330
all_gcr,0.0001,26.6335,27.8660,45.5005,8.7425,-7.7675,-0.9750
all_gcr,0.001,26.6335,27.8660,45.5005,8.7425,-7.7675,-0.9750
all_gcr,0.01,26.6435,27.8660,45.4905,8.7525,-7.7675,-0.9850
all_gcr,100,9.9380,63.0333,27.0287,-7.9530,27.3998,-19.4468
all_gcr,1000,10.0273,61.5267,28.4460,-7.8637,25.8932,-18.0295
all_gcr,10000,10.0167,61.5933,28.3900,-7.8743,25.9598,-18.0855
all_aw,0.25,28.1292,37.4500,34.4208,10.2382,1.8165,-12.0547
all_aw,0.5,22.2760,37.0660,40.6580,4.3850,1.4325,-5.8175
all_aw,2,17.1100,34.7845,48.1055,-0.7810,-0.8490,1.6300
all_aw,4,16.6615,32.8935,50.4450,-1.2295,-2.7400,3.9695
all_ghd,0.5,17.0160,35.3335,47.6505,-0.8750,-0.3000,1.1750
all_ghd,1.5,21.7902,35.1335,43.0763,3.8992,-0.5000,-3.3992
all_ghd,2,23.9960,35.1335,40.8705,6.1050,-0.5000,-5.6050
