fund_varied,multiplier,sensitivity_index,si_scaled_pp_per_oom,diff_ghd,diff_gcr,diff_aw
baseline,1.0,0.0000,0.0000,0.0000,0.0000,0.0000
ea_awf,0.5,0.4633,1.5392,0.4583,0.0050,-0.4633
ea_awf,1.5,0.4550,2.5839,-0.4550,0.0000,0.4550
ea_awf,2,1.0075,3.3468,-0.9750,-0.0325,1.0075
givewell,0.5,1.7750,5.8964,-1.7750,0.7600,1.0150
givewell,1.5,4.3475,24.6889,4.3475,-0.6000,-3.7475
givewell,2,6.3825,21.2022,6.3825,-0.6000,-5.7825
leaf,0.5,0.3025,1.0049,0.3025,0.0000,-0.3025
leaf,1.5,1.7075,9.6967,1.7075,-0.2000,-1.5075
leaf,2,3.7200,12.3576,3.7200,-0.6000,-3.1200
longview_ai,0.1,4.3450,4.3450,4.3450,-1.5975,-2.7475
longview_ai,2,0.7900,2.6243,0.7900,-0.7675,-0.0225
longview_ai,4,2.8725,4.7711,-2.7500,2.8725,-0.1225
longview_ai,10,5.6209,5.6209,-3.3616,5.6209,-2.2594
longview_nuclear,0.1,0.4000,0.4000,0.3900,-0.4000,0.0100
longview_nuclear,1.5,0.4000,2.2715,-0.4000,0.4000,0.0000
longview_nuclear,2,0.6996,2.3239,-0.6971,0.6996,-0.0024
longview_nuclear,4,2.0133,3.3441,-1.9942,2.0133,-0.0192
longview_nuclear,10,2.9240,2.9240,-2.8968,2.9240,-0.0272
navigation_fund_cagefree,0.5,1.3254,4.4028,-0.4296,1.3254,-0.8958
navigation_fund_cagefree,1.5,0.4110,2.3340,0.1840,-0.4110,0.2270
navigation_fund_cagefree,2,0.6800,2.2589,0.3292,-0.6800,0.3508
navigation_fund_general,0.5,4.2850,14.2345,4.2850,0.0000,-4.2850
navigation_fund_general,1.5,0.5900,3.3505,-0.5900,0.0000,0.5900
navigation_fund_general,2,0.9800,3.2555,-0.9800,0.0000,0.9800
sentinel_bio,0.1,0.4000,0.4000,0.3900,-0.4000,0.0100
sentinel_bio,0.8,0.3000,3.0957,0.3000,-0.3000,0.0000
sentinel_bio,2,0.6771,2.2493,-0.6771,0.6396,0.0376
sentinel_bio,4,2.2308,3.7053,-2.2117,2.2308,-0.0192
sentinel_bio,10,3.9348,3.9348,-3.9018,3.9348,-0.0330
all_gcr,0.0001,8.6425,2.1606,8.6425,-7.6675,-0.9750
all_gcr,0.001,8.6425,2.8808,8.6425,-7.6675,-0.9750
all_gcr,0.01,8.6525,4.3263,8.6525,-7.6675,-0.9850
all_gcr,0.1,7.5675,7.5675,6.0925,-7.5675,1.4750
all_gcr,10,10.8898,10.8898,-6.5485,10.8898,-4.3413
all_gcr,100,27.5265,13.7632,-8.0583,27.5265,-19.4682
all_gcr,1000,25.9932,8.6644,-7.9637,25.9932,-18.0295
all_gcr,10000,26.0598,6.5150,-7.9743,26.0598,-18.0855
all_aw,0.25,12.0547,20.0224,9.9382,2.1165,-12.0547
all_aw,0.5,5.6175,18.6609,4.2850,1.3325,-5.6175
all_aw,2,1.5975,5.3068,-0.9810,-0.6165,1.5975
all_aw,4,3.9695,6.5932,-1.4095,-2.5600,3.9695
all_ghd,0.5,1.1750,3.9033,-0.7750,-0.4000,1.1750
all_ghd,1.5,3.9992,22.7108,3.9992,-0.6000,-3.3992
all_ghd,2,6.2050,20.6126,6.2050,-0.6000,-5.6050
