fund_varied,multiplier,ghd,gcr,aw,diff_ghd,diff_gcr,diff_aw
baseline,1.0,17.8910,35.6335,46.4755,0.0000,0.0000,0.0000
ea_awf,0.5,18.3493,35.6385,46.0122,0.4583,0.0050,-0.4633
ea_awf,1.5,17.4360,35.6335,46.9305,-0.4550,-0.0000,0.4550
ea_awf,2,16.9160,35.6010,47.4830,-0.9750,-0.0325,1.0075
givewell,0.25,17.7060,34.7935,47.5005,-0.1850,-0.8400,1.0250
givewell,0.5,16.1160,36.3935,47.4905,-1.7750,0.7600,1.0150
givewell,1.5,22.1385,35.1335,42.7280,4.2475,-0.5000,-3.7475
givewell,2,24.2060,35.1335,40.6605,6.3150,-0.5000,-5.8150
leaf,0.25,18.0060,35.6335,46.3605,0.1150,0.0000,-0.1150
leaf,0.5,18.2260,35.6335,46.1405,0.3350,0.0000,-0.3350
leaf,1.5,19.5985,35.4335,44.9680,1.7075,-0.2000,-1.5075
leaf,2,21.5110,35.1335,43.3555,3.6200,-0.5000,-3.1200
longview_ai,0.1,22.5360,33.7360,43.7280,4.6450,-1.8975,-2.7475
longview_ai,10,14.6294,41.1544,44.2161,-3.2616,5.5209,-2.2594
longview_nuclear,0.1,18.4810,35.0335,46.4855,0.5900,-0.6000,0.0100
longview_nuclear,10,15.1492,38.4025,46.4483,-2.7418,2.7690,-0.0272
navigation_fund_cagefree,0.5,17.5614,36.9589,45.4797,-0.3296,1.3254,-0.9958
navigation_fund_cagefree,1.5,18.3750,34.9225,46.7025,0.4840,-0.7110,0.2270
navigation_fund_cagefree,2,18.5202,34.6535,46.8263,0.6292,-0.9800,0.3508
navigation_fund_general,0.5,22.1760,35.6335,42.1905,4.2850,0.0000,-4.2850
navigation_fund_general,1.5,17.3010,35.6335,47.0655,-0.5900,0.0000,0.5900
navigation_fund_general,2,16.9110,35.6335,47.4555,-0.9800,0.0000,0.9800
sentinel_bio,0.1,18.4810,35.0335,46.4855,0.5900,-0.6000,0.0100
sentinel_bio,10,14.1092,39.4483,46.4425,-3.7818,3.8148,-0.0330
all_gcr,0.0001,26.6660,27.8660,45.4680,8.7750,-7.7675,-1.0075
all_gcr,0.001,26.6660,27.8660,45.4680,8.7750,-7.7675,-1.0075
all_gcr,0.01,26.6760,27.8660,45.4580,8.7850,-7.7675,-1.0175
all_gcr,100,9.9380,63.0333,27.0287,-7.9530,27.3998,-19.4468
all_gcr,1000,10.0273,61.5267,28.4460,-7.8637,25.8932,-18.0295
all_gcr,10000,10.0167,61.5933,28.3900,-7.8743,25.9598,-18.0855
all_aw,0.25,28.2792,37.4500,34.2708,10.3882,1.8165,-12.2047
all_aw,4,16.6615,32.8935,50.4450,-1.2295,-2.7400,3.9695
