fund_varied,multiplier,sensitivity_index,si_scaled_pp_per_oom,diff_ghd,diff_gcr,diff_aw
baseline,1.0,0.0000,0.0000,0.0000,0.0000,0.0000
ea_awf,0.5,0.4633,1.5392,0.4583,0.0050,-0.4633
ea_awf,1.5,0.4550,2.5839,-0.4550,-0.0000,0.4550
ea_awf,2,1.0075,3.3468,-0.9750,-0.0325,1.0075
givewell,0.25,1.0250,1.7025,-0.1850,-0.8400,1.0250
givewell,0.5,1.7750,5.8964,-1.7750,0.7600,1.0150
givewell,1.5,4.2475,24.1210,4.2475,-0.5000,-3.7475
givewell,2,6.3150,20.9780,6.3150,-0.5000,-5.8150
leaf,0.25,0.1150,0.1910,0.1150,0.0000,-0.1150
leaf,0.5,0.3350,1.1128,0.3350,0.0000,-0.3350
leaf,1.5,1.7075,9.6967,1.7075,-0.2000,-1.5075
leaf,2,3.6200,12.0254,3.6200,-0.5000,-3.1200
longview_ai,0.1,4.6450,4.6450,4.6450,-1.8975,-2.7475
longview_ai,10,5.5209,5.5209,-3.2616,5.5209,-2.2594
longview_nuclear,0.1,0.6000,0.6000,0.5900,-0.6000,0.0100
longview_nuclear,10,2.7690,2.7690,-2.7418,2.7690,-0.0272
navigation_fund_cagefree,0.5,1.3254,4.4028,-0.3296,1.3254,-0.9958
navigation_fund_cagefree,1.5,0.7110,4.0377,0.4840,-0.7110,0.2270
navigation_fund_cagefree,2,0.9800,3.2555,0.6292,-0.9800,0.3508
navigation_fund_general,0.5,4.2850,14.2345,4.2850,0.0000,-4.2850
navigation_fund_general,1.5,0.5900,3.3505,-0.5900,0.0000,0.5900
navigation_fund_general,2,0.9800,3.2555,-0.9800,0.0000,0.9800
sentinel_bio,0.1,0.6000,0.6000,0.5900,-0.6000,0.0100
sentinel_bio,10,3.8148,3.8148,-3.7818,3.8148,-0.0330
all_gcr,0.0001,8.7750,2.1938,8.7750,-7.7675,-1.0075
all_gcr,0.001,8.7750,2.9250,8.7750,-7.7675,-1.0075
all_gcr,0.01,8.7850,4.3925,8.7850,-7.7675,-1.0175
all_gcr,100,27.3998,13.6999,-7.9530,27.3998,-19.4468
all_gcr,1000,25.8932,8.6311,-7.8637,25.8932,-18.0295
all_gcr,10000,25.9598,6.4900,-7.8743,25.9598,-18.0855
all_aw,0.25,12.2047,20.2715,10.3882,1.8165,-12.2047
all_aw,4,3.9695,6.5932,-1.2295,-2.7400,3.9695
