fund_varied,multiplier,recipient_fund,weighted_allocation_pct,allocation_diff_pp,nashBargaining,credenceWeighted,mec,met,splitCycle,borda
baseline,1.0,ea_awf,12.7750,0.0000,10.5000,10.5000,17.0000,17.0000,17.0000,17.0000
baseline,1.0,givewell,12.9530,0.0000,15.3000,15.3000,0.0000,10.0000,20.1000,20.0000
baseline,1.0,leaf,4.9380,0.0000,6.2000,6.2000,1.0000,2.0000,5.6000,5.5000
baseline,1.0,longview_ai,23.2175,0.0000,34.9500,34.9500,0.0000,5.0000,0.0000,0.0000
baseline,1.0,longview_nuclear,3.8230,0.0000,2.1000,2.1000,15.0000,2.0000,0.1000,0.0000
baseline,1.0,navigation_fund_cagefree,15.6425,0.0000,15.4500,15.4500,16.0000,16.0000,16.0000,16.0000
baseline,1.0,navigation_fund_general,18.0580,0.0000,7.6000,7.6000,32.0000,42.0000,41.1000,41.5000
baseline,1.0,sentinel_bio,8.5930,0.0000,7.9000,7.9000,19.0000,6.0000,0.1000,0.0000
ea_awf,0.5,ea_awf,9.6225,-3.1525,5.6500,5.6500,17.0000,17.0000,17.0000,17.0000
ea_awf,0.5,givewell,13.1822,0.2292,15.6500,15.6500,0.0000,10.0000,20.1000,20.0833
ea_awf,0.5,leaf,5.1672,0.2292,6.5500,6.5500,1.0000,2.0000,5.6000,5.5833
ea_awf,0.5,longview_ai,23.2192,0.0017,34.9500,34.9500,0.0000,5.0000,0.0000,0.0833
ea_awf,0.5,longview_nuclear,3.8247,0.0017,2.1000,2.1000,15.0000,2.0000,0.1000,0.0833
ea_awf,0.5,navigation_fund_cagefree,15.7725,0.1300,15.6500,15.6500,16.0000,16.0000,16.0000,16.0000
ea_awf,0.5,navigation_fund_general,20.6172,2.5592,11.5500,11.5500,32.0000,42.0000,41.1000,41.0833
ea_awf,0.5,sentinel_bio,8.5947,0.0017,7.9000,7.9000,19.0000,6.0000,0.1000,0.0833
ea_awf,1.5,ea_awf,14.8875,2.1125,13.7500,13.7500,17.0000,17.0000,17.0000,17.0000
ea_awf,1.5,givewell,12.9530,0.0000,15.3000,15.3000,0.0000,10.0000,20.1000,20.0000
ea_awf,1.5,leaf,4.4830,-0.4550,5.5000,5.5000,1.0000,2.0000,5.6000,5.5000
ea_awf,1.5,longview_ai,23.2175,0.0000,34.9500,34.9500,0.0000,5.0000,0.0000,0.0000
ea_awf,1.5,longview_nuclear,3.8230,0.0000,2.1000,2.1000,15.0000,2.0000,0.1000,0.0000
