fund_varied,multiplier,sensitivity_index,si_scaled_pp_per_oom,diff_ea_awf,diff_givewell,diff_leaf,diff_longview_ai,diff_longview_nuclear,diff_navigation_fund_cagefree,diff_navigation_fund_general,diff_sentinel_bio
baseline,1.0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
ea_awf,0.5,3.1525,10.4724,-3.1525,0.2292,0.2292,0.0017,0.0017,0.1300,2.5592,0.0017
ea_awf,1.5,2.1125,11.9966,2.1125,0.0000,-0.4550,0.0000,0.0000,-0.0650,-1.5925,-0.0000
ea_awf,2,3.6400,12.0918,3.6400,-0.0325,-0.9425,-0.0325,0.0000,-0.1950,-2.4375,-0.0000
givewell,0.25,13.7850,22.8964,0.5200,-12.9450,12.7600,-0.5000,-0.1200,0.0975,0.4075,-0.2200
givewell,0.5,12.9450,43.0024,0.5200,-12.9450,11.1700,0.6000,0.0800,0.0975,0.3975,0.0800
givewell,1.5,9.1775,52.1179,-0.5950,9.1775,-4.9300,-0.5000,0.0000,-0.0325,-3.1200,0.0000
givewell,2,11.2450,37.3551,-0.8900,11.2450,-4.9300,-0.5000,0.0000,-0.0325,-4.8925,0.0000
leaf,0.25,5.0775,8.4335,0.0325,5.0450,-4.9300,0.0000,0.0000,0.0000,-0.1475,0.0000
leaf,0.5,5.2975,17.5979,0.0325,5.2650,-4.9300,0.0000,0.0000,0.0000,-0.3675,0.0000
leaf,1.5,11.2750,64.0293,-0.3250,-9.5675,11.2750,-0.2000,0.0000,0.0000,-1.1825,0.0000
leaf,2,16.3050,54.1640,-0.8450,-12.6850,16.3050,-0.5000,0.0000,0.0000,-2.2750,0.0000
longview_ai,0.1,13.3325,13.3325,0.1725,3.4925,1.1525,-10.3800,3.9450,0.0325,-2.9525,4.5375
longview_ai,10,6.3325,6.3325,-0.0244,-2.5933,-0.6683,6.3325,-0.2058,-0.0000,-2.2349,-0.6058
longview_nuclear,0.1,1.5875,1.5875,0.0000,0.6125,-0.0225,0.0000,-1.5650,0.0000,0.0100,0.9650
longview_nuclear,10,10.5137,10.5137,0.0000,-2.5122,-0.2297,-2.7300,10.5137,-0.0000,-0.0272,-5.0147
navigation_fund_cagefree,0.5,2.7474,9.1268,0.6175,-0.3861,0.0564,-0.4675,0.4964,-1.8939,0.2806,1.2964
navigation_fund_cagefree,1.5,0.7515,4.2677,0.0650,0.5245,-0.0405,-0.1950,-0.2080,0.1300,0.0320,-0.3080
navigation_fund_cagefree,2,0.9800,3.2555,0.1300,0.6158,0.0133,-0.3867,-0.1967,0.1950,0.0258,-0.3967
navigation_fund_general,0.5,7.0150,23.3033,2.6650,3.4625,0.8225,0.0000,0.0000,0.0650,-7.0150,0.0000
navigation_fund_general,1.5,2.1500,12.2096,-1.4950,-0.1000,-0.4900,0.0000,0.0000,-0.0650,2.1500,0.0000
navigation_fund_general,2,3.6775,12.2164,-2.6000,-0.1325,-0.8475,0.0000,0.0000,-0.0975,3.6775,0.0000
sentinel_bio,0.1,5.7575,5.7575,0.0000,0.6125,-0.0225,0.0000,5.1350,0.0000,0.0100,-5.7350
sentinel_bio,10,9.9570,9.9570,0.0000,-3.4597,-0.3222,-4.5825,-1.5597,-0.0000,-0.0330,9.9570
all_gcr,0.0001,9.9450,2.4863,1.1375,6.8000,1.9750,-6.9675,-0.2000,0.0325,-2.1775,-0.6000
all_gcr,0.001,9.9450,3.3150,1.1375,6.8000,1.9750,-6.9675,-0.2000,0.0325,-2.1775,-0.6000
all_gcr,0.01,9.9550,4.9775,1.1375,6.8200,1.9650,-6.9675,-0.2000,0.0325,-2.1875,-0.6000
all_gcr,100,27.3998,13.6999,-6.5410,-4.9523,-3.0007,18.2042,4.5737,-2.1785,-10.7273,4.6220
all_gcr,1000,25.8932,8.6311,-6.2413,-4.9527,-2.9110,16.6692,4.6120,-1.1905,-10.5977,4.6120
all_gcr,10000,25.9598,6.4900,-6.2600,-4.9580,-2.9163,16.7358,4.6120,-1.2092,-10.6163,4.6120
all_aw,0.25,12.2047,20.2715,-2.2608,9.2995,1.0887,0.0325,0.4920,-0.1050,-9.8388,1.2920
all_aw,4,3.9695,6.5932,2.0800,-0.1110,-1.1185,-1.9680,-0.1860,0.0975,1.7920,-0.5860
