fund_varied,multiplier,recipient_fund,weighted_allocation_pct,allocation_diff_pp,nashBargaining,credenceWeighted,mec,met,splitCycle,borda
baseline,1.0,ea_awf,12.7750,0.0000,10.5000,10.5000,17.0000,17.0000,17.0000,17.0000
baseline,1.0,givewell,13.2530,0.0000,15.3000,15.3000,0.0000,13.0000,20.1000,20.0000
baseline,1.0,leaf,4.9380,0.0000,6.2000,6.2000,1.0000,2.0000,5.6000,5.5000
baseline,1.0,longview_ai,23.2175,0.0000,34.9500,34.9500,0.0000,5.0000,0.0000,0.0000
baseline,1.0,longview_nuclear,4.7980,0.0000,3.6000,3.6000,15.0000,2.0000,0.1000,0.0000
baseline,1.0,navigation_fund_cagefree,15.6425,0.0000,15.4500,15.4500,16.0000,16.0000,16.0000,16.0000
baseline,1.0,navigation_fund_general,18.0580,0.0000,7.6000,7.6000,32.0000,42.0000,41.1000,41.5000
baseline,1.0,sentinel_bio,7.3180,0.0000,6.4000,6.4000,19.0000,3.0000,0.1000,0.0000
ea_awf,0.5,ea_awf,9.6225,-3.1525,5.6500,5.6500,17.0000,17.0000,17.0000,17.0000
ea_awf,0.5,givewell,13.4172,0.1642,15.5500,15.5500,0.0000,13.0000,20.1000,20.0833
ea_awf,0.5,leaf,5.2322,0.2942,6.6500,6.6500,1.0000,2.0000,5.6000,5.5833
ea_awf,0.5,longview_ai,23.2192,0.0017,34.9500,34.9500,0.0000,5.0000,0.0000,0.0833
ea_awf,0.5,longview_nuclear,4.7997,0.0017,3.6000,3.6000,15.0000,2.0000,0.1000,0.0833
ea_awf,0.5,navigation_fund_cagefree,15.7725,0.1300,15.6500,15.6500,16.0000,16.0000,16.0000,16.0000
ea_awf,0.5,navigation_fund_general,20.6172,2.5592,11.5500,11.5500,32.0000,42.0000,41.1000,41.0833
ea_awf,0.5,sentinel_bio,7.3197,0.0017,6.4000,6.4000,19.0000,3.0000,0.1000,0.0833
ea_awf,1.5,ea_awf,14.8875,2.1125,13.7500,13.7500,17.0000,17.0000,17.0000,17.0000
ea_awf,1.5,givewell,13.1880,-0.0650,15.2000,15.2000,0.0000,13.0000,20.1000,20.0000
ea_awf,1.5,leaf,4.5480,-0.3900,5.6000,5.6000,1.0000,2.0000,5.6000,5.5000
ea_awf,1.5,longview_ai,23.2175,0.0000,34.9500,34.9500,0.0000,5.0000,0.0000,0.0000
ea_awf,1.5,longview_nuclear,4.7980,0.0000,3.6000,3.6000,15.0000,2.0000,0.1000,0.0000
ea_awf,1.5,navigation_fund_cagefree,15.5775,-0.0650,15.3500,15.3500,16.0000,16.0000,16.0000,16.0000
ea_awf,1.5,navigation_fund_general,16.4655,-1.5925,5.1500,5.1500,32.0000,42.0000,41.1000,41.5000
ea_awf,1.5,sentinel_bio,7.3180,0.0000,6.4000,6.4000,19.0000,3.0000,0.1000,0.0000
ea_awf,2,ea_awf,16.4150,3.6400,16.1000,16.1000,17.0000,17.0000,17.0000,17.0000
ea_awf,2,givewell,13.1555,-0.0975,15.1500,15.1500,0.0000,13.0000,20.1000,20.0000
ea_awf,2,leaf,4.0605,-0.8775,4.8500,4.8500,1.0000,2.0000,5.6000,5.5000
ea_awf,2,longview_ai,23.1850,-0.0325,34.9000,34.9000,0.0000,5.0000,0.0000,0.0000
ea_awf,2,longview_nuclear,4.7980,0.0000,3.6000,3.6000,15.0000,2.0000,0.1000,0.0000
ea_awf,2,navigation_fund_cagefree,15.4475,-0.1950,15.1500,15.1500,16.0000,16.0000,16.0000,16.0000
ea_awf,2,navigation_fund_general,15.6205,-2.4375,3.8500,3.8500,32.0000,42.0000,41.1000,41.5000
ea_awf,2,sentinel_bio,7.3180,0.0000,6.4000,6.4000,19.0000,3.0000,0.1000,0.0000
givewell,0.5,ea_awf,13.2950,0.5200,11.3000,11.3000,17.0000,17.0000,17.0000,17.0000
givewell,0.5,givewell,0.0080,-13.2450,0.0000,0.0000,0.0000,0.0000,0.1000,0.0000
givewell,0.5,leaf,16.3080,11.3700,20.0000,20.0000,1.0000,8.0000,23.1000,25.5000
givewell,0.5,longview_ai,23.9175,0.7000,34.9500,34.9500,0.0000,12.0000,0.0000,0.0000
givewell,0.5,longview_nuclear,4.8780,0.0800,3.6000,3.6000,15.0000,2.0000,1.1000,0.0000
givewell,0.5,navigation_fund_cagefree,15.7400,0.0975,15.6000,15.6000,16.0000,16.0000,16.0000,16.0000
givewell,0.5,navigation_fund_general,18.4555,0.3975,8.1500,8.1500,32.0000,42.0000,41.6000,41.5000
givewell,0.5,sentinel_bio,7.3980,0.0800,6.4000,6.4000,19.0000,3.0000,1.1000,0.0000
givewell,1.5,ea_awf,12.1800,-0.5950,9.8000,9.8000,17.0000,17.0000,17.0000,10.0000
givewell,1.5,givewell,22.4305,9.1775,22.8500,22.8500,9.0000,20.0000,36.1000,67.0000
givewell,1.5,leaf,0.0080,-4.9300,0.0000,0.0000,0.0000,0.0000,0.1000,0.0000
givewell,1.5,longview_ai,22.7175,-0.5000,34.9500,34.9500,0.0000,0.0000,0.0000,0.0000
givewell,1.5,longview_nuclear,4.7980,0.0000,3.6000,3.6000,15.0000,2.0000,0.1000,0.0000
givewell,1.5,navigation_fund_cagefree,15.6100,-0.0325,15.4000,15.4000,16.0000,16.0000,16.0000,16.0000
