fund_varied,multiplier,method,ea_awf,givewell,leaf,longview_ai,longview_nuclear,navigation_fund_cagefree,navigation_fund_general,sentinel_bio
baseline,1.0,nashBargaining,10.50,15.30,6.20,34.95,2.80,15.45,7.60,7.20
baseline,1.0,credenceWeighted,10.50,15.30,6.20,34.95,2.80,15.45,7.60,7.20
baseline,1.0,mec,17.00,0.00,1.00,0.00,15.00,16.00,32.00,19.00
baseline,1.0,met,17.00,11.00,2.00,6.00,2.00,16.00,42.00,4.00
baseline,1.0,splitCycle,17.00,20.10,5.60,0.00,0.10,16.00,41.10,0.10
baseline,1.0,borda,17.00,20.00,5.50,0.00,0.00,16.00,41.50,0.00
baseline,1.0,lexicographicMaximin,0.00,96.00,4.00,0.00,0.00,0.00,0.00,0.00
ea_awf,0.5,nashBargaining,5.65,15.55,6.65,34.95,2.80,15.65,11.55,7.20
ea_awf,0.5,credenceWeighted,5.65,15.55,6.65,34.95,2.80,15.65,11.55,7.20
ea_awf,0.5,mec,17.00,0.00,1.00,0.00,15.00,16.00,32.00,19.00
ea_awf,0.5,met,17.00,11.00,2.00,6.00,2.00,16.00,42.00,4.00
ea_awf,0.5,splitCycle,17.00,20.10,5.60,0.00,0.10,16.00,41.10,0.10
ea_awf,0.5,borda,17.00,20.08,5.58,0.08,0.08,16.00,41.08,0.08
ea_awf,0.5,lexicographicMaximin,0.00,96.00,4.00,0.00,0.00,0.00,0.00,0.00
ea_awf,1.5,nashBargaining,13.75,15.20,5.60,34.95,2.80,15.35,5.15,7.20
ea_awf,1.5,credenceWeighted,13.75,15.20,5.60,34.95,2.80,15.35,5.15,7.20
ea_awf,1.5,mec,17.00,0.00,1.00,0.00,15.00,16.00,32.00,19.00
ea_awf,1.5,met,17.00,11.00,2.00,6.00,2.00,16.00,42.00,4.00
ea_awf,1.5,splitCycle,17.00,20.10,5.60,0.00,0.10,16.00,41.10,0.10
ea_awf,1.5,borda,17.00,20.00,5.50,0.00,0.00,16.00,41.50,0.00
ea_awf,1.5,lexicographicMaximin,0.00,96.00,4.00,0.00,0.00,0.00,0.00,0.00
ea_awf,2,nashBargaining,16.10,15.15,4.85,34.90,2.80,15.15,3.85,7.20
ea_awf,2,credenceWeighted,16.10,15.15,4.85,34.90,2.80,15.15,3.85,7.20
ea_awf,2,mec,17.00,0.00,1.00,0.00,15.00,16.00,32.00,19.00
ea_awf,2,met,17.00,11.00,2.00,6.00,2.00,16.00,42.00,4.00
ea_awf,2,splitCycle,17.00,20.10,5.60,0.00,0.10,16.00,41.10,0.10
ea_awf,2,borda,17.00,20.00,5.50,0.00,0.00,16.00,41.50,0.00
ea_awf,2,lexicographicMaximin,0.00,96.00,4.00,0.00,0.00,0.00,0.00,0.00
givewell,0.5,nashBargaining,11.30,0.00,20.00,34.95,2.80,15.60,8.15,7.20
givewell,0.5,credenceWeighted,11.30,0.00,20.00,34.95,2.80,15.60,8.15,7.20
givewell,0.5,mec,17.00,0.00,1.00,0.00,15.00,16.00,32.00,19.00
givewell,0.5,met,17.00,0.00,7.00,12.00,2.00,16.00,42.00,4.00
givewell,0.5,splitCycle,17.00,0.10,23.10,0.00,1.10,16.00,41.60,1.10
givewell,0.5,borda,17.00,0.00,25.50,0.00,0.00,16.00,41.50,0.00
givewell,0.5,lexicographicMaximin,0.00,73.00,27.00,0.00,0.00,0.00,0.00,0.00
givewell,1.5,nashBargaining,9.80,22.85,0.00,34.95,2.80,15.40,7.00,7.20
givewell,1.5,credenceWeighted,9.80,22.85,0.00,34.95,2.80,15.40,7.00,7.20
givewell,1.5,mec,17.00,9.00,0.00,0.00,15.00,16.00,24.00,19.00
givewell,1.5,met,17.00,19.00,0.00,0.00,2.00,16.00,42.00,4.00
givewell,1.5,splitCycle,17.00,36.10,0.10,0.00,0.10,16.00,30.60,0.10
givewell,1.5,borda,10.00,67.00,0.00,0.00,0.00,16.00,7.00,0.00
givewell,1.5,lexicographicMaximin,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00
givewell,2,nashBargaining,9.30,23.75,0.00,34.95,2.80,15.40,6.60,7.20
givewell,2,credenceWeighted,9.30,23.75,0.00,34.95,2.80,15.40,6.60,7.20
givewell,2,mec,17.00,15.00,0.00,0.00,15.00,16.00,18.00,19.00
givewell,2,met,17.00,19.00,0.00,0.00,2.00,16.00,42.00,4.00
givewell,2,splitCycle,17.00,43.60,0.10,0.00,0.10,16.00,23.10,0.10
givewell,2,borda,11.50,64.50,0.00,0.00,0.00,16.00,8.00,0.00
givewell,2,lexicographicMaximin,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00
leaf,0.5,nashBargaining,10.60,21.35,0.00,34.95,2.80,15.45,7.65,7.20
leaf,0.5,credenceWeighted,10.60,21.35,0.00,34.95,2.80,15.45,7.65,7.20
leaf,0.5,mec,17.00,0.00,0.00,0.00,15.00,16.00,33.00,19.00
leaf,0.5,met,17.00,13.00,0.00,6.00,2.00,16.00,42.00,4.00
leaf,0.5,splitCycle,17.00,25.10,0.10,0.00,0.10,16.00,41.60,0.10
leaf,0.5,borda,17.00,55.00,0.00,0.00,0.00,16.00,12.00,0.00
leaf,0.5,lexicographicMaximin,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00
leaf,1.5,nashBargaining,10.00,4.10,18.35,34.95,2.80,15.45,7.15,7.20
leaf,1.5,credenceWeighted,10.00,4.10,18.35,34.95,2.80,15.45,7.15,7.20
leaf,1.5,mec,17.00,0.00,7.00,0.00,15.00,16.00,26.00,19.00
leaf,1.5,met,17.00,0.00,15.00,4.00,2.00,16.00,42.00,4.00
leaf,1.5,splitCycle,17.00,7.10,18.60,0.00,0.10,16.00,41.10,0.10
leaf,1.5,borda,17.00,6.00,19.00,0.00,0.00,16.00,42.00,0.00
leaf,1.5,lexicographicMaximin,0.00,82.00,18.00,0.00,0.00,0.00,0.00,0.00
leaf,2,nashBargaining,9.20,0.40,23.50,34.95,2.80,15.45,6.50,7.20
leaf,2,credenceWeighted,9.20,0.40,23.50,34.95,2.80,15.45,6.50,7.20
leaf,2,mec,17.00,0.00,11.00,0.00,15.00,16.00,22.00,19.00
leaf,2,met,17.00,0.00,19.00,0.00,2.00,16.00,42.00,4.00
leaf,2,splitCycle,17.00,0.10,26.10,0.00,0.10,16.00,40.60,0.10
leaf,2,borda,17.00,0.00,26.50,0.00,0.00,16.00,40.50,0.00
leaf,2,lexicographicMaximin,0.00,73.00,27.00,0.00,0.00,0.00,0.00,0.00
longview_ai,0.1,nashBargaining,12.15,16.50,7.10,18.25,7.95,15.50,8.75,13.80
longview_ai,0.1,credenceWeighted,12.15,16.50,7.10,18.25,7.95,15.50,8.75,13.80
longview_ai,0.1,mec,17.00,0.00,1.00,0.00,15.00,16.00,32.00,19.00
longview_ai,0.1,met,8.00,35.00,8.00,0.00,9.00,16.00,5.00,19.00
longview_ai,0.1,splitCycle,17.00,20.10,5.60,0.00,0.10,16.00,41.10,0.10
longview_ai,0.1,borda,17.00,19.00,5.50,0.00,0.00,16.00,41.50,1.00
longview_ai,0.1,lexicographicMaximin,0.00,96.00,4.00,0.00,0.00,0.00,0.00,0.00
longview_ai,2,nashBargaining,10.50,15.30,6.20,35.00,2.80,15.45,7.55,7.20
longview_ai,2,credenceWeighted,10.50,15.30,6.20,35.00,2.80,15.45,7.55,7.20
longview_ai,2,mec,17.00,0.00,1.00,0.00,15.00,16.00,32.00,19.00
longview_ai,2,met,17.00,16.00,5.00,0.00,1.00,16.00,42.00,3.00
longview_ai,2,splitCycle,17.00,20.10,5.60,0.00,0.10,16.00,41.10,0.10
longview_ai,2,borda,17.00,20.00,5.50,0.00,0.00,16.00,41.50,0.00
longview_ai,2,lexicographicMaximin,0.00,96.00,4.00,0.00,0.00,0.00,0.00,0.00
longview_ai,4,nashBargaining,10.50,15.30,6.20,35.00,2.80,15.45,7.55,7.20
longview_ai,4,credenceWeighted,10.50,15.30,6.20,35.00,2.80,15.45,7.55,7.20
longview_ai,4,mec,17.00,0.00,1.00,0.00,15.00,16.00,32.00,19.00
longview_ai,4,met,17.00,0.00,0.00,24.00,0.00,16.00,41.00,2.00
longview_ai,4,splitCycle,17.00,2.60,5.10,18.00,0.10,16.00,41.10,0.10
longview_ai,4,borda,17.00,19.00,6.00,0.00,0.00,16.00,42.00,0.00
longview_ai,4,lexicographicMaximin,0.00,96.00,4.00,0.00,0.00,0.00,0.00,0.00
longview_ai,10,nashBargaining,10.50,15.30,6.20,35.00,2.80,15.45,7.55,7.20
longview_ai,10,credenceWeighted,10.50,15.30,6.20,35.00,2.80,15.45,7.55,7.20
longview_ai,10,mec,17.00,0.00,1.00,0.00,15.00,16.00,32.00,19.00
longview_ai,10,met,17.00,0.00,0.00,45.00,0.00,16.00,22.00,0.00
longview_ai,10,splitCycle,16.69,0.03,0.03,30.00,0.03,16.00,37.19,0.03
longview_ai,10,borda,17.00,19.00,6.00,0.00,0.00,16.00,42.00,0.00
longview_ai,10,lexicographicMaximin,0.00,96.00,4.00,0.00,0.00,0.00,0.00,0.00
longview_nuclear,0.1,nashBargaining,10.50,15.30,6.20,34.95,0.00,15.45,7.60,10.00
longview_nuclear,0.1,credenceWeighted,10.50,15.30,6.20,34.95,0.00,15.45,7.60,10.00
longview_nuclear,0.1,mec,17.00,0.00,1.00,0.00,15.00,16.00,32.00,19.00
longview_nuclear,0.1,met,17.00,15.00,2.00,6.00,0.00,16.00,42.00,2.00
longview_nuclear,0.1,splitCycle,17.00,20.10,5.60,0.00,0.10,16.00,41.10,0.10
longview_nuclear,0.1,borda,17.00,19.00,6.00,0.00,0.00,16.00,42.00,0.00
longview_nuclear,0.1,lexicographicMaximin,0.00,96.00,4.00,0.00,0.00,0.00,0.00,0.00
longview_nuclear,1.5,nashBargaining,10.50,15.30,6.20,34.95,4.50,15.45,7.60,5.50
longview_nuclear,1.5,credenceWeighted,10.50,15.30,6.20,34.95,4.50,15.45,7.60,5.50
longview_nuclear,1.5,mec,17.00,0.00,1.00,0.00,15.00,16.00,32.00,19.00
longview_nuclear,1.5,met,17.00,9.00,2.00,6.00,4.00,16.00,42.00,4.00
longview_nuclear,1.5,splitCycle,17.00,20.10,5.60,0.00,0.10,16.00,41.10,0.10
longview_nuclear,1.5,borda,17.00,20.00,5.50,0.00,0.00,16.00,41.50,0.00
longview_nuclear,1.5,lexicographicMaximin,0.00,96.00,4.00,0.00,0.00,0.00,0.00,0.00
longview_nuclear,2,nashBargaining,10.50,15.30,6.20,34.95,5.80,15.45,7.60,4.20
longview_nuclear,2,credenceWeighted,10.50,15.30,6.20,34.95,5.80,15.45,7.60,4.20
longview_nuclear,2,mec,17.00,0.00,1.00,0.00,15.00,16.00,32.00,19.00
longview_nuclear,2,met,17.00,7.00,2.00,6.00,6.00,16.00,42.00,4.00
longview_nuclear,2,splitCycle,16.89,19.06,5.56,0.00,1.39,16.00,41.06,0.06
longview_nuclear,2,borda,17.00,19.00,6.00,0.00,0.00,16.00,42.00,0.00
longview_nuclear,2,lexicographicMaximin,0.00,96.00,4.00,0.00,0.00,0.00,0.00,0.00
longview_nuclear,4,nashBargaining,10.50,14.95,6.20,34.70,9.25,15.45,7.55,1.40
longview_nuclear,4,credenceWeighted,10.50,14.95,6.20,34.70,9.25,15.45,7.55,1.40
longview_nuclear,4,mec,17.00,0.00,1.00,0.00,15.00,16.00,32.00,19.00
longview_nuclear,4,met,17.00,0.00,1.00,5.00,15.00,16.00,42.00,4.00
longview_nuclear,4,splitCycle,17.00,14.10,5.77,0.00,5.77,16.00,41.27,0.10
longview_nuclear,4,borda,17.00,20.00,5.50,0.00,0.00,16.00,41.50,0.00
longview_nuclear,4,lexicographicMaximin,0.00,96.00,4.00,0.00,0.00,0.00,0.00,0.00
longview_nuclear,10,nashBargaining,10.50,14.30,6.00,30.65,14.45,15.45,7.55,1.10
longview_nuclear,10,credenceWeighted,10.50,14.30,6.00,30.65,14.45,15.45,7.55,1.10
longview_nuclear,10,mec,17.00,0.00,1.00,0.00,15.00,16.00,32.00,19.00
longview_nuclear,10,met,17.00,2.00,2.00,6.00,15.00,16.00,42.00,0.00
longview_nuclear,10,splitCycle,17.00,6.17,5.17,0.00,14.33,16.00,41.17,0.17
longview_nuclear,10,borda,17.00,15.00,5.50,0.00,5.00,16.00,41.50,0.00
longview_nuclear,10,lexicographicMaximin,0.00,96.00,4.00,0.00,0.00,0.00,0.00,0.00
navigation_fund_cagefree,0.5,nashBargaining,11.45,16.20,6.65,35.00,2.80,12.55,8.15,7.20
navigation_fund_cagefree,0.5,credenceWeighted,11.45,16.20,6.65,35.00,2.80,12.55,8.15,7.20
navigation_fund_cagefree,0.5,mec,17.00,0.00,1.00,0.00,15.00,16.00,32.00,19.00
navigation_fund_cagefree,0.5,met,17.00,0.00,0.00,1.00,8.00,16.00,42.00,16.00
navigation_fund_cagefree,0.5,splitCycle,17.00,20.06,5.56,0.00,0.06,15.89,41.39,0.06
navigation_fund_cagefree,0.5,borda,17.00,20.00,5.50,0.00,0.00,16.00,41.50,0.00
navigation_fund_cagefree,0.5,lexicographicMaximin,0.00,96.00,4.00,0.00,0.00,0.00,0.00,0.00
navigation_fund_cagefree,1.5,nashBargaining,10.60,15.30,6.20,34.65,2.80,15.65,7.60,7.20
navigation_fund_cagefree,1.5,credenceWeighted,10.60,15.30,6.20,34.65,2.80,15.65,7.60,7.20
navigation_fund_cagefree,1.5,mec,17.00,0.00,1.00,0.00,15.00,16.00,32.00,19.00
navigation_fund_cagefree,1.5,met,17.00,13.00,2.00,6.00,1.00,16.00,42.00,3.00
navigation_fund_cagefree,1.5,splitCycle,17.00,20.00,5.50,0.00,0.00,16.00,41.50,0.00
navigation_fund_cagefree,1.5,borda,17.00,20.00,5.50,0.00,0.00,16.00,41.50,0.00
navigation_fund_cagefree,1.5,lexicographicMaximin,0.00,96.00,4.00,0.00,0.00,0.00,0.00,0.00
navigation_fund_cagefree,2,nashBargaining,10.70,15.30,6.25,34.35,2.80,15.75,7.65,7.20
navigation_fund_cagefree,2,credenceWeighted,10.70,15.30,6.25,34.35,2.80,15.75,7.65,7.20
navigation_fund_cagefree,2,mec,17.00,0.00,1.00,0.00,15.00,16.00,32.00,19.00
navigation_fund_cagefree,2,met,17.00,14.00,2.00,6.00,1.00,16.00,42.00,2.00
navigation_fund_cagefree,2,splitCycle,17.00,20.10,5.60,0.00,0.10,16.00,41.10,0.10
navigation_fund_cagefree,2,borda,17.00,19.17,6.17,0.17,0.17,16.00,41.17,0.17
