fund_varied,multiplier,scaling_scope,sensitivity_index,si_scaled_pp_per_oom,diff_ea_awf,diff_givewell,diff_leaf,diff_longview_ai,diff_longview_nuclear,diff_navigation_fund_cagefree,diff_navigation_fund_general,diff_sentinel_bio
baseline,1.0,all_periods,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
ea_awf,0.5,all_periods,3.1525,10.4724,-3.1525,0.1642,0.2942,0.0017,0.0017,0.1300,2.5592,0.0017
ea_awf,1.5,all_periods,2.1125,11.9966,2.1125,-0.0650,-0.3900,0.0000,0.0000,-0.0650,-1.5925,0.0000
ea_awf,2,all_periods,3.6400,12.0918,3.6400,-0.0975,-0.8775,-0.0325,0.0000,-0.1950,-2.4375,0.0000
givewell,0.5,all_periods,13.0450,43.3346,0.5200,-13.0450,11.2700,0.6000,0.0800,0.0975,0.3975,0.0800
givewell,1.5,all_periods,9.2775,52.6857,-0.5950,9.2775,-4.9300,-0.6000,0.0000,-0.0325,-3.1200,0.0000
givewell,2,all_periods,11.3125,37.5793,-0.8900,11.3125,-4.9300,-0.6000,0.0000,-0.0325,-4.8600,0.0000
leaf,0.5,all_periods,5.2975,17.5979,0.0650,5.2325,-4.9300,0.0000,0.0000,0.0000,-0.3675,0.0000
leaf,1.5,all_periods,11.4075,64.7818,-0.3250,-9.7000,11.4075,-0.2000,0.0000,0.0000,-1.1825,0.0000
leaf,2,all_periods,16.5050,54.8284,-0.8450,-12.7850,16.5050,-0.6000,0.0000,0.0000,-2.2750,0.0000
longview_ai,0.1,all_periods,14.4075,14.4075,0.1725,3.1600,1.1850,-11.4550,4.0475,0.0325,-2.9525,5.8100
longview_ai,2,all_periods,0.8000,2.6575,0.0000,0.5000,0.3000,-0.5675,-0.1000,-0.0000,-0.0325,-0.1000
longview_ai,4,all_periods,3.2725,5.4355,0.0000,-2.5200,-0.2300,3.2725,-0.2000,-0.0000,-0.1225,-0.2000
longview_ai,10,all_periods,6.3325,6.3325,-0.0244,-2.7258,-0.6358,6.3325,-0.2058,-0.0000,-2.3349,-0.4058
longview_nuclear,0.1,all_periods,2.0200,2.0200,0.0000,0.3800,0.0100,0.0000,-2.0200,0.0000,0.0100,1.6200
longview_nuclear,1.5,all_periods,1.3050,7.4109,0.0000,-0.2000,0.0000,0.0000,1.3050,0.0000,0.0000,-1.1050
longview_nuclear,2,all_periods,2.4660,8.1919,-0.0089,-0.5036,0.0064,0.0000,2.4531,0.0000,0.0064,-1.9536
longview_nuclear,4,all_periods,5.9458,9.8758,0.0000,-1.8075,-0.0867,-0.2625,5.9458,-0.0000,-0.0192,-3.7700
longview_nuclear,10,all_periods,10.1112,10.1112,0.0000,-2.7647,-0.1647,-2.7950,10.1112,-0.0000,-0.0272,-4.3597
navigation_fund_cagefree,0.5,all_periods,2.8799,9.5670,0.6175,-0.5186,0.0889,-0.4675,0.5964,-1.8939,0.3806,1.1964
navigation_fund_cagefree,1.5,all_periods,0.4190,2.3794,0.0650,0.1920,-0.0080,-0.1950,-0.1080,0.1300,0.0320,-0.1080
navigation_fund_cagefree,2,all_periods,0.6800,2.2589,0.1300,0.2833,0.0458,-0.3867,-0.0967,0.1950,0.0258,-0.1967
navigation_fund_general,0.5,all_periods,7.0150,23.3033,2.6650,3.3975,0.8875,0.0000,0.0000,0.0650,-7.0150,0.0000
navigation_fund_general,1.5,all_periods,2.1500,12.2096,-1.4950,-0.1325,-0.4575,0.0000,0.0000,-0.0650,2.1500,0.0000
navigation_fund_general,2,all_periods,3.6775,12.2164,-2.6000,-0.1650,-0.8150,0.0000,0.0000,-0.0975,3.6775,0.0000
sentinel_bio,0.1,all_periods,5.0800,5.0800,0.0000,0.3800,0.0100,0.0000,4.6800,0.0000,0.0100,-5.0800
sentinel_bio,0.8,all_periods,0.6850,7.0684,0.0000,0.1000,0.0000,0.0000,0.5850,0.0000,0.0000,-0.6850
sentinel_bio,2,all_periods,2.6960,8.9559,-0.0089,-1.1236,0.0464,0.0000,-1.5636,0.0000,0.0464,2.6031
sentinel_bio,4,all_periods,4.4783,7.4384,0.0000,-1.9525,-0.1592,-0.3275,-2.0200,-0.0000,-0.0192,4.4783
sentinel_bio,10,all_periods,10.5870,10.5870,0.0000,-3.6647,-0.2897,-4.6500,-1.9497,-0.0000,-0.0330,10.5870
all_gcr,0.0001,t5_only,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
all_gcr,0.001,t5_only,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
all_gcr,0.01,all_periods,9.8225,4.9113,1.1375,6.6550,1.9975,-7.0675,-0.2000,0.0325,-2.1550,-0.4000
all_gcr,0.1,all_periods,7.5675,7.5675,1.1375,4.2750,1.8175,-7.0675,-0.2000,0.0325,0.3050,-0.3000
all_gcr,10,all_periods,10.8798,10.8798,-0.0725,-4.6455,-1.8830,2.8125,3.2037,0.0000,-4.2788,4.8637
all_gcr,100,t5_only,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
all_gcr,1000,t5_only,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
all_gcr,10000,t5_only,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
all_aw,0.25,all_periods,12.0547,20.0224,-2.2608,8.7845,1.1537,0.0325,0.6920,-0.1050,-9.6888,1.3920
all_aw,0.5,all_periods,5.7850,19.2174,-0.8450,3.5325,0.7525,-0.1675,0.5000,-0.0650,-4.7075,1.0000
all_aw,2,all_periods,1.6020,5.3217,0.8450,0.0045,-0.9855,-0.4205,-0.0980,-0.0000,0.7525,-0.0980
all_aw,4,all_periods,3.9695,6.5932,2.0800,-0.4360,-0.9735,-1.9880,-0.1860,0.0975,1.7920,-0.3860
all_ghd,0.5,all_periods,1.3750,4.5677,0.5200,-0.0575,-0.7175,-0.6000,0.0800,0.0975,0.5575,0.1200
all_ghd,1.5,all_periods,3.9992,22.7108,-0.5883,3.0600,0.9392,-0.6000,0.0000,-0.0325,-2.7783,0.0000
all_ghd,2,all_periods,6.2050,20.6126,-0.9100,5.2525,0.9525,-0.6000,0.0000,0.0000,-4.6950,0.0000
