scenario,method,bound,credence_base,credence_scenario,ghd,gcr,aw
nashBargaining_low,nashBargaining,low,0.3500,0.1500,16.91,32.64,50.45
nashBargaining_high,nashBargaining,high,0.3500,0.5000,18.80,37.71,43.49
marketplace_low,marketplace,low,0.3000,0.2000,17.49,34.19,48.32
marketplace_high,marketplace,high,0.3000,0.5000,18.99,38.22,42.78
MEC_low,MEC,low,0.1500,0.1000,18.99,35.62,45.39
MEC_high,MEC,high,0.1500,0.2000,16.99,35.44,47.57
MET_low,MET,low,0.1000,0.0500,18.27,36.84,44.89
MET_high,MET,high,0.1000,0.2000,17.44,32.92,49.64
splitCycle_low,splitCycle,low,0.0800,0.0200,17.49,37.84,44.67
splitCycle_high,splitCycle,high,0.0800,0.1000,18.16,34.77,47.08
borda_low,borda,low,0.0200,0.0000,17.84,36.26,45.90
borda_high,borda,high,0.0200,0.0500,18.22,34.45,47.33
lexicographicMaximin_low,lexicographicMaximin,low,0.0000,0.0000,17.99,35.53,46.48
lexicographicMaximin_high,lexicographicMaximin,high,0.0000,0.0500,22.09,33.76,44.15
