scenario,method,bound,credence_base,credence_scenario,sensitivity_index,scaled_SI,most_affected_cause,most_affected_delta
lexicographicMaximin_high,lexicographicMaximin,high,0.0000,0.0500,4.1054,0.8211,ghd,4.11
nashBargaining_low,nashBargaining,low,0.3500,0.1500,3.9771,0.1989,aw,3.98
marketplace_high,marketplace,high,0.3000,0.5000,3.6930,0.1847,aw,-3.69
nashBargaining_high,nashBargaining,high,0.3500,0.5000,2.9828,0.1989,aw,-2.98
splitCycle_low,splitCycle,low,0.0800,0.0200,2.3109,0.3851,gcr,2.31
marketplace_low,marketplace,low,0.3000,0.2000,1.8465,0.1847,aw,1.85
MET_low,MET,low,0.1000,0.0500,1.5847,0.3169,aw,-1.58
MET_high,MET,high,0.1000,0.1500,1.5847,0.3169,aw,1.58
borda_high,borda,high,0.0200,0.0500,1.0908,0.3636,gcr,-1.09
MEC_low,MEC,low,0.1500,0.1000,1.0897,0.2179,aw,-1.09
MEC_high,MEC,high,0.1500,0.2000,1.0897,0.2179,aw,1.09
splitCycle_high,splitCycle,high,0.0800,0.1000,0.7703,0.3851,gcr,-0.77
borda_low,borda,low,0.0200,0.0000,0.7272,0.3636,gcr,0.73
lexicographicMaximin_low,lexicographicMaximin,low,0.0000,0.0000,0.0000,,aw,-0.00
baseline,baseline,baseline,,,0.0000,,,0.00
