scenario,method,bound,credence_base,credence_scenario,fund_si,cluster_si,cross_cluster_share
nashBargaining_low,nashBargaining,low,0.35,0.15,4.7205,3.9771,0.8425
marketplace_high,marketplace,high,0.3,0.5,4.3833,3.693,0.8425
lexicographicMaximin_high,lexicographicMaximin,high,0.0,0.05,4.1524,4.1054,0.9887
nashBargaining_high,nashBargaining,high,0.35,0.5,3.5403,2.9828,0.8425
MEC_low,MEC,low,0.15,0.1,2.3593,1.0897,0.4619
MEC_high,MEC,high,0.15,0.2,2.3593,1.0897,0.4619
splitCycle_low,splitCycle,low,0.08,0.02,2.3109,2.3109,1.0
marketplace_low,marketplace,low,0.3,0.2,2.1916,1.8465,0.8425
MET_low,MET,low,0.1,0.05,1.5847,1.5847,1.0
MET_high,MET,high,0.1,0.15,1.5847,1.5847,1.0
borda_high,borda,high,0.02,0.05,1.0908,1.0908,1.0
splitCycle_high,splitCycle,high,0.08,0.1,0.7703,0.7703,1.0
borda_low,borda,low,0.02,0.0,0.7272,0.7272,1.0
lexicographicMaximin_low,lexicographicMaximin,low,0.0,0.0,0.0,0.0,
baseline,baseline,baseline,,,0.0,0.0,
