scenario,method,bound,credence_base,credence_scenario,sensitivity_index,ca_sensitivity_index,scaled_SI,ea_awf_delta,givewell_delta,leaf_delta,longview_ai_delta,longview_nuclear_delta,navigation_fund_cagefree_delta,navigation_fund_general_delta,sentinel_bio_delta
nashBargaining_low,nashBargaining,low,0.3500,0.1500,4.7205,3.9771,0.2360,0.70,-0.72,-0.39,-3.61,0.53,0.06,3.22,0.21
marketplace_high,marketplace,high,0.3000,0.5000,4.3833,3.6930,0.2192,-0.65,0.67,0.36,3.35,-0.49,-0.06,-2.99,-0.20
lexicographicMaximin_high,lexicographicMaximin,high,0.0000,0.0500,4.1524,4.1054,0.8305,-0.64,4.15,-0.05,-1.16,-0.19,-0.78,-0.90,-0.43
nashBargaining_high,nashBargaining,high,0.3500,0.5000,3.5403,2.9828,0.2360,-0.53,0.54,0.29,2.71,-0.40,-0.04,-2.41,-0.16
MEC_low,MEC,low,0.1500,0.1000,2.3593,1.0897,0.4719,-0.25,0.76,0.23,1.37,-0.66,-0.02,-0.82,-0.61
MEC_high,MEC,high,0.1500,0.2000,2.3593,1.0897,0.4719,0.25,-0.76,-0.23,-1.37,0.66,0.02,0.82,0.61
splitCycle_low,splitCycle,low,0.0800,0.0200,2.3109,2.3109,0.3851,-0.28,-0.47,-0.04,1.51,0.24,-0.02,-1.50,0.55
marketplace_low,marketplace,low,0.3000,0.2000,2.1916,1.8465,0.2192,0.32,-0.34,-0.18,-1.68,0.25,0.03,1.49,0.10
MET_low,MET,low,0.1000,0.0500,1.5847,1.5847,0.3169,-0.23,0.16,0.16,1.01,0.10,-0.02,-1.33,0.14
MET_high,MET,high,0.1000,0.1500,1.5847,1.5847,0.3169,0.23,-0.16,-0.16,-1.01,-0.10,0.02,1.33,-0.14
borda_high,borda,high,0.0200,0.0500,1.0908,1.0908,0.3636,0.13,0.22,0.02,-0.71,-0.12,0.01,0.72,-0.26
splitCycle_high,splitCycle,high,0.0800,0.1000,0.7703,0.7703,0.3851,0.09,0.16,0.01,-0.50,-0.08,0.01,0.50,-0.18
borda_low,borda,low,0.0200,0.0000,0.7272,0.7272,0.3636,-0.09,-0.14,-0.01,0.47,0.08,-0.01,-0.48,0.18
lexicographicMaximin_low,lexicographicMaximin,low,0.0000,0.0000,0.0000,0.0000,,-0.00,-0.00,0.00,0.00,-0.00,-0.00,-0.00,-0.00
baseline,baseline,baseline,,,0.0000,0.0000,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
