scenario,method,bound,credence_base,credence_scenario,sensitivity_index,scaled_SI,most_affected_fund,most_affected_delta
nashBargaining_low,nashBargaining,low,0.3500,0.1500,0.0812,0.0041,sentinel_bio,0.039269
marketplace_high,marketplace,high,0.3000,0.5000,0.0800,0.0040,longview_ai,0.050000
nashBargaining_high,nashBargaining,high,0.3500,0.5000,0.0658,0.0044,navigation_fund_cagefree,0.041410
MEC_low,MEC,low,0.1500,0.1000,0.0491,0.0098,sentinel_bio,-0.039118
MEC_high,MEC,high,0.1500,0.2000,0.0491,0.0098,sentinel_bio,0.039118
lexicographicMaximin_high,lexicographicMaximin,high,0.0000,0.0500,0.0477,0.0095,givewell,0.047750
marketplace_low,marketplace,low,0.3000,0.2000,0.0400,0.0040,longview_ai,-0.025000
MET_high,MET,high,0.1000,0.1500,0.0213,0.0043,navigation_fund_cagefree,0.021296
splitCycle_low,splitCycle,low,0.0800,0.0200,0.0196,0.0033,ea_awf,-0.011297
borda_high,borda,high,0.0200,0.0500,0.0183,0.0061,navigation_fund_cagefree,0.018327
MET_low,MET,low,0.1000,0.0500,0.0158,0.0032,sentinel_bio,0.009167
splitCycle_high,splitCycle,high,0.0800,0.1000,0.0128,0.0064,navigation_fund_cagefree,0.012797
borda_low,borda,low,0.0200,0.0000,0.0103,0.0051,navigation_fund_general,-0.006667
lexicographicMaximin_low,lexicographicMaximin,low,0.0000,0.0000,0.0000,,sentinel_bio,0.000000
