combo,max_spend_multiplier,sensitivity_index,ghd_delta,gcr_delta,aw_delta
all_med,5,0.0000,0.00,0.00,0.00
gcr_slow,2.5,12.2115,12.21,-0.10,-12.12
gcr_slow,7.5,4.4340,-3.37,4.43,-1.07
gcr_slow,10,7.8340,-4.14,7.83,-3.70
gcr_fast,2.5,14.8115,14.81,-2.70,-12.12
gcr_fast,7.5,3.3660,-3.37,2.13,1.23
gcr_fast,10,4.8340,-4.14,4.83,-0.70
aw_slow,2.5,14.1170,14.12,-2.46,-11.66
aw_slow,7.5,4.8510,-4.85,1.70,3.15
aw_slow,10,4.8510,-4.85,4.10,0.75
aw_fast,2.5,14.9783,14.98,-2.60,-12.38
aw_fast,7.5,4.4340,-1.18,4.43,-3.25
aw_fast,10,6.8383,-2.59,6.84,-4.25
gcr_and_aw_slow,2.5,11.7770,11.78,-0.08,-11.69
gcr_and_aw_slow,7.5,4.8510,-4.85,2.73,2.12
gcr_and_aw_slow,10,6.5340,-4.85,6.53,-1.68
gcr_and_aw_fast,2.5,15.3783,15.38,-3.00,-12.38
gcr_and_aw_fast,7.5,2.7340,-1.18,2.73,-1.55
gcr_and_aw_fast,10,5.1383,-2.59,5.14,-2.55
gcr_slow_aw_fast,2.5,13.4783,13.48,-1.10,-12.38
gcr_slow_aw_fast,7.5,4.4340,-1.18,4.43,-3.25
gcr_slow_aw_fast,10,7.8383,-2.59,7.84,-5.25
gcr_fast_aw_slow,2.5,14.3770,14.38,-2.72,-11.66
gcr_fast_aw_slow,7.5,4.8510,-4.85,1.50,3.35
gcr_fast_aw_slow,10,4.8510,-4.85,3.90,0.95
