combo,max_spend_multiplier,scenario,ea_awf,givewell,leaf,longview_ai,longview_nuclear,navigation_fund_cagefree,navigation_fund_general,sentinel_bio
all_med,5,baseline_all_med_5x,9.10,7.52,9.78,21.49,3.08,24.27,15.43,9.32
gcr_low_power,2.5,gcr_low_power_spend_2_5x,5.72,21.05,10.84,21.71,2.04,19.14,12.15,7.36
gcr_low_power,7.5,gcr_low_power_spend_7_5x,9.53,4.91,9.25,20.99,4.44,28.77,11.50,10.61
gcr_low_power,10,gcr_low_power_spend_10x,10.08,4.59,8.78,20.99,5.59,29.57,8.24,12.16
gcr_high_power,2.5,gcr_high_power_spend_2_5x,5.72,18.45,10.84,23.91,1.44,19.14,12.15,8.36
gcr_high_power,7.5,gcr_high_power_spend_7_5x,9.53,4.91,9.25,20.99,3.60,28.77,9.20,13.75
gcr_high_power,10,gcr_high_power_spend_10x,8.38,4.59,8.78,20.99,4.75,29.57,6.94,16.00
aw_low_power,2.5,aw_low_power_spend_2_5x,5.83,20.27,10.79,22.07,1.93,19.21,12.14,7.77
aw_low_power,7.5,aw_low_power_spend_7_5x,13.07,6.12,9.44,20.99,4.73,25.93,7.20,12.52
aw_low_power,10,aw_low_power_spend_10x,13.34,4.78,9.35,20.99,5.88,26.09,5.68,13.89
aw_high_power,2.5,aw_high_power_spend_2_5x,5.60,20.62,10.80,22.05,1.83,19.19,12.35,7.57
aw_high_power,7.5,aw_high_power_spend_7_5x,7.33,4.57,8.53,20.97,4.03,29.48,14.47,10.62
aw_high_power,10,aw_high_power_spend_10x,5.73,4.57,8.44,20.97,5.08,32.67,10.57,11.97
gcr_and_aw_low_power,2.5,gcr_and_aw_low_power_spend_2_5x,5.83,20.79,10.82,21.71,2.14,19.21,12.14,7.36
gcr_and_aw_low_power,7.5,gcr_and_aw_low_power_spend_7_5x,13.07,6.12,9.44,20.99,4.44,25.93,9.40,10.61
gcr_and_aw_low_power,10,gcr_and_aw_low_power_spend_10x,13.34,4.78,9.35,20.99,5.59,26.69,7.08,12.18
gcr_and_aw_high_power,2.5,gcr_and_aw_high_power_spend_2_5x,5.60,18.38,10.84,23.87,1.44,19.19,12.34,8.36
gcr_and_aw_high_power,7.5,gcr_and_aw_high_power_spend_7_5x,7.04,4.57,8.53,20.99,3.40,29.48,13.64,12.35
gcr_and_aw_high_power,10,gcr_and_aw_high_power_spend_10x,5.11,4.57,8.44,20.99,4.65,32.64,8.80,14.80
gcr_low_aw_high_power,2.5,gcr_low_aw_high_power_spend_2_5x,5.60,20.93,10.84,21.69,2.04,19.19,12.35,7.36
gcr_low_aw_high_power,7.5,gcr_low_aw_high_power_spend_7_5x,7.42,4.57,8.53,20.97,4.24,29.48,14.57,10.21
gcr_low_aw_high_power,10,gcr_low_aw_high_power_spend_10x,5.83,4.57,8.44,20.97,5.29,32.67,10.67,11.56
gcr_high_aw_low_power,2.5,gcr_high_aw_low_power_spend_2_5x,5.83,18.03,10.72,23.87,1.44,19.21,12.14,8.76
gcr_high_aw_low_power,7.5,gcr_high_aw_low_power_spend_7_5x,13.07,6.12,9.44,20.99,3.60,25.93,7.10,13.75
gcr_high_aw_low_power,10,gcr_high_aw_low_power_spend_10x,13.04,4.78,9.35,20.99,4.75,25.59,5.48,16.02
