combo,max_spend_multiplier,scenario,project_id,base_alloc,new_alloc,alloc_delta,rank_delta
gcr_low_power,2.5,gcr_low_power_spend_2_5x,ea_awf,12.78,8.71,-4.07,1
gcr_low_power,2.5,gcr_low_power_spend_2_5x,givewell,12.95,26.48,13.53,3
gcr_low_power,2.5,gcr_low_power_spend_2_5x,leaf,4.94,6.18,1.24,0
gcr_low_power,2.5,gcr_low_power_spend_2_5x,longview_ai,23.22,23.58,0.36,-1
gcr_low_power,2.5,gcr_low_power_spend_2_5x,longview_nuclear,3.82,3.02,-0.80,0
gcr_low_power,2.5,gcr_low_power_spend_2_5x,navigation_fund_cagefree,15.64,7.87,-7.77,-2
gcr_low_power,2.5,gcr_low_power_spend_2_5x,navigation_fund_general,18.06,17.78,-0.28,-1
gcr_low_power,2.5,gcr_low_power_spend_2_5x,sentinel_bio,8.59,6.38,-2.21,0
gcr_low_power,7.5,gcr_low_power_spend_7_5x,ea_awf,12.78,12.25,-0.52,1
gcr_low_power,7.5,gcr_low_power_spend_7_5x,givewell,12.95,10.13,-2.82,-1
gcr_low_power,7.5,gcr_low_power_spend_7_5x,leaf,4.94,4.39,-0.55,-1
gcr_low_power,7.5,gcr_low_power_spend_7_5x,longview_ai,23.22,22.72,-0.50,0
gcr_low_power,7.5,gcr_low_power_spend_7_5x,longview_nuclear,3.82,5.42,1.60,1
gcr_low_power,7.5,gcr_low_power_spend_7_5x,navigation_fund_cagefree,15.64,22.15,6.50,1
gcr_low_power,7.5,gcr_low_power_spend_7_5x,navigation_fund_general,18.06,13.31,-4.75,-1
gcr_low_power,7.5,gcr_low_power_spend_7_5x,sentinel_bio,8.59,9.63,1.04,0
gcr_low_power,10,gcr_low_power_spend_10x,ea_awf,12.78,12.80,0.03,2
gcr_low_power,10,gcr_low_power_spend_10x,givewell,12.95,9.91,-3.04,-2
gcr_low_power,10,gcr_low_power_spend_10x,leaf,4.94,3.84,-1.10,-1
gcr_low_power,10,gcr_low_power_spend_10x,longview_ai,23.22,22.72,-0.50,-1
gcr_low_power,10,gcr_low_power_spend_10x,longview_nuclear,3.82,6.57,2.75,1
gcr_low_power,10,gcr_low_power_spend_10x,navigation_fund_cagefree,15.64,22.95,7.30,2
gcr_low_power,10,gcr_low_power_spend_10x,navigation_fund_general,18.06,10.03,-8.03,-3
gcr_low_power,10,gcr_low_power_spend_10x,sentinel_bio,8.59,11.18,2.59,2
gcr_high_power,2.5,gcr_high_power_spend_2_5x,ea_awf,12.78,8.71,-4.07,1
gcr_high_power,2.5,gcr_high_power_spend_2_5x,givewell,12.95,23.92,10.97,2
gcr_high_power,2.5,gcr_high_power_spend_2_5x,leaf,4.94,6.18,1.24,0
gcr_high_power,2.5,gcr_high_power_spend_2_5x,longview_ai,23.22,25.74,2.52,0
gcr_high_power,2.5,gcr_high_power_spend_2_5x,longview_nuclear,3.82,1.72,-2.10,0
gcr_high_power,2.5,gcr_high_power_spend_2_5x,navigation_fund_cagefree,15.64,7.87,-7.77,-3
gcr_high_power,2.5,gcr_high_power_spend_2_5x,navigation_fund_general,18.06,17.78,-0.28,-1
gcr_high_power,2.5,gcr_high_power_spend_2_5x,sentinel_bio,8.59,8.08,-0.51,1
gcr_high_power,7.5,gcr_high_power_spend_7_5x,ea_awf,12.78,12.25,-0.52,1
gcr_high_power,7.5,gcr_high_power_spend_7_5x,givewell,12.95,10.13,-2.82,-2
gcr_high_power,7.5,gcr_high_power_spend_7_5x,leaf,4.94,4.39,-0.55,0
gcr_high_power,7.5,gcr_high_power_spend_7_5x,longview_ai,23.22,22.72,-0.50,0
gcr_high_power,7.5,gcr_high_power_spend_7_5x,longview_nuclear,3.82,3.60,-0.22,0
gcr_high_power,7.5,gcr_high_power_spend_7_5x,navigation_fund_cagefree,15.64,22.15,6.50,1
gcr_high_power,7.5,gcr_high_power_spend_7_5x,navigation_fund_general,18.06,11.01,-7.05,-3
gcr_high_power,7.5,gcr_high_power_spend_7_5x,sentinel_bio,8.59,13.75,5.16,3
gcr_high_power,10,gcr_high_power_spend_10x,ea_awf,12.78,11.10,-1.67,1
gcr_high_power,10,gcr_high_power_spend_10x,givewell,12.95,9.91,-3.04,-1
gcr_high_power,10,gcr_high_power_spend_10x,leaf,4.94,3.84,-1.10,-1
gcr_high_power,10,gcr_high_power_spend_10x,longview_ai,23.22,22.72,-0.50,-1
gcr_high_power,10,gcr_high_power_spend_10x,longview_nuclear,3.82,4.75,0.93,1
gcr_high_power,10,gcr_high_power_spend_10x,navigation_fund_cagefree,15.64,22.95,7.30,2
gcr_high_power,10,gcr_high_power_spend_10x,navigation_fund_general,18.06,8.73,-9.33,-4
gcr_high_power,10,gcr_high_power_spend_10x,sentinel_bio,8.59,16.00,7.41,3
aw_low_power,2.5,aw_low_power_spend_2_5x,ea_awf,12.78,8.87,-3.90,1
aw_low_power,2.5,aw_low_power_spend_2_5x,givewell,12.95,25.80,12.84,3
aw_low_power,2.5,aw_low_power_spend_2_5x,leaf,4.94,6.15,1.21,0
aw_low_power,2.5,aw_low_power_spend_2_5x,longview_ai,23.22,23.80,0.58,-1
aw_low_power,2.5,aw_low_power_spend_2_5x,longview_nuclear,3.82,2.69,-1.14,0
aw_low_power,2.5,aw_low_power_spend_2_5x,navigation_fund_cagefree,15.64,7.94,-7.71,-2
aw_low_power,2.5,aw_low_power_spend_2_5x,navigation_fund_general,18.06,17.71,-0.35,-1
aw_low_power,2.5,aw_low_power_spend_2_5x,sentinel_bio,8.59,7.05,-1.54,0
aw_low_power,7.5,aw_low_power_spend_7_5x,ea_awf,12.78,18.19,5.41,3
aw_low_power,7.5,aw_low_power_spend_7_5x,givewell,12.95,11.48,-1.47,-1
aw_low_power,7.5,aw_low_power_spend_7_5x,leaf,4.94,4.65,-0.29,-1
aw_low_power,7.5,aw_low_power_spend_7_5x,longview_ai,23.22,22.72,-0.50,0
aw_low_power,7.5,aw_low_power_spend_7_5x,longview_nuclear,3.82,5.48,1.66,1
