combo,max_spend_multiplier,scenario,ghd,gcr,aw
all_med,5,baseline_all_med_5x,17.89,35.63,46.48
gcr_low_power,2.5,gcr_low_power_spend_2_5x,32.66,32.98,34.36
gcr_low_power,7.5,gcr_low_power_spend_7_5x,14.52,37.77,47.71
gcr_low_power,10,gcr_low_power_spend_10x,13.75,40.47,45.78
gcr_high_power,2.5,gcr_high_power_spend_2_5x,30.10,35.54,34.36
gcr_high_power,7.5,gcr_high_power_spend_7_5x,14.52,40.07,45.41
gcr_high_power,10,gcr_high_power_spend_10x,13.75,43.47,42.78
aw_low_power,2.5,aw_low_power_spend_2_5x,31.95,33.54,34.51
aw_low_power,7.5,aw_low_power_spend_7_5x,16.13,40.00,43.87
aw_low_power,10,aw_low_power_spend_10x,14.70,42.50,42.81
aw_high_power,2.5,aw_high_power_spend_2_5x,32.39,33.22,34.39
aw_high_power,7.5,aw_high_power_spend_7_5x,13.23,37.35,49.42
aw_high_power,10,aw_high_power_spend_10x,13.02,39.74,47.25
gcr_and_aw_low_power,2.5,gcr_and_aw_low_power_spend_2_5x,32.41,33.08,34.51
gcr_and_aw_low_power,7.5,gcr_and_aw_low_power_spend_7_5x,16.13,37.80,46.07
gcr_and_aw_low_power,10,gcr_and_aw_low_power_spend_10x,14.70,40.50,44.81
gcr_and_aw_high_power,2.5,gcr_and_aw_high_power_spend_2_5x,30.05,35.59,34.36
gcr_and_aw_high_power,7.5,gcr_and_aw_high_power_spend_7_5x,13.26,38.48,48.26
gcr_and_aw_high_power,10,gcr_and_aw_high_power_spend_10x,13.02,42.17,44.81
gcr_low_aw_high_power,2.5,gcr_low_aw_high_power_spend_2_5x,32.65,32.96,34.39
gcr_low_aw_high_power,7.5,gcr_low_aw_high_power_spend_7_5x,13.23,37.15,49.62
gcr_low_aw_high_power,10,gcr_low_aw_high_power_spend_10x,13.02,39.54,47.45
gcr_high_aw_low_power,2.5,gcr_high_aw_low_power_spend_2_5x,29.61,35.88,34.51
gcr_high_aw_low_power,7.5,gcr_high_aw_low_power_spend_7_5x,16.13,40.10,43.77
gcr_high_aw_low_power,10,gcr_high_aw_low_power_spend_10x,14.70,43.50,41.81
