combo,max_spend_multiplier,scenario,sensitivity_index,most_affected_cause,most_affected_delta
gcr_low_power,2.5,gcr_low_power_spend_2_5x,14.7715,ghd,14.77
gcr_low_power,7.5,gcr_low_power_spend_7_5x,3.3660,ghd,-3.37
gcr_low_power,10,gcr_low_power_spend_10x,4.8340,gcr,4.83
gcr_high_power,2.5,gcr_high_power_spend_2_5x,12.2115,ghd,12.21
gcr_high_power,7.5,gcr_high_power_spend_7_5x,4.4340,gcr,4.43
gcr_high_power,10,gcr_high_power_spend_10x,7.8340,gcr,7.83
aw_low_power,2.5,aw_low_power_spend_2_5x,14.0590,ghd,14.06
aw_low_power,7.5,aw_low_power_spend_7_5x,4.3710,gcr,4.37
aw_low_power,10,aw_low_power_spend_10x,6.8622,gcr,6.86
aw_high_power,2.5,aw_high_power_spend_2_5x,14.4995,ghd,14.50
aw_high_power,7.5,aw_high_power_spend_7_5x,4.6627,ghd,-4.66
aw_high_power,10,aw_high_power_spend_10x,4.8710,ghd,-4.87
gcr_and_aw_low_power,2.5,gcr_and_aw_low_power_spend_2_5x,14.5190,ghd,14.52
gcr_and_aw_low_power,7.5,gcr_and_aw_low_power_spend_7_5x,2.1710,gcr,2.17
gcr_and_aw_low_power,10,gcr_and_aw_low_power_spend_10x,4.8622,gcr,4.86
gcr_and_aw_high_power,2.5,gcr_and_aw_high_power_spend_2_5x,12.1595,ghd,12.16
gcr_and_aw_high_power,7.5,gcr_and_aw_high_power_spend_7_5x,4.6302,ghd,-4.63
gcr_and_aw_high_power,10,gcr_and_aw_high_power_spend_10x,6.5340,gcr,6.53
gcr_low_aw_high_power,2.5,gcr_low_aw_high_power_spend_2_5x,14.7595,ghd,14.76
gcr_low_aw_high_power,7.5,gcr_low_aw_high_power_spend_7_5x,4.6627,ghd,-4.66
gcr_low_aw_high_power,10,gcr_low_aw_high_power_spend_10x,4.8710,ghd,-4.87
gcr_high_aw_low_power,2.5,gcr_high_aw_low_power_spend_2_5x,11.9630,aw,-11.96
gcr_high_aw_low_power,7.5,gcr_high_aw_low_power_spend_7_5x,4.4710,gcr,4.47
gcr_high_aw_low_power,10,gcr_high_aw_low_power_spend_10x,7.8622,gcr,7.86
