combo,project_id,base_alloc,new_alloc,alloc_delta,rank_delta
gcr_low_power,ea_awf,12.78,12.78,0.00,0
gcr_low_power,givewell,12.99,13.59,0.60,0
gcr_low_power,leaf,4.91,4.91,0.00,0
gcr_low_power,longview_ai,23.22,23.12,-0.10,0
gcr_low_power,longview_nuclear,3.82,4.18,0.36,0
gcr_low_power,navigation_fund_cagefree,15.64,15.64,0.00,0
gcr_low_power,navigation_fund_general,18.06,18.06,0.00,0
gcr_low_power,sentinel_bio,8.59,7.74,-0.86,0
gcr_high_power,ea_awf,12.78,12.78,0.00,1
gcr_high_power,givewell,12.99,11.99,-1.00,-1
gcr_high_power,leaf,4.91,4.71,-0.20,0
gcr_high_power,longview_ai,23.22,23.22,0.00,0
gcr_high_power,longview_nuclear,3.82,2.36,-1.47,0
gcr_high_power,navigation_fund_cagefree,15.64,15.64,0.00,0
gcr_high_power,navigation_fund_general,18.06,18.06,0.00,0
gcr_high_power,sentinel_bio,8.59,11.26,2.66,0
aw_low_power,ea_awf,12.78,15.51,2.73,3
aw_low_power,givewell,12.99,14.08,1.10,0
aw_low_power,leaf,4.91,5.57,0.67,0
aw_low_power,longview_ai,23.22,23.22,0.00,0
aw_low_power,longview_nuclear,3.82,4.02,0.20,0
aw_low_power,navigation_fund_cagefree,15.64,15.06,-0.58,0
aw_low_power,navigation_fund_general,18.06,13.46,-4.60,-3
aw_low_power,sentinel_bio,8.59,9.09,0.50,0
aw_high_power,ea_awf,12.78,10.39,-2.38,0
aw_high_power,givewell,12.99,13.49,0.50,0
aw_high_power,leaf,4.91,4.77,-0.13,0
aw_high_power,longview_ai,23.22,23.19,-0.03,0
aw_high_power,longview_nuclear,3.82,3.62,-0.20,0
aw_high_power,navigation_fund_cagefree,15.64,15.77,0.13,0
aw_high_power,navigation_fund_general,18.06,20.57,2.51,0
aw_high_power,sentinel_bio,8.59,8.19,-0.40,0
gcr_and_aw_low_power,ea_awf,12.78,15.51,2.73,3
gcr_and_aw_low_power,givewell,12.99,15.08,2.10,1
gcr_and_aw_low_power,leaf,4.91,5.57,0.67,0
gcr_and_aw_low_power,longview_ai,23.22,23.12,-0.10,0
gcr_and_aw_low_power,longview_nuclear,3.82,4.27,0.45,0
gcr_and_aw_low_power,navigation_fund_cagefree,15.64,15.06,-0.58,-1
gcr_and_aw_low_power,navigation_fund_general,18.06,13.46,-4.60,-3
gcr_and_aw_low_power,sentinel_bio,8.59,7.93,-0.66,0
gcr_and_aw_high_power,ea_awf,12.78,10.43,-2.35,0
gcr_and_aw_high_power,givewell,12.99,12.19,-0.80,0
gcr_and_aw_high_power,leaf,4.91,4.77,-0.13,0
gcr_and_aw_high_power,longview_ai,23.22,24.12,0.90,0
gcr_and_aw_high_power,longview_nuclear,3.82,2.26,-1.56,0
gcr_and_aw_high_power,navigation_fund_cagefree,15.64,15.77,0.13,0
gcr_and_aw_high_power,navigation_fund_general,18.06,20.50,2.44,0
gcr_and_aw_high_power,sentinel_bio,8.59,9.96,1.37,0
gcr_low_aw_high_power,ea_awf,12.78,10.39,-2.38,0
gcr_low_aw_high_power,givewell,12.99,13.59,0.60,0
gcr_low_aw_high_power,leaf,4.91,4.77,-0.13,0
gcr_low_aw_high_power,longview_ai,23.22,23.09,-0.13,0
gcr_low_aw_high_power,longview_nuclear,3.82,4.08,0.26,0
gcr_low_aw_high_power,navigation_fund_cagefree,15.64,15.77,0.13,0
gcr_low_aw_high_power,navigation_fund_general,18.06,20.57,2.51,0
gcr_low_aw_high_power,sentinel_bio,8.59,7.74,-0.85,0
gcr_high_aw_low_power,ea_awf,12.78,15.51,2.73,3
gcr_high_aw_low_power,givewell,12.99,13.78,0.80,0
gcr_high_aw_low_power,leaf,4.91,5.37,0.47,0
gcr_high_aw_low_power,longview_ai,23.22,23.22,0.00,0
gcr_high_aw_low_power,longview_nuclear,3.82,2.35,-1.47,0
gcr_high_aw_low_power,navigation_fund_cagefree,15.64,15.06,-0.58,0
gcr_high_aw_low_power,navigation_fund_general,18.06,13.46,-4.60,-3
gcr_high_aw_low_power,sentinel_bio,8.59,11.25,2.66,0
