combo,max_spend_multiplier,method,ea_awf,givewell,leaf,longview_ai,longview_nuclear,navigation_fund_cagefree,navigation_fund_general,sentinel_bio
all_med,5,nashBargaining,10.50,15.30,6.20,34.95,2.80,15.45,7.60,7.20
all_med,5,credenceWeighted,10.50,15.30,6.20,34.95,2.80,15.45,7.60,7.20
all_med,5,mec,17.00,0.00,1.00,0.00,15.00,16.00,32.00,19.00
all_med,5,met,17.00,11.00,2.00,6.00,2.00,16.00,42.00,4.00
all_med,5,splitCycle,17.00,20.10,5.60,0.00,0.10,16.00,41.10,0.10
all_med,5,borda,17.00,20.00,5.50,0.00,0.00,16.00,41.50,0.00
all_med,5,lexicographicMaximin,0.00,96.00,4.00,0.00,0.00,0.00,0.00,0.00
gcr_slow,2.5,nashBargaining,8.55,16.00,6.65,34.95,0.90,7.80,16.05,9.10
gcr_slow,2.5,credenceWeighted,8.55,16.00,6.65,34.95,0.90,7.80,16.05,9.10
gcr_slow,2.5,mec,9.00,38.00,6.00,0.00,8.00,8.00,21.00,10.00
gcr_slow,2.5,met,9.00,33.00,2.00,19.00,1.00,8.00,21.00,7.00
gcr_slow,2.5,splitCycle,9.00,37.00,6.50,18.50,0.00,8.00,21.00,0.00
gcr_slow,2.5,borda,9.00,55.00,7.00,0.00,0.00,8.00,21.00,0.00
gcr_slow,2.5,lexicographicMaximin,0.00,96.00,4.00,0.00,0.00,0.00,0.00,0.00
gcr_slow,7.5,nashBargaining,7.70,15.25,5.85,34.95,0.70,21.15,5.10,9.30
gcr_slow,7.5,credenceWeighted,7.70,15.25,5.85,34.95,0.70,21.15,5.10,9.30
gcr_slow,7.5,mec,15.00,0.00,0.00,0.00,22.00,24.00,10.00,29.00
gcr_slow,7.5,met,24.00,0.00,0.00,0.00,6.00,24.00,17.00,29.00
gcr_slow,7.5,splitCycle,25.00,2.00,6.00,0.00,0.00,24.00,43.00,0.00
gcr_slow,7.5,borda,25.00,3.00,5.50,0.00,0.00,24.00,42.50,0.00
gcr_slow,7.5,lexicographicMaximin,0.00,96.00,4.00,0.00,0.00,0.00,0.00,0.00
gcr_slow,10,nashBargaining,7.70,15.25,5.85,34.95,0.70,21.15,5.10,9.30
gcr_slow,10,credenceWeighted,7.70,15.25,5.85,34.95,0.70,21.15,5.10,9.30
gcr_slow,10,mec,8.00,0.00,0.00,0.00,29.00,20.00,5.00,38.00
gcr_slow,10,met,13.00,0.00,0.00,0.00,9.00,30.00,10.00,38.00
gcr_slow,10,splitCycle,33.00,0.00,0.00,0.00,0.00,31.00,36.00,0.00
gcr_slow,10,borda,33.00,0.00,2.00,0.00,0.00,31.00,34.00,0.00
gcr_slow,10,lexicographicMaximin,0.00,96.00,4.00,0.00,0.00,0.00,0.00,0.00
gcr_fast,2.5,nashBargaining,8.55,16.00,6.65,34.95,3.20,7.80,16.05,6.80
gcr_fast,2.5,credenceWeighted,8.55,16.00,6.65,34.95,3.20,7.80,16.05,6.80
gcr_fast,2.5,mec,9.00,38.00,6.00,0.00,8.00,8.00,21.00,10.00
gcr_fast,2.5,met,9.00,52.00,3.00,5.00,0.00,8.00,21.00,2.00
gcr_fast,2.5,splitCycle,9.00,50.50,7.00,4.50,0.00,8.00,21.00,0.00
gcr_fast,2.5,borda,9.00,55.00,7.00,0.00,0.00,8.00,21.00,0.00
gcr_fast,2.5,lexicographicMaximin,0.00,96.00,4.00,0.00,0.00,0.00,0.00,0.00
gcr_fast,7.5,nashBargaining,7.70,15.25,5.85,34.95,3.20,21.15,5.10,6.80
gcr_fast,7.5,credenceWeighted,7.70,15.25,5.85,34.95,3.20,21.15,5.10,6.80
gcr_fast,7.5,mec,15.00,0.00,0.00,0.00,22.00,24.00,10.00,29.00
gcr_fast,7.5,met,25.00,0.00,0.00,0.00,3.00,24.00,43.00,5.00
gcr_fast,7.5,splitCycle,25.00,2.00,6.00,0.00,0.00,24.00,43.00,0.00
gcr_fast,7.5,borda,25.00,3.00,5.50,0.00,0.00,24.00,42.50,0.00
gcr_fast,7.5,lexicographicMaximin,0.00,96.00,4.00,0.00,0.00,0.00,0.00,0.00
gcr_fast,10,nashBargaining,7.70,15.25,5.85,34.95,3.20,21.15,5.10,6.80
gcr_fast,10,credenceWeighted,7.70,15.25,5.85,34.95,3.20,21.15,5.10,6.80
gcr_fast,10,mec,8.00,0.00,0.00,0.00,29.00,20.00,5.00,38.00
gcr_fast,10,met,33.00,0.00,0.00,0.00,4.00,31.00,25.00,7.00
gcr_fast,10,splitCycle,33.00,0.00,0.00,0.00,0.00,31.00,36.00,0.00
gcr_fast,10,borda,33.00,0.00,2.00,0.00,0.00,31.00,34.00,0.00
gcr_fast,10,lexicographicMaximin,0.00,96.00,4.00,0.00,0.00,0.00,0.00,0.00
aw_slow,2.5,nashBargaining,8.55,15.45,6.55,34.90,2.80,7.85,16.70,7.20
aw_slow,2.5,credenceWeighted,8.55,15.45,6.55,34.90,2.80,7.85,16.70,7.20
aw_slow,2.5,mec,9.00,38.00,6.00,0.00,8.00,8.00,21.00,10.00
aw_slow,2.5,met,9.00,49.00,3.00,7.00,1.00,8.00,21.00,2.00
aw_slow,2.5,splitCycle,9.00,48.50,6.50,7.00,0.00,8.00,21.00,0.00
aw_slow,2.5,borda,9.00,55.20,6.20,0.20,0.20,8.00,21.00,0.20
aw_slow,2.5,lexicographicMaximin,0.00,96.00,4.00,0.00,0.00,0.00,0.00,0.00
aw_slow,7.5,nashBargaining,8.00,15.15,4.85,34.90,2.80,23.25,3.85,7.20
aw_slow,7.5,credenceWeighted,8.00,15.15,4.85,34.90,2.80,23.25,3.85,7.20
aw_slow,7.5,mec,16.00,0.00,0.00,0.00,22.00,24.00,9.00,29.00
aw_slow,7.5,met,25.00,0.00,0.00,0.00,1.00,24.00,47.00,3.00
aw_slow,7.5,splitCycle,25.00,0.00,0.00,0.00,0.00,24.00,51.00,0.00
aw_slow,7.5,borda,25.00,0.00,2.00,0.00,0.00,24.00,49.00,0.00
aw_slow,7.5,lexicographicMaximin,0.00,96.00,4.00,0.00,0.00,0.00,0.00,0.00
aw_slow,10,nashBargaining,6.75,15.15,4.85,34.90,2.80,25.55,2.80,7.20
