combo,max_spend_multiplier,sensitivity_index,ca_sensitivity_index,ea_awf_delta,givewell_delta,leaf_delta,longview_ai_delta,longview_nuclear_delta,navigation_fund_cagefree_delta,navigation_fund_general_delta,sentinel_bio_delta
gcr_and_aw_slow,10,17.9490,6.5340,-1.76,-3.11,-1.75,-0.50,0.83,10.92,-10.84,6.21
gcr_slow,10,15.6390,7.8340,-1.67,-3.04,-1.10,-0.50,0.93,7.30,-9.33,7.41
aw_slow,10,15.5490,4.8510,-0.93,-3.11,-1.75,-0.53,1.99,10.92,-9.24,2.64
gcr_and_aw_fast,2.5,15.3783,15.3783,-4.03,14.08,1.29,-0.10,-0.69,-7.67,-0.67,-2.20
gcr_fast_aw_slow,10,15.3490,4.8510,-0.93,-3.11,-1.75,-0.53,2.45,10.92,-9.04,1.99
gcr_fast,2.5,15.1315,14.8115,-4.07,13.57,1.24,0.32,-0.80,-7.77,-0.28,-2.21
aw_fast,2.5,15.0800,14.9783,-4.03,13.68,1.29,0.10,-1.15,-7.67,-0.67,-1.55
aw_slow,2.5,14.8155,14.1170,-4.07,12.91,1.20,0.55,-1.25,-7.74,0.15,-1.75
gcr_fast_aw_slow,2.5,14.8155,14.3770,-4.07,13.21,1.16,0.29,-0.80,-7.74,0.15,-2.21
gcr_slow,2.5,14.7315,12.2115,-4.07,10.97,1.24,2.52,-2.10,-7.77,-0.28,-0.51
gcr_slow_aw_fast,2.5,14.5800,13.4783,-4.03,12.28,1.19,1.10,-2.09,-7.67,-0.67,-0.10
gcr_and_aw_slow,2.5,14.4480,11.7770,-4.07,10.61,1.16,2.52,-2.10,-7.77,0.15,-0.51
gcr_slow_aw_fast,10,13.5519,7.8383,-1.65,-2.47,-0.11,-0.50,0.93,5.22,-8.82,7.41
gcr_fast,10,12.6690,4.8340,0.03,-3.04,-1.10,-0.50,2.75,7.30,-8.03,2.59
aw_fast,10,12.6519,6.8383,-1.05,-2.47,-0.11,-0.50,2.79,5.32,-8.52,4.54
gcr_slow,7.5,11.6620,4.4340,-0.52,-2.82,-0.55,-0.50,-0.22,6.50,-7.05,5.16
gcr_and_aw_slow,7.5,11.5270,4.8510,-0.18,-3.11,-1.75,-0.50,-0.42,7.87,-5.58,3.66
gcr_and_aw_fast,10,10.9519,5.1383,-0.05,-2.47,-0.11,-0.50,2.85,5.32,-7.82,2.79
aw_slow,7.5,10.1040,4.8510,-0.18,-3.11,-1.75,-0.53,0.94,7.87,-4.55,1.29
gcr_slow_aw_fast,7.5,9.9720,4.4340,-0.55,-1.16,-0.03,-0.50,-0.22,4.82,-7.52,5.16
gcr_fast_aw_slow,7.5,9.9040,4.8510,-0.18,-3.11,-1.75,-0.53,1.40,7.87,-4.35,0.64
aw_fast,7.5,9.7490,4.4340,-0.55,-1.16,-0.03,-0.50,1.74,4.82,-7.52,3.19
gcr_fast,7.5,9.1390,3.3660,-0.52,-2.82,-0.55,-0.50,1.60,6.50,-4.75,1.04
gcr_and_aw_fast,7.5,8.0490,2.7340,-0.55,-1.16,-0.03,-0.50,1.80,4.82,-5.82,1.44
all_med,5,0.0000,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
