combo,method,ea_awf,givewell,leaf,longview_ai,longview_nuclear,navigation_fund_cagefree,navigation_fund_general,sentinel_bio
baseline,nashBargaining,10.50,15.30,6.20,34.95,2.80,15.45,7.60,7.20
baseline,credenceWeighted,10.50,15.30,6.20,34.95,2.80,15.45,7.60,7.20
baseline,mec,17.00,0.00,1.00,0.00,15.00,16.00,32.00,19.00
baseline,met,17.00,11.00,2.00,6.00,2.00,16.00,42.00,4.00
baseline,splitCycle,17.00,20.10,5.60,0.00,0.10,16.00,41.10,0.10
baseline,borda,17.00,20.00,5.50,0.00,0.00,16.00,41.50,0.00
baseline,lexicographicMaximin,0.00,96.00,4.00,0.00,0.00,0.00,0.00,0.00
gcr_slow,nashBargaining,10.50,15.30,6.20,34.95,0.70,15.45,7.60,9.30
gcr_slow,credenceWeighted,10.50,15.30,6.20,34.95,0.70,15.45,7.60,9.30
gcr_slow,mec,17.00,0.00,1.00,0.00,15.00,16.00,32.00,19.00
gcr_slow,met,17.00,0.00,0.00,2.00,4.00,16.00,42.00,19.00
gcr_slow,splitCycle,17.00,20.10,5.60,0.00,0.10,16.00,41.10,0.10
gcr_slow,borda,17.00,20.00,5.50,0.00,0.00,16.00,41.50,0.00
gcr_slow,lexicographicMaximin,0.00,96.00,4.00,0.00,0.00,0.00,0.00,0.00
gcr_fast,nashBargaining,10.50,15.30,6.20,34.95,3.20,15.45,7.60,6.80
gcr_fast,credenceWeighted,10.50,15.30,6.20,34.95,3.20,15.45,7.60,6.80
gcr_fast,mec,17.00,0.00,1.00,0.00,15.00,16.00,32.00,19.00
gcr_fast,met,17.00,16.00,2.00,4.00,1.00,16.00,42.00,2.00
gcr_fast,splitCycle,17.00,20.10,5.60,0.00,0.10,16.00,41.10,0.10
gcr_fast,borda,17.00,20.00,5.50,0.00,0.00,16.00,41.50,0.00
gcr_fast,lexicographicMaximin,0.00,96.00,4.00,0.00,0.00,0.00,0.00,0.00
aw_slow,nashBargaining,12.10,15.20,5.40,34.90,2.80,15.60,6.80,7.20
aw_slow,credenceWeighted,12.10,15.20,5.40,34.90,2.80,15.60,6.80,7.20
aw_slow,mec,17.00,0.00,0.00,0.00,15.00,16.00,33.00,19.00
aw_slow,met,17.00,13.00,2.00,6.00,1.00,16.00,42.00,3.00
aw_slow,splitCycle,17.00,13.00,6.00,6.00,0.00,16.00,42.00,0.00
aw_slow,borda,17.00,19.00,6.00,0.00,0.00,16.00,42.00,0.00
aw_slow,lexicographicMaximin,0.00,96.00,4.00,0.00,0.00,0.00,0.00,0.00
aw_fast,nashBargaining,9.50,15.75,6.65,34.95,2.80,15.35,7.80,7.20
aw_fast,credenceWeighted,9.50,15.75,6.65,34.95,2.80,15.35,7.80,7.20
aw_fast,mec,17.00,4.00,5.00,0.00,15.00,16.00,24.00,19.00
aw_fast,met,17.00,2.00,2.00,6.00,5.00,16.00,42.00,10.00
aw_fast,splitCycle,17.00,31.10,6.60,0.00,0.10,16.00,29.10,0.10
aw_fast,borda,17.00,32.00,6.50,0.00,0.00,16.00,28.50,0.00
aw_fast,lexicographicMaximin,0.00,96.00,4.00,0.00,0.00,0.00,0.00,0.00
gcr_and_aw_slow,nashBargaining,12.15,15.20,5.40,34.95,0.70,15.55,6.75,9.30
gcr_and_aw_slow,credenceWeighted,12.15,15.20,5.40,34.95,0.70,15.55,6.75,9.30
gcr_and_aw_slow,mec,17.00,0.00,0.00,0.00,15.00,16.00,33.00,19.00
gcr_and_aw_slow,met,17.00,0.00,0.00,11.00,2.00,16.00,42.00,12.00
gcr_and_aw_slow,splitCycle,17.00,7.00,5.50,12.50,0.00,16.00,42.00,0.00
gcr_and_aw_slow,borda,17.00,19.00,6.00,0.00,0.00,16.00,42.00,0.00
gcr_and_aw_slow,lexicographicMaximin,0.00,96.00,4.00,0.00,0.00,0.00,0.00,0.00
gcr_and_aw_fast,nashBargaining,9.50,15.75,6.65,34.95,3.20,15.35,7.80,6.80
gcr_and_aw_fast,credenceWeighted,9.50,15.75,6.65,34.95,3.20,15.35,7.80,6.80
gcr_and_aw_fast,mec,17.00,4.00,5.00,0.00,15.00,16.00,24.00,19.00
gcr_and_aw_fast,met,17.00,11.00,2.00,4.00,3.00,16.00,42.00,5.00
gcr_and_aw_fast,splitCycle,17.00,31.10,6.60,0.00,0.10,16.00,29.10,0.10
gcr_and_aw_fast,borda,17.00,32.00,6.50,0.00,0.00,16.00,28.50,0.00
gcr_and_aw_fast,lexicographicMaximin,0.00,96.00,4.00,0.00,0.00,0.00,0.00,0.00
gcr_slow_aw_fast,nashBargaining,9.50,15.75,6.65,34.95,0.70,15.35,7.80,9.30
gcr_slow_aw_fast,credenceWeighted,9.50,15.75,6.65,34.95,0.70,15.35,7.80,9.30
gcr_slow_aw_fast,mec,17.00,4.00,5.00,0.00,15.00,16.00,24.00,19.00
gcr_slow_aw_fast,met,17.00,0.00,0.00,2.00,4.00,16.00,42.00,19.00
gcr_slow_aw_fast,splitCycle,17.00,31.10,6.60,0.00,0.10,16.00,29.10,0.10
gcr_slow_aw_fast,borda,17.00,32.00,6.50,0.00,0.00,16.00,28.50,0.00
gcr_slow_aw_fast,lexicographicMaximin,0.00,96.00,4.00,0.00,0.00,0.00,0.00,0.00
gcr_fast_aw_slow,nashBargaining,12.10,15.20,5.40,34.90,3.20,15.60,6.80,6.80
gcr_fast_aw_slow,credenceWeighted,12.10,15.20,5.40,34.90,3.20,15.60,6.80,6.80
gcr_fast_aw_slow,mec,17.00,0.00,0.00,0.00,15.00,16.00,33.00,19.00
gcr_fast_aw_slow,met,17.00,17.00,2.00,4.00,0.00,16.00,42.00,2.00
gcr_fast_aw_slow,splitCycle,17.00,15.00,6.00,4.00,0.00,16.00,42.00,0.00
