scenario,method,ea_awf,givewell,leaf,longview_ai,longview_nuclear,navigation_fund_cagefree,navigation_fund_general,sentinel_bio
baseline_5x,nashBargaining,10.50,15.30,6.20,34.95,2.80,15.45,7.60,7.20
baseline_5x,credenceWeighted,10.50,15.30,6.20,34.95,2.80,15.45,7.60,7.20
baseline_5x,mec,17.00,0.00,1.00,0.00,15.00,16.00,32.00,19.00
baseline_5x,met,17.00,11.00,2.00,6.00,2.00,16.00,42.00,4.00
baseline_5x,splitCycle,17.00,20.10,5.60,0.00,0.10,16.00,41.10,0.10
baseline_5x,borda,17.00,20.00,5.50,0.00,0.00,16.00,41.50,0.00
baseline_5x,lexicographicMaximin,0.00,96.00,4.00,0.00,0.00,0.00,0.00,0.00
max_spend_2_5x,nashBargaining,8.55,16.00,6.65,34.95,2.80,7.80,16.05,7.20
max_spend_2_5x,credenceWeighted,8.55,16.00,6.65,34.95,2.80,7.80,16.05,7.20
max_spend_2_5x,mec,9.00,38.00,6.00,0.00,8.00,8.00,21.00,10.00
max_spend_2_5x,met,9.00,49.00,3.00,7.00,1.00,8.00,21.00,2.00
max_spend_2_5x,splitCycle,9.00,48.50,6.50,7.00,0.00,8.00,21.00,0.00
max_spend_2_5x,borda,9.00,55.00,7.00,0.00,0.00,8.00,21.00,0.00
max_spend_2_5x,lexicographicMaximin,0.00,96.00,4.00,0.00,0.00,0.00,0.00,0.00
max_spend_7_5x,nashBargaining,7.70,15.25,5.85,34.95,2.80,21.15,5.10,7.20
max_spend_7_5x,credenceWeighted,7.70,15.25,5.85,34.95,2.80,21.15,5.10,7.20
max_spend_7_5x,mec,15.00,0.00,0.00,0.00,22.00,24.00,10.00,29.00
max_spend_7_5x,met,25.00,0.00,0.00,0.00,4.00,24.00,39.00,8.00
max_spend_7_5x,splitCycle,25.00,2.00,6.00,0.00,0.00,24.00,43.00,0.00
max_spend_7_5x,borda,25.00,3.00,5.50,0.00,0.00,24.00,42.50,0.00
max_spend_7_5x,lexicographicMaximin,0.00,96.00,4.00,0.00,0.00,0.00,0.00,0.00
max_spend_10x,nashBargaining,7.70,15.25,5.85,34.95,2.80,21.15,5.10,7.20
max_spend_10x,credenceWeighted,7.70,15.25,5.85,34.95,2.80,21.15,5.10,7.20
max_spend_10x,mec,8.00,0.00,0.00,0.00,29.00,20.00,5.00,38.00
max_spend_10x,met,28.00,0.00,0.00,0.00,7.00,31.00,20.00,14.00
max_spend_10x,splitCycle,33.00,0.00,0.00,0.00,0.00,31.00,36.00,0.00
max_spend_10x,borda,33.00,0.00,2.00,0.00,0.00,31.00,34.00,0.00
max_spend_10x,lexicographicMaximin,0.00,96.00,4.00,0.00,0.00,0.00,0.00,0.00
