scenario,project_id,base_alloc,new_alloc,alloc_delta,rank_delta
max_spend_2_5x,ea_awf,9.10,5.72,-3.38,-1
max_spend_2_5x,givewell,7.52,20.73,13.21,5
max_spend_2_5x,leaf,9.78,10.80,1.02,-1
max_spend_2_5x,longview_ai,21.49,22.07,0.58,1
max_spend_2_5x,longview_nuclear,3.08,1.83,-1.25,0
max_spend_2_5x,navigation_fund_cagefree,24.27,19.14,-5.13,-2
max_spend_2_5x,navigation_fund_general,15.43,12.15,-3.28,-1
max_spend_2_5x,sentinel_bio,9.32,7.57,-1.75,-1
max_spend_7_5x,ea_awf,9.10,9.53,0.43,1
max_spend_7_5x,givewell,7.52,4.91,-2.61,0
max_spend_7_5x,leaf,9.78,9.25,-0.53,-2
max_spend_7_5x,longview_ai,21.49,20.99,-0.50,0
max_spend_7_5x,longview_nuclear,3.08,4.33,1.25,0
max_spend_7_5x,navigation_fund_cagefree,24.27,28.77,4.50,0
max_spend_7_5x,navigation_fund_general,15.43,10.90,-4.53,-1
max_spend_7_5x,sentinel_bio,9.32,11.32,2.00,2
max_spend_10x,ea_awf,9.10,8.98,-0.12,2
max_spend_10x,givewell,7.52,4.59,-2.93,-1
max_spend_10x,leaf,9.78,8.78,-1.00,-1
max_spend_10x,longview_ai,21.49,20.99,-0.50,0
max_spend_10x,longview_nuclear,3.08,5.88,2.80,1
max_spend_10x,navigation_fund_cagefree,24.27,29.57,5.30,0
max_spend_10x,navigation_fund_general,15.43,7.34,-8.09,-3
max_spend_10x,sentinel_bio,9.32,13.87,4.55,2
