effects at time horizon,,,,Risk profile: NEUTRAL,,,,,,Risk profile: UPSIDE sceptical,,,,,,Risk profile: DOWNSIDE CRITICAL,,,,,,Risk profile: COMBINED,,,,,,Risk profile: DMREU,,,,,,"Risk profile: WLU (low, 0.01)",,,,,,"Risk profile: WLU (moderate, 0.05)",,,,,,"Risk profile: WLU (high, 0.1)",,,,,,Risk profile: AMBIGUITY AVERSION,,,,,,Risk profile: AMBIGUITY BILATERAL,,,,,
project_id,near_term_xrisk,effect_id,recipient_type,neutral_t0,neutral_t1,neutral_t2,neutral_t3,neutral_t4,neutral_t5,upside_t0,upside_t1,upside_t2,upside_t3,upside_t4,upside_t5,downside_t0,downside_t1,downside_t2,downside_t3,downside_t4,downside_t5,combined_t0,combined_t1,combined_t2,combined_t3,combined_t4,combined_t5,dmreu_t0,dmreu_t1,dmreu_t2,dmreu_t3,dmreu_t4,dmreu_t5,wlu - low_t0,wlu - low_t1,wlu - low_t2,wlu - low_t3,wlu - low_t4,wlu - low_t5,wlu - moderate_t0,wlu - moderate_t1,wlu - moderate_t2,wlu - moderate_t3,wlu - moderate_t4,wlu - moderate_t5,wlu - high_t0,wlu - high_t1,wlu - high_t2,wlu - high_t3,wlu - high_t4,wlu - high_t5,ambiguity_t0,ambiguity_t1,ambiguity_t2,ambiguity_t3,ambiguity_t4,ambiguity_t5,ambiguity bilateral_t0,ambiguity bilateral_t1,ambiguity bilateral_t2,ambiguity bilateral_t3,ambiguity bilateral_t4,ambiguity bilateral_t5
sentinel_bio,FALSE,effect_human_lives_extinction,human_life_years,17.2,162.7,719,7957,4.844e+04,9.253e+18,-19.26,-77.53,-292.1,-4316,-2.777e+04,-3.312e+19,-270.6,-2649,-1.2e+04,-1.339e+05,-8.126e+05,-1.232e+20,-349.9,-3306,-1.489e+04,-1.669e+05,-1.014e+06,-1.693e+20,-99.49,-931.6,-4190,-4.703e+04,-2.859e+05,-5.049e+19,-67.61,-676.4,-3098,-3.509e+04,-2.152e+05,-3.939e+19,-80.62,-831.2,-3897,-4.584e+04,-2.884e+05,-6.359e+19,-95.63,-1005,-4766,-5.682e+04,-3.594e+05,-6.883e+19,-55.75,-431.8,-1888,-2.19e+04,-1.341e+05,-3.385e+19,6.881,96.06,449.5,4788,2.872e+04,2.455e+14
sentinel_bio_100m_1b,FALSE,effect_human_lives_sub_ext_100m_1b,human_life_years,110.2,269.4,281.6,160.7,0.01945,0,58.58,184.1,120.6,-193.6,-0.07189,0,-1914,-4846,-5161,-2739,-0.2681,0,-2218,-5487,-6064,-3581,-0.3674,0,-607.1,-1456,-1684,-1017,-0.1103,0,-484.4,-1239,-1316,-691,-0.0657,0,-582.5,-1507,-1611,-857.9,-0.07959,0,-695.4,-1811,-1943,-1041,-0.09544,0,-149.4,-258.1,-499.9,-616.8,-0.07348,0,105.9,278.8,261.4,59.86,0,0
sentinel_bio_10m_100m,FALSE,effect_human_lives_sub_ext_10m_100m,human_life_years,27.78,68.05,71.24,39.73,0.002663,0,15.06,46.54,30.82,-48.46,-0.02236,0,-482.6,-1223,-1301,-688.6,-0.08676,0,-559.2,-1385,-1528,-899.3,-0.1143,0,-153,-367.5,-424.3,-255.3,-0.03432,0,-121.2,-310.2,-329,-172.4,-0.02192,0,-142,-367.9,-393.3,-209,-0.02547,0,-166.6,-435.3,-467.6,-250.4,-0.02959,0,-37.48,-65.49,-125,-154.8,-0.02285,0,27.03,70.51,67.17,15.18,0,0
sentinel_bio_1b_8b,FALSE,effect_human_lives_sub_ext_1b_8b,human_life_years,126.8,310.7,329.2,186.4,0.009815,0,87.14,247.6,199.6,-171.2,-0.09558,0,-2161,-5468,-5818,-3088,-0.3725,0,-2471,-6110,-6750,-4020,-0.4885,0,-670.6,-1596,-1864,-1140,-0.1467,0,-546.5,-1397,-1481,-777.9,-0.09511,0,-657.8,-1700,-1816,-967.1,-0.1125,0,-785.9,-2046,-2193,-1175,-0.1323,0,-133,-202.3,-466.5,-673.3,-0.09771,0,129.2,335.7,324.7,78.25,0,0
longview_nuclear,FALSE,effect_human_lives_extinction,human_life_years,13.86,138.4,687.7,7981,4.875e+04,1.282e+18,-20.38,-90.3,-300.2,-4011,-2.565e+04,-3.839e+19,-236.3,-2407,-1.155e+04,-1.325e+05,-8.03e+05,-1.523e+20,-307,-3009,-1.433e+04,-1.651e+05,-1.002e+06,-1.962e+20,-87.5,-850.5,-4034,-4.651e+04,-2.824e+05,-5.861e+19,-59.18,-615.9,-2980,-3.468e+04,-2.124e+05,-4.929e+19,-70.41,-754.7,-3747,-4.533e+04,-2.849e+05,-7.441e+19,-83.34,-910.1,-4580,-5.621e+04,-3.552e+05,-7.984e+19,-51.27,-407.9,-1825,-2.153e+04,-1.316e+05,-3.924e+19,5.08,83.56,439,4849,2.913e+04,2.605e+14
longview_nuclear_100m_1b,FALSE,effect_human_lives_sub_ext_100m_1b,human_life_years,95.6,254.3,297.4,174.6,0.03336,0,44.05,169.8,136.4,-187.7,-0.1143,0,-1649,-4572,-5443,-2996,-0.4239,0,-1933,-5191,-6367,-3893,-0.5843,0,-535.4,-1384,-1761,-1106,-0.1754,0,-416.4,-1168,-1389,-756.5,-0.1035,0,-500.7,-1419,-1701,-938.8,-0.1265,0,-597.6,-1706,-2052,-1139,-0.1526,0,-149.6,-258.2,-499.6,-651.1,-0.1169,0,88.63,261.4,279.6,72.43,0,0
longview_nuclear_10m_100m,FALSE,effect_human_lives_sub_ext_10m_100m,human_life_years,24.02,64.32,75.19,43.28,0.001661,0,11.34,43.16,34.58,-46.64,-0.03515,0,-416,-1154,-1372,-753.2,-0.139,0,-487.4,-1310,-1605,-977.5,-0.1797,0,-135,-349.4,-444,-277.7,-0.05396,0,-104.2,-292.3,-347.3,-188.7,-0.03572,0,-122.1,-346.5,-415.3,-228.7,-0.04125,0,-143.2,-409.8,-493.8,-274,-0.04765,0,-37.56,-65.39,-125.1,-163.3,-0.03593,0,22.68,66.04,71.74,18.46,0,0
longview_nuclear_1b_8b,FALSE,effect_human_lives_sub_ext_1b_8b,human_life_years,109.8,294.1,346.2,203,-0.007879,0,69.23,231.1,217.2,-159.3,-0.1674,0,-1862,-5156,-6140,-3376,-0.6775,0,-2154,-5778,-7092,-4365,-0.8557,0,-592.8,-1519,-1950,-1239,-0.257,0,-469.9,-1316,-1565,-851,-0.1789,0,-565.4,-1601,-1919,-1058,-0.2082,0,-675.4,-1926,-2317,-1285,-0.2414,0,-138,-206.5,-461.9,-706.7,-0.1711,0,109.2,315.5,346.3,94.3,0,0
longview_ai,TRUE,effect_human_lives_extinction,human_life_years,116.2,840.9,3545,3.917e+04,2.379e+05,5.35e+19,21.32,430.5,2003,1.938e+04,1.124e+05,-1.696e+20,-2129,-1.505e+04,-6.193e+04,-6.761e+05,-4.098e+06,-6.249e+20,-2527,-1.73e+04,-7.096e+04,-7.81e+05,-4.744e+06,-8.669e+20,-702.8,-4647,-1.893e+04,-2.095e+05,-1.274e+06,-2.572e+20,-540.8,-3879,-1.609e+04,-1.781e+05,-1.091e+06,-2.002e+20,-653.2,-4819,-2.046e+04,-2.35e+05,-1.475e+06,-3.269e+20,-781.4,-5862,-2.515e+04,-2.923e+05,-1.841e+06,-3.534e+20,-231.8,-1057,-4023,-4.982e+04,-3.118e+05,-1.734e+20,101.8,817.4,3448,3.654e+04,2.195e+05,5.374e+15
longview_ai_100m_1b,TRUE,effect_human_lives_sub_ext_100m_1b,human_life_years,60.47,111,113.4,66.42,0.0055,0,34.28,72.73,42.19,-85.3,-0.02895,0,-1060,-2006,-2078,-1128,-0.1103,0,-1221,-2280,-2456,-1480,-0.148,0,-331.6,-608.5,-684.6,-420,-0.04445,0,-267.6,-510.3,-526.8,-283.1,-0.02747,0,-317.9,-611,-635.6,-346.7,-0.03245,0,-376.4,-727.5,-760,-417.7,-0.03821,0,-75.77,-115.9,-215.2,-258.3,-0.0296,0,59.25,113.7,103,23.28,0,0
longview_ai_10m_100m,TRUE,effect_human_lives_sub_ext_10m_100m,human_life_years,17.3,31.79,32.38,18.43,-0.00041,0,8.987,19.06,9.383,-26.45,-0.01094,0,-304.1,-576,-596.2,-322.6,-0.04418,0,-352.4,-658.9,-708.1,-423.3,-0.05593,0,-96.16,-176.9,-197.9,-120.2,-0.0168,0,-76.26,-145.5,-150.1,-80.49,-0.01153,0,-88.54,-170.4,-177.2,-96.42,-0.01303,0,-103.1,-199.7,-208.9,-114.7,-0.01479,0,-23.86,-37.59,-65.56,-74.71,-0.01119,0,16.69,31.96,29.06,6.256,0,0
longview_ai_1b_8b,TRUE,effect_human_lives_sub_ext_1b_8b,human_life_years,138.2,253.8,262.9,153.4,-0.00713,0,98.35,196.5,147.1,-150.5,-0.08552,0,-2372,-4488,-4645,-2520,-0.3492,0,-2696,-5034,-5421,-3293,-0.4371,0,-724.9,-1325,-1504,-933.7,-0.1313,0,-601,-1145,-1180,-633.8,-0.09275,0,-723.5,-1389,-1443,-786.3,-0.1071,0,-864.6,-1669,-1740,-954.2,-0.1234,0,-130.4,-185.9,-404.1,-560.1,-0.08742,0,142.7,272.2,254.2,60.52,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
