project_id,effect_id,recipient_type,near_term_xrisk,neutral_t0,neutral_t1,neutral_t2,neutral_t3,neutral_t4,neutral_t5,upside_t0,upside_t1,upside_t2,upside_t3,upside_t4,upside_t5,downside_t0,downside_t1,downside_t2,downside_t3,downside_t4,downside_t5,combined_t0,combined_t1,combined_t2,combined_t3,combined_t4,combined_t5,dmreu_t0,dmreu_t1,dmreu_t2,dmreu_t3,dmreu_t4,dmreu_t5,wlu - low_t0,wlu - low_t1,wlu - low_t2,wlu - low_t3,wlu - low_t4,wlu - low_t5,wlu - moderate_t0,wlu - moderate_t1,wlu - moderate_t2,wlu - moderate_t3,wlu - moderate_t4,wlu - moderate_t5,wlu - high_t0,wlu - high_t1,wlu - high_t2,wlu - high_t3,wlu - high_t4,wlu - high_t5,ambiguity_t0,ambiguity_t1,ambiguity_t2,ambiguity_t3,ambiguity_t4,ambiguity_t5,ambiguity bilateral_t0,ambiguity bilateral_t1,ambiguity bilateral_t2,ambiguity bilateral_t3,ambiguity bilateral_t4,ambiguity bilateral_t5
sentinel_bio,effect_human_lives_extinction,human_life_years,False,17.200740706889118,162.70746030028477,719.0092748374744,7957.022086440617,48439.50254522826,9.252817752670325e+18,-19.263649531911145,-77.53453891476308,-292.12498753387973,-4316.025488241806,-27767.445886609174,-3.3117231557710873e+19,-270.5854383912731,-2648.765712691543,-12003.639279284685,-133904.68313794982,-812610.0078501718,-1.2321610868505715e+20,-349.9354583468369,-3305.7854243144498,-14893.060022175996,-166916.37959884308,-1014323.2187761432,-1.6926647630047127e+20,-99.48916596936289,-931.5785819643737,-4190.466649040344,-47034.32781440644,-285920.2361695013,-5.048763511884156e+19,-67.61399132248272,-676.3644935352844,-3098.258103572954,-35088.445280091364,-215186.30575253867,-3.938737895509388e+19,-80.61954132074432,-831.1616788497416,-3897.2374888536274,-45838.48190702553,-288365.3812395151,-6.359451017402708e+19,-95.62547074882266,-1004.6508919124377,-4765.90247444122,-56820.170435350396,-359360.9390126111,-6.8825944836539286e+19,-55.75216815151921,-431.81687266801873,-1887.60359831586,-21901.273847727523,-134133.70174313572,-3.385293854750052e+19,6.8808893149031585,96.064724854158,449.494509271712,4787.744889999699,28718.737251083505,245525173576903.66
sentinel_bio_100m_1b,effect_human_lives_sub_ext_100m_1b,human_life_years,False,110.21161579742683,269.43823110852065,281.61439507931055,160.6893132424572,0.019451459432359333,0.0,58.58344557557068,184.07536724562723,120.64767556125034,-193.64592914241064,-0.07188625651570985,0.0,-1913.5041155285035,-4845.716617181975,-5161.4904849219865,-2739.3415582519588,-0.26809356663048,0.0,-2218.065810819414,-5487.002975415065,-6064.005424547624,-3581.3437941539037,-0.36742097080351355,0.0,-607.1327651071103,-1455.5687637301667,-1683.5737899611104,-1016.7677563814718,-0.11032981624833357,0.0,-484.40278383869986,-1239.306345373884,-1316.0585606095863,-691.0248966665836,-0.06570078454379975,0.0,-582.4971271773002,-1506.5512058375816,-1611.46047913881,-857.893791059215,-0.07958899210647903,0.0,-695.4271709815971,-1811.1485802522968,-1943.4692549962253,-1041.0774759064811,-0.09544353011746103,0.0,-149.3655204610749,-258.14491195902974,-499.90742826828466,-616.8490219667365,-0.07348419416070269,0.0,105.92046179270272,278.83312065548694,261.36801670132525,59.86460711541177,0.0,0.0
sentinel_bio_10m_100m,effect_human_lives_sub_ext_10m_100m,human_life_years,False,27.784025808740125,68.04800363646179,71.24251371970463,39.72736561332871,0.0026627539843800405,0.0,15.059802403754487,46.53801926194384,30.823208704099287,-48.45947890727223,-0.022355598044656012,0.0,-482.56718335710764,-1222.9203957758036,-1301.1316228071348,-688.5828495097768,-0.08675963819424401,0.0,-559.1774030494457,-1385.1584458749658,-1527.927845477957,-899.2782131837287,-0.11426266903557002,0.0,-153.03921320969164,-367.48561752965145,-424.329767613963,-255.32984689564918,-0.03432009845672307,0.0,-121.15490634117957,-310.19561725466383,-329.0161930806955,-172.4304110787169,-0.021923431431237088,0.0,-142.01522963644146,-367.8659147618636,-393.34588195498634,-209.0150607581414,-0.025465713985483918,0.0,-166.6029989735441,-435.26138852788586,-467.61672270817365,-250.39000671201873,-0.029588170061471176,0.0,-37.48175269523951,-65.4935041206154,-125.047623336665,-154.7786126845222,-0.022852533807114,0.0,27.033231456885606,70.51378769815985,67.1694525129392,15.184842333207955,0.0,0.0
sentinel_bio_1b_8b,effect_human_lives_sub_ext_1b_8b,human_life_years,False,126.78361968288145,310.66598601179265,329.1796365262335,186.41578984379422,0.009815033663991661,0.0,87.14059455834303,247.63966622207948,199.63304261058173,-171.2040482886729,-0.09558345738966179,0.0,-2160.635796001749,-5468.349392051588,-5817.840232313179,-3087.8545700590134,-0.3725187958946556,0.0,-2471.2841468472716,-6109.737132586252,-6750.158918747173,-4020.37769427808,-0.4885407643836748,0.0,-670.5753572473976,-1596.4850007278096,-1864.0149593016029,-1140.3189709604026,-0.14671080177846113,0.0,-546.4921776377944,-1397.2266130999756,-1481.0023467313874,-777.8891322418496,-0.09511430585362063,0.0,-657.7667794456601,-1700.337646246621,-1816.294057036439,-967.0806641607851,-0.11251477405469783,0.0,-785.9355184316114,-2045.9720279323747,-2193.275588342094,-1174.8149166059854,-0.1323220346099729,0.0,-133.0183834548399,-202.261786356601,-466.4988222894079,-673.3245783719805,-0.09770815287673497,0.0,129.24680089338517,335.7375291011921,324.7187978886864,78.2537657309901,0.0,0.0
longview_nuclear,effect_human_lives_extinction,human_life_years,False,13.864646195559054,138.41787535551475,687.6602209162354,7980.664722614162,48746.925956974264,1.281897060517908e+18,-20.37705581866871,-90.30025124808704,-300.23763037635126,-4010.788748866133,-25654.51193128871,-3.8390616989967114e+19,-236.31525093494642,-2406.620477340801,-11545.41519533961,-132460.50522887142,-802988.3558283768,-1.5228057109668728e+20,-307.00981359103815,-3009.4686327669506,-14329.944212035769,-165094.09436006218,-1002301.5636153574,-1.9621949377334886e+20,-87.49543506308822,-850.4709020011117,-4034.4741174314404,-46505.061242088035,-282402.99209870945,-5.860661218729647e+19,-59.18223773864805,-615.8744456679012,-2980.378613936519,-34684.42023615703,-212440.04397223174,-4.9294018040500036e+19,-70.40636969287209,-754.6572117672453,-3746.7977104136144,-45327.40652001352,-284857.60599747003,-7.441442162004083e+19,-83.34057729670381,-910.1479222782123,-4580.274709261331,-56205.94146403698,-355168.52049779444,-7.984194103669422e+19,-51.26874392183036,-407.85739967818705,-1824.9434978281554,-21531.1005266601,-131633.31833599025,-3.9243532403115065e+19,5.0800688054148315,83.56432102995387,438.95241779708215,4849.325155889143,29131.387915639672,260523130192336.3
longview_nuclear_100m_1b,effect_human_lives_sub_ext_100m_1b,human_life_years,False,95.59982581009831,254.34235454477542,297.39096051458466,174.60650353201024,0.03336228567939287,0.0,44.04840551773746,169.76592451401572,136.38502755686744,-187.6614730296629,-0.11431743392751603,0.0,-1649.3292241204094,-4571.542374074611,-5442.576838832076,-2996.44852497393,-0.4239074500306715,0.0,-1933.343862128839,-5191.327256844133,-6367.185155364463,-3892.691134635159,-0.5842928062923309,0.0,-535.3619106797726,-1384.1692517481242,-1761.1132814907073,-1105.6575256697788,-0.17540199219070118,0.0,-416.43045198594535,-1168.0849224185183,-1388.8290559190477,-756.5074458261404,-0.10350172030157201,0.0,-500.6677602617195,-1419.3112345355694,-1700.838880540647,-938.8342505951056,-0.1264824272501394,0.0,-597.5652398709556,-1705.6678381749475,-2051.652597229293,-1139.0938037234955,-0.15256926719879824,0.0,-149.6273171767171,-258.169410218222,-499.62536455531483,-651.1476922098456,-0.11685856125846619,0.0,88.63425511796127,261.3898900228217,279.581820440743,72.42850355499128,0.0,0.0
longview_nuclear_10m_100m,effect_human_lives_sub_ext_10m_100m,human_life_years,False,24.017242349697245,64.31892199263756,75.1902029828009,43.27654293947716,0.0016612676068711093,0.0,11.33659797104389,43.15583834035343,34.58043889374514,-46.6380627918295,-0.03515314931768139,0.0,-416.027493589782,-1153.5155721501405,-1372.431622233019,-753.1751717854125,-0.13895132966385443,0.0,-487.3901756807788,-1310.2906716844964,-1604.9070222156474,-977.4825790729876,-0.17967278969771835,0.0,-134.96142470822056,-349.3875789741845,-444.0266436432096,-277.66130591601745,-0.0539587028189502,0.0,-104.19525864352626,-292.2948213399465,-347.33383429297476,-188.73781238269783,-0.03572498569715693,0.0,-122.10358789975041,-346.489637188907,-415.2909386317013,-228.71778206951848,-0.0412451144303994,0.0,-143.1974361030542,-409.8269144297394,-493.7757379855952,-273.953299915489,-0.04764573366500589,0.0,-37.56381967759567,-65.38530644779306,-125.10645349104327,-163.32678238495006,-0.035934557939543664,0.0,22.68270613976845,66.03579468369162,71.74186961870981,18.45995483132364,0.0,0.0
longview_nuclear_1b_8b,effect_human_lives_sub_ext_1b_8b,human_life_years,False,109.79792115772996,294.0868367008109,346.1696773934712,203.0082910431477,-0.007879196793757762,0.0,69.23072451728883,231.07776298470807,217.24202791758012,-159.28064695204526,-0.16741299577141455,0.0,-1862.4776891422432,-5156.247630966299,-6139.780759705795,-3375.868898227213,-0.6775311798794159,0.0,-2154.066723849746,-5778.030341209697,-7092.058414997859,-4365.13539545036,-0.8556718406670011,0.0,-592.7956361421934,-1519.0476218530307,-1949.6916338103476,-1238.8784931852178,-0.2569618896992345,0.0,-469.8781980848669,-1316.0220276614161,-1564.5755346200988,-851.0390269117069,-0.17885877775539097,0.0,-565.4133630879186,-1600.947821718666,-1918.7849502448473,-1057.7285308980904,-0.2082356630000938,0.0,-675.3615054642747,-1925.8629434955442,-2317.1907316734946,-1284.7993959226842,-0.2414220658050749,0.0,-137.95000125996006,-206.54205296793918,-461.9337661737962,-706.7044379810413,-0.17113436813340022,0.0,109.17969845152587,315.50689495056855,346.2732352049732,94.29929392819218,0.0,0.0
longview_ai,effect_human_lives_extinction,human_life_years,True,116.22843821969768,840.8663740811068,3545.4558631610385,39170.995701445594,237891.9328228035,5.350480054911425e+19,21.322837630242475,430.4513382291607,2002.6978219100347,19383.74597622145,112398.50276607182,-1.6960357276707157e+20,-2129.4018234929185,-15046.22441385382,-61933.490524009314,-676077.7059525315,-4097624.147010331,-6.249094949493438e+20,-2527.361411970071,-17297.65067183974,-70957.6779630692,-780972.2327953534,-4743665.504273612,-8.668573262288718e+20,-702.8257603209139,-4646.671865523143,-18926.24816435777,-209549.68843947042,-1274444.9982796223,-2.5719854224651197e+20,-540.8134435073872,-3878.9673284962687,-16091.789887007923,-178116.53838283135,-1090876.2257611805,-2.002469520963856e+20,-653.168204307522,-4818.819958767998,-20457.737366917514,-234964.71112677996,-1474694.299561177,-3.269071637429903e+20,-781.3871057213473,-5861.534587011004,-25153.922468313318,-292255.6623634686,-1841175.6872890007,-3.533884049682361e+20,-231.8137208926132,-1057.4105940414115,-4023.220071225227,-49824.48615973327,-311776.5613894839,-1.7336276651549616e+20,101.79264794572462,817.3815032652284,3447.7891726187972,36541.47130504006,219469.48496373088,5373941316810658.0
longview_ai_100m_1b,effect_human_lives_sub_ext_100m_1b,human_life_years,True,60.466760083640224,110.95539898572518,113.38782832730831,66.42338497888139,0.00549963486481311,0.0,34.27813685434082,72.72684123430888,42.18849937062574,-85.30373854953504,-0.028954489846891585,0.0,-1059.5207976897125,-2006.2539295221202,-2078.420623382994,-1128.225450137941,-0.11031832452275322,0.0,-1220.657429017901,-2280.220049725871,-2455.6886397094104,-1479.5094915014588,-0.14799055180096177,0.0,-331.6359891860784,-608.5171837470233,-684.5650567705713,-420.0096804713188,-0.044449567190177564,0.0,-267.60962320731716,-510.3201879489475,-526.7806292322614,-283.09718884743575,-0.027470856537312176,0.0,-317.8510349955884,-611.0053875251383,-635.6484848623874,-346.66596157378706,-0.03245196141444344,0.0,-376.41364490196156,-727.5355291257569,-760.0284188183308,-417.7283566087537,-0.0382110183084507,0.0,-75.77400982076429,-115.94792156294376,-215.15914721384752,-258.30517222525606,-0.029598110360192352,0.0,59.247610368131355,113.74252933193185,102.95262589524162,23.28061241739497,0.0,0.0
