effects at time horizon,,,,Risk profile: NEUTRAL,,,,,,Risk profile: UPSIDE sceptical,,,,,,Risk profile: DOWNSIDE CRITICAL,,,,,,Risk profile: COMBINED,,,,,,Risk profile: DMREU,,,,,,"Risk profile: WLU (low, 0.01)",,,,,,"Risk profile: WLU (moderate, 0.05)",,,,,,"Risk profile: WLU (high, 0.1)",,,,,,Risk profile: AMBIGUITY AVERSION,,,,,,Risk profile: AMBIGUITY BILATERAL,,,,,
project_id,near_term_xrisk,effect_id,recipient_type,neutral_t0,neutral_t1,neutral_t2,neutral_t3,neutral_t4,neutral_t5,upside_t0,upside_t1,upside_t2,upside_t3,upside_t4,upside_t5,downside_t0,downside_t1,downside_t2,downside_t3,downside_t4,downside_t5,combined_t0,combined_t1,combined_t2,combined_t3,combined_t4,combined_t5,dmreu_t0,dmreu_t1,dmreu_t2,dmreu_t3,dmreu_t4,dmreu_t5,wlu - low_t0,wlu - low_t1,wlu - low_t2,wlu - low_t3,wlu - low_t4,wlu - low_t5,wlu - moderate_t0,wlu - moderate_t1,wlu - moderate_t2,wlu - moderate_t3,wlu - moderate_t4,wlu - moderate_t5,wlu - high_t0,wlu - high_t1,wlu - high_t2,wlu - high_t3,wlu - high_t4,wlu - high_t5,ambiguity_t0,ambiguity_t1,ambiguity_t2,ambiguity_t3,ambiguity_t4,ambiguity_t5,ambiguity bilateral_t0,ambiguity bilateral_t1,ambiguity bilateral_t2,ambiguity bilateral_t3,ambiguity bilateral_t4,ambiguity bilateral_t5
sentinel_bio,FALSE,effect_human_lives_extinction,human_life_years,127.8,1239,5590,6.233e+04,3.782e+05,6.864e+19,84.56,968.4,4451,4.84e+04,2.912e+05,-6.66e+18,62.67,598.5,2698,3.033e+04,1.843e+05,4.199e+19,-37.92,-181.6,-710.4,-9178,-5.76e+04,-3.404e+19,-2.624,49.17,270.7,2535,1.466e+04,-9.292e+18,50.69,525.8,2363,2.59e+04,1.549e+05,2.172e+19,36.61,350.2,1455,1.365e+04,7.12e+04,-1.127e+19,20.1,144.2,404.9,67.98,-1.826e+04,-1.973e+19,28.64,472.8,2246,2.354e+04,1.406e+05,-6.806e+18,46.26,647.5,3034,3.225e+04,1.934e+05,2.808e+15
sentinel_bio_100m_1b,FALSE,effect_human_lives_sub_ext_100m_1b,human_life_years,889.1,2256,2403,1282,0.3735,0,836.2,2170,2239,863.7,-0.02445,0,435.2,1121,1198,635.7,0.2757,0,131.6,519.3,266.7,-439.9,-0.1249,0,156.9,550.1,345.7,-49.78,-0.03627,0,364.8,971.2,963.6,457.6,0.1524,0,260.3,680.1,647.7,287.9,0.1139,0,133.6,322.7,274.8,98.95,0.07049,0,595.6,1679,1499,220.4,-0.02499,0,717.4,1967,1832,394.1,0,0
sentinel_bio_10m_100m,FALSE,effect_human_lives_sub_ext_10m_100m,human_life_years,225.6,571.5,609.6,326.2,0.09499,0,212.3,549.2,567.1,219.3,-0.00492,0,111.2,283.1,303.4,165.4,0.07531,0,33.95,129.8,65.23,-107.6,-0.02515,0,39.88,138.5,86.8,-11.52,-0.007202,0,93.83,248.4,247,118.9,0.04053,0,71.54,185.5,177.9,81.27,0.03249,0,44.16,107.4,94.8,38.22,0.02316,0,150.9,424.5,378.3,56.75,-0.00503,0,181.6,497.6,462.9,100,0,0
sentinel_bio_1b_8b,FALSE,effect_human_lives_sub_ext_1b_8b,human_life_years,1012,2565,2734,1454,0.3953,0,972.2,2504,2609,1047,-0.01785,0,499.5,1281,1365,715,0.3239,0,204.2,717,444.7,-453.8,-0.09123,0,207.2,711.4,458.9,-43.82,-0.02591,0,416.6,1106,1097,517.4,0.1699,0,297.8,776.1,737.6,324.3,0.1313,0,153.6,369.3,312.3,109.2,0.08754,0,728.3,2029,1844,301.5,-0.01825,0,864.6,2348,2222,501.3,0,0
longview_nuclear,FALSE,effect_human_lives_extinction,human_life_years,110.3,1116,5387,6.221e+04,3.779e+05,5.483e+19,67.99,850.2,4247,4.806e+04,2.897e+05,-1.65e+19,53,542.4,2606,2.985e+04,1.815e+05,-1.117e+19,-39.03,-187.8,-700.8,-9659,-6.071e+04,-8.433e+19,-4.417,33.76,252.2,2370,1.364e+04,-2.44e+19,42.53,469.9,2278,2.571e+04,1.538e+05,-7.743e+17,30.47,313.3,1405,1.343e+04,6.986e+04,-3.85e+19,16.37,130.3,396.5,-181.7,-1.99e+04,-4.975e+19,19.54,399,2141,2.343e+04,1.4e+05,-1.686e+19,34.93,555.6,2900,3.223e+04,1.934e+05,3.039e+15
longview_nuclear_100m_1b,FALSE,effect_human_lives_sub_ext_100m_1b,human_life_years,766.3,2126,2537,1401,0.5564,0,713.3,2041,2373,974.5,-0.03527,0,374.1,1055,1266,695.2,0.4153,0,84.05,468,320,-436,-0.1803,0,113,498.4,391.4,-41.89,-0.05224,0,307.1,908.3,1025,502.8,0.2278,0,218.1,635.4,690.7,316.9,0.1686,0,111.2,301.5,294.1,109.5,0.1024,0,485,1563,1619,285.1,-0.03605,0,592.7,1838,1968,475.8,0,0
longview_nuclear_10m_100m,FALSE,effect_human_lives_sub_ext_10m_100m,human_life_years,194.5,538.7,643.3,356.3,0.1435,0,181.1,516.5,600.8,247.6,-0.007382,0,95.81,266.3,320.5,180.4,0.114,0,22.12,116.9,78.37,-106.8,-0.03773,0,28.86,125.5,98.25,-9.539,-0.01079,0,79.09,232.4,262.7,130.5,0.06116,0,60.11,173.5,189.5,89.27,0.04849,0,36.97,100.4,101.3,42.06,0.03387,0,123,395.3,408.4,73.05,-0.007546,0,150.1,465,497,120.6,0,0
longview_nuclear_1b_8b,FALSE,effect_human_lives_sub_ext_1b_8b,human_life_years,872.7,2418,2886,1589,0.5831,0,832.1,2357,2761,1175,-0.0288,0,429.7,1206,1443,782.4,0.4679,0,144.4,654,510.8,-441.8,-0.1472,0,151.6,645.9,516.5,-32.61,-0.04193,0,350.9,1035,1167,568.6,0.2476,0,249.7,725.6,786.3,357.2,0.1883,0,127.9,345.4,334,121.1,0.1216,0,597.3,1892,1986,382.6,-0.02944,0,718.4,2196,2381,601.9,0,0
longview_ai,TRUE,effect_human_lives_extinction,human_life_years,495.8,3515,1.45e+04,1.588e+05,9.632e+05,1.753e+20,396.8,3094,1.294e+04,1.386e+05,8.33e+05,-1.31e+20,-987.7,-6999,-2.894e+04,-3.17e+05,-1.921e+06,-3.487e+20,-1406,-9271,-3.797e+04,-4.236e+05,-2.58e+06,-6.695e+20,-350.2,-2060,-8258,-9.439e+04,-5.778e+05,-1.958e+20,-162.5,-1224,-5230,-6.008e+04,-3.765e+05,-1.139e+20,-282.6,-2260,-1.008e+04,-1.237e+05,-8.08e+05,-2.767e+20,-422.2,-3447,-1.549e+04,-1.908e+05,-1.241e+06,-3.174e+20,110.5,1477,6433,6.283e+04,3.688e+05,-1.339e+20,379.8,3054,1.276e+04,1.352e+05,8.119e+05,2.632e+16
longview_ai_100m_1b,TRUE,effect_human_lives_sub_ext_100m_1b,human_life_years,243.7,463.7,477.1,255.7,0.1347,0,217.7,425.4,405.4,92.15,-0.01445,0,-508.3,-953.3,-998.5,-562.8,0.07696,0,-669.2,-1225,-1388,-959.5,-0.07384,0,-155,-266,-349.2,-260.1,-0.02182,0,-85.57,-162.5,-168.6,-94.95,0.04939,0,-139.8,-273.1,-285,-159.9,0.03549,0,-204.3,-404.4,-420.2,-232.8,0.01964,0,99.44,223.9,120.7,-122.8,-0.01477,0,215,424.1,386.1,83.49,0,0
longview_ai_10m_100m,TRUE,effect_human_lives_sub_ext_10m_100m,human_life_years,70.35,133.7,138.4,75.42,0.03266,0,61.66,120.6,114,24.96,-0.005616,0,-145.7,-274.7,-286.2,-157,0.0102,0,-194.9,-358,-404.6,-273.7,-0.0287,0,-45.85,-79.63,-102.6,-74.07,-0.008521,0,-23.83,-45.66,-46.8,-25.02,0.009931,0,-37.1,-73.03,-75.99,-41.51,0.006836,0,-53.11,-106,-110.5,-60.47,0.003202,0,26.03,59.47,29.45,-36.05,-0.005741,0,60.35,119.4,107.6,22.64,0,0
longview_ai_1b_8b,TRUE,effect_human_lives_sub_ext_1b_8b,human_life_years,552.2,1049,1082,579.8,0.2673,0,512.4,992.4,967.6,257.7,-0.02642,0,-1132,-2127,-2228,-1255,0.1616,0,-1449,-2653,-3015,-2123,-0.1351,0,-322.3,-544.7,-745.1,-574.2,-0.03973,0,-190.9,-364.4,-377.4,-212.4,0.09994,0,-323.6,-634,-660,-368.6,0.07147,0,-480.1,-951,-984.7,-541.7,0.03923,0,271.9,593.8,368.7,-246.8,-0.02701,0,511.3,1004,930.6,214.1,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
