scenario,diff_ghd,diff_animal_welfare,diff_gcr
baseline,0.0000,0.0000,0.0000
cause_fractions_bio_nuclear_5x_higher,-2.3954,-0.5183,2.9137
cause_fractions_bio_nuclear_unequal,0.3000,0.0000,-0.3000
cause_fractions_bio_nuclear_unequal_1,-0.3000,0.0000,0.3000
cause_fractions_bio_nuclear_unequal_2,-0.0100,0.0100,-0.0000
cause_fractions_equal,-3.8427,0.5684,3.2743
near_pessimistic_outcomes,7.9532,8.0803,-16.0335
no_cubic_growth,-3.1010,-2.9463,6.0473
noise_check,-0.1000,0.0000,0.1000
p_harm_25pct_higher,0.5325,0.1950,-0.7275
p_zero_5x_lower,-0.4238,-0.0216,0.4454
p_zero_75_pct,1.1650,0.3900,-1.5550
r_inf_100x_down,-1.0000,0.0000,1.0000
r_inf_100x_up,0.1000,0.0975,-0.1975
rel_risk_100x_down,8.6525,-0.9850,-7.6675
rel_risk_10x_down,6.0925,1.4750,-7.5675
rel_risk_10x_up,-6.5285,-4.3913,10.9198
s_10x_faster,-1.0000,0.0000,1.0000
s_current_speeds,0.1000,0.0000,-0.1000
