scenario,description,method,ea_awf,givewell,leaf,longview_ai,longview_nuclear,navigation_fund_cagefree,navigation_fund_general,sentinel_bio
baseline,,nashBargaining,10.50,15.30,6.20,34.95,2.80,15.45,7.60,7.20
baseline,,credenceWeighted,10.50,15.30,6.20,34.95,2.80,15.45,7.60,7.20
baseline,,mec,17.00,0.00,1.00,0.00,15.00,16.00,32.00,19.00
baseline,,met,17.00,11.00,2.00,6.00,2.00,16.00,42.00,4.00
baseline,,splitCycle,17.00,20.10,5.60,0.00,0.10,16.00,41.10,0.10
baseline,,borda,17.00,20.00,5.50,0.00,0.00,16.00,41.50,0.00
baseline,,lexicographicMaximin,0.00,96.00,4.00,0.00,0.00,0.00,0.00,0.00
cause_fractions_bio_nuclear_5x_higher,"Cause fractions 5x higher: bio=0.15, nuclear=0.15, AI=0.66",nashBargaining,10.50,15.20,6.20,28.45,5.90,15.45,7.55,10.75
cause_fractions_bio_nuclear_5x_higher,"Cause fractions 5x higher: bio=0.15, nuclear=0.15, AI=0.66",credenceWeighted,10.50,15.20,6.20,28.45,5.90,15.45,7.55,10.75
cause_fractions_bio_nuclear_5x_higher,"Cause fractions 5x higher: bio=0.15, nuclear=0.15, AI=0.66",mec,17.00,0.00,1.00,0.00,15.00,16.00,32.00,19.00
cause_fractions_bio_nuclear_5x_higher,"Cause fractions 5x higher: bio=0.15, nuclear=0.15, AI=0.66",met,17.00,0.00,0.00,0.00,11.00,16.00,37.00,19.00
cause_fractions_bio_nuclear_5x_higher,"Cause fractions 5x higher: bio=0.15, nuclear=0.15, AI=0.66",splitCycle,16.89,9.06,5.39,0.00,4.72,16.00,41.39,6.56
cause_fractions_bio_nuclear_5x_higher,"Cause fractions 5x higher: bio=0.15, nuclear=0.15, AI=0.66",borda,17.00,13.00,6.00,0.00,2.50,16.00,41.50,4.00
cause_fractions_bio_nuclear_5x_higher,"Cause fractions 5x higher: bio=0.15, nuclear=0.15, AI=0.66",lexicographicMaximin,0.00,96.00,4.00,0.00,0.00,0.00,0.00,0.00
cause_fractions_bio_nuclear_unequal,"Cause fractions for bio and nuclear unequal: bio=0.02, nuclear=0.04, AI=0.90",nashBargaining,10.50,15.30,6.20,34.95,7.20,15.45,7.60,2.80
cause_fractions_bio_nuclear_unequal,"Cause fractions for bio and nuclear unequal: bio=0.02, nuclear=0.04, AI=0.90",credenceWeighted,10.50,15.30,6.20,34.95,7.20,15.45,7.60,2.80
cause_fractions_bio_nuclear_unequal,"Cause fractions for bio and nuclear unequal: bio=0.02, nuclear=0.04, AI=0.90",mec,17.00,0.00,1.00,0.00,15.00,16.00,32.00,19.00
cause_fractions_bio_nuclear_unequal,"Cause fractions for bio and nuclear unequal: bio=0.02, nuclear=0.04, AI=0.90",met,17.00,14.00,2.00,5.00,3.00,16.00,42.00,1.00
cause_fractions_bio_nuclear_unequal,"Cause fractions for bio and nuclear unequal: bio=0.02, nuclear=0.04, AI=0.90",splitCycle,17.00,20.10,5.60,0.00,0.10,16.00,41.10,0.10
cause_fractions_bio_nuclear_unequal,"Cause fractions for bio and nuclear unequal: bio=0.02, nuclear=0.04, AI=0.90",borda,17.00,20.00,5.50,0.00,0.00,16.00,41.50,0.00
cause_fractions_bio_nuclear_unequal,"Cause fractions for bio and nuclear unequal: bio=0.02, nuclear=0.04, AI=0.90",lexicographicMaximin,0.00,96.00,4.00,0.00,0.00,0.00,0.00,0.00
cause_fractions_bio_nuclear_unequal_1,"Cause fractions for bio and nuclear unequal: bio=0.04, nuclear=0.02, AI=0.90",nashBargaining,10.50,15.30,6.20,34.95,0.50,15.45,7.60,9.50
cause_fractions_bio_nuclear_unequal_1,"Cause fractions for bio and nuclear unequal: bio=0.04, nuclear=0.02, AI=0.90",credenceWeighted,10.50,15.30,6.20,34.95,0.50,15.45,7.60,9.50
cause_fractions_bio_nuclear_unequal_1,"Cause fractions for bio and nuclear unequal: bio=0.04, nuclear=0.02, AI=0.90",mec,17.00,0.00,1.00,0.00,15.00,16.00,32.00,19.00
cause_fractions_bio_nuclear_unequal_1,"Cause fractions for bio and nuclear unequal: bio=0.04, nuclear=0.02, AI=0.90",met,17.00,8.00,2.00,6.00,1.00,16.00,42.00,8.00
cause_fractions_bio_nuclear_unequal_1,"Cause fractions for bio and nuclear unequal: bio=0.04, nuclear=0.02, AI=0.90",splitCycle,17.00,20.10,5.60,0.00,0.10,16.00,41.10,0.10
cause_fractions_bio_nuclear_unequal_1,"Cause fractions for bio and nuclear unequal: bio=0.04, nuclear=0.02, AI=0.90",borda,17.00,20.00,5.50,0.00,0.00,16.00,41.50,0.00
cause_fractions_bio_nuclear_unequal_1,"Cause fractions for bio and nuclear unequal: bio=0.04, nuclear=0.02, AI=0.90",lexicographicMaximin,0.00,96.00,4.00,0.00,0.00,0.00,0.00,0.00
cause_fractions_bio_nuclear_unequal_2,"Cause fractions for bio and nuclear unequal: bio=0.05, nuclear=0.01, AI=0.90",nashBargaining,10.50,15.30,6.20,34.95,0.00,15.45,7.60,10.00
cause_fractions_bio_nuclear_unequal_2,"Cause fractions for bio and nuclear unequal: bio=0.05, nuclear=0.01, AI=0.90",credenceWeighted,10.50,15.30,6.20,34.95,0.00,15.45,7.60,10.00
cause_fractions_bio_nuclear_unequal_2,"Cause fractions for bio and nuclear unequal: bio=0.05, nuclear=0.01, AI=0.90",mec,17.00,0.00,1.00,0.00,15.00,16.00,32.00,19.00
cause_fractions_bio_nuclear_unequal_2,"Cause fractions for bio and nuclear unequal: bio=0.05, nuclear=0.01, AI=0.90",met,17.00,11.00,2.00,6.00,0.00,16.00,42.00,6.00
cause_fractions_bio_nuclear_unequal_2,"Cause fractions for bio and nuclear unequal: bio=0.05, nuclear=0.01, AI=0.90",splitCycle,17.00,20.10,5.60,0.00,0.10,16.00,41.10,0.10
