scenario,fund,baseline_score,scenario_score,ratio
cause_fractions_bio_nuclear_5x_higher,longview_ai,1.6246e+20,1.18755e+20,0.731
cause_fractions_bio_nuclear_5x_higher,longview_nuclear,6.08654e+19,3.06196e+20,5.031
cause_fractions_bio_nuclear_5x_higher,sentinel_bio,6.62468e+19,3.2212e+20,4.862
cause_fractions_bio_nuclear_unequal_1,longview_ai,1.6246e+20,1.62298e+20,0.999
cause_fractions_bio_nuclear_unequal_1,longview_nuclear,6.08654e+19,4.05283e+19,0.6659
cause_fractions_bio_nuclear_unequal_1,sentinel_bio,6.62468e+19,8.80302e+19,1.329
cause_fractions_bio_nuclear_unequal_2,longview_ai,1.6246e+20,1.62147e+20,0.9981
cause_fractions_bio_nuclear_unequal_2,longview_nuclear,6.08654e+19,2.02742e+19,0.3331
cause_fractions_bio_nuclear_unequal_2,sentinel_bio,6.62468e+19,1.09649e+20,1.655
cause_fractions_equal,longview_ai,1.6246e+20,5.73087e+19,0.3528
cause_fractions_equal,longview_nuclear,6.08654e+19,6.56241e+20,10.78
cause_fractions_equal,sentinel_bio,6.62468e+19,6.78805e+20,10.25
no_cubic_growth,longview_ai,1.6246e+20,4.3013e+10,2.648e-10
no_cubic_growth,longview_nuclear,6.08654e+19,1.69374e+10,2.783e-10
no_cubic_growth,sentinel_bio,6.62468e+19,1.70025e+10,2.567e-10
noise_check,longview_ai,1.6246e+20,1.58815e+20,0.9776
noise_check,longview_nuclear,6.08654e+19,6.02215e+19,0.9894
noise_check,sentinel_bio,6.62468e+19,6.59259e+19,0.9952
r_inf_100x_down,longview_ai,1.6246e+20,1.17531e+27,7.234e+06
r_inf_100x_down,longview_nuclear,6.08654e+19,3.95326e+26,6.495e+06
r_inf_100x_down,sentinel_bio,6.62468e+19,4.72278e+26,7.129e+06
r_inf_100x_up,longview_ai,1.6246e+20,8.90307e+14,5.48e-06
r_inf_100x_up,longview_nuclear,6.08654e+19,2.99378e+14,4.919e-06
r_inf_100x_up,sentinel_bio,6.62468e+19,3.57641e+14,5.399e-06
rel_risk_100x_down,longview_ai,1.6246e+20,1.62423e+18,0.009998
rel_risk_100x_down,longview_nuclear,6.08654e+19,6.08647e+17,0.01
rel_risk_100x_down,sentinel_bio,6.62468e+19,6.62458e+17,0.01
rel_risk_10x_down,longview_ai,1.6246e+20,1.62426e+19,0.09998
rel_risk_10x_down,longview_nuclear,6.08654e+19,6.08648e+18,0.1
rel_risk_10x_down,sentinel_bio,6.62468e+19,6.62458e+18,0.1
rel_risk_10x_up,longview_ai,1.6246e+20,1.62799e+21,10.02
rel_risk_10x_up,longview_nuclear,6.08654e+19,6.08718e+20,10
rel_risk_10x_up,sentinel_bio,6.62468e+19,6.62559e+20,10
s_10x_faster,longview_ai,1.6246e+20,2.82694e+22,174
s_10x_faster,longview_nuclear,6.08654e+19,9.53778e+21,156.7
s_10x_faster,sentinel_bio,6.62468e+19,1.13634e+22,171.5
s_current_speeds,longview_ai,1.6246e+20,9.42086e+16,0.0005799
s_current_speeds,longview_nuclear,6.08654e+19,3.91125e+16,0.0006426
s_current_speeds,sentinel_bio,6.62468e+19,3.94135e+16,0.000595
