scenario,description,sensitivity_index,si_cluster,diff_ea_awf,diff_givewell,diff_leaf,diff_longview_ai,diff_longview_nuclear,diff_navigation_fund_cagefree,diff_navigation_fund_general,diff_sentinel_bio
cause_fractions_equal,"Cause fractions uniform: bio=0.32, nuclear=0.32, AI=0.32",20.9320,3.8427,0.7037,-3.1551,-0.6876,-16.9475,9.8442,0.0065,-0.1418,10.3776
near_pessimistic_outcomes,p(positive) - p(harm) = 0.05; p_zero unchanged at 0.50,16.0335,16.0335,3.6725,6.4803,1.4728,-3.8175,-4.2780,0.1625,4.2453,-7.9380
rel_risk_10x_up,Relative risk reduction 10x higher for all GCR funds,10.9198,10.9198,-0.0725,-4.6455,-1.8830,2.8525,3.2037,0.0000,-4.3188,4.8637
rel_risk_100x_down,Relative risk reduction 100x lower for all GCR funds,9.8225,8.6525,1.1375,6.6550,1.9975,-7.0675,-0.2000,0.0325,-2.1550,-0.4000
cause_fractions_bio_nuclear_5x_higher,"Cause fractions 5x higher: bio=0.15, nuclear=0.15, AI=0.66",7.7387,2.9137,-0.0089,-2.1886,-0.2069,-4.8250,3.3348,0.0000,-0.5094,4.4039
rel_risk_10x_down,Relative risk reduction 10x lower for all GCR funds,7.5675,7.5675,1.1375,4.2750,1.8175,-7.0675,-0.2000,0.0325,0.3050,-0.3000
no_cubic_growth,Degenerate: no stellar expansion at all (p_cubic_growth = 0),6.0473,6.0473,-1.2025,-1.7922,-1.3088,0.0000,5.5595,-0.0650,-1.6788,0.4878
cause_fractions_bio_nuclear_unequal,"Cause fractions for bio and nuclear unequal: bio=0.02, nuclear=0.04, AI=0.90",3.2600,0.3000,0.0000,0.3000,0.0000,-0.1000,2.9600,0.0000,0.0000,-3.1600
r_inf_100x_down,"Background x-risk floor 100x lower   (ci_90: [1e-10, 5e-7])",2.6900,1.0000,0.0000,-1.0000,0.0000,0.0000,-1.6900,0.0000,0.0000,2.6900
s_10x_faster,"Stellar settlement speed ~10x faster, but capped at 0.2",2.6250,1.0000,0.0000,-1.0000,0.0000,0.0000,-1.6250,0.0000,0.0000,2.6250
r_inf_100x_up,"Background x-risk floor 100x higher  (ci_90: [1e-6, 5e-3])",2.4875,0.1975,0.0325,0.1000,0.0000,-0.6975,-1.7900,0.0000,0.0650,2.2900
cause_fractions_bio_nuclear_unequal_2,"Cause fractions for bio and nuclear unequal: bio=0.05, nuclear=0.01, AI=0.90",2.0400,0.0100,0.0000,-0.0200,0.0100,0.0000,-2.0200,0.0000,0.0100,2.0200
cause_fractions_bio_nuclear_unequal_1,"Cause fractions for bio and nuclear unequal: bio=0.04, nuclear=0.02, AI=0.90",1.8950,0.3000,0.0000,-0.3000,0.0000,0.0000,-1.5950,0.0000,0.0000,1.8950
p_zero_75_pct,p(zero impact) =75%; P(harm)/p(positive) ratio unchanged,1.5550,1.5550,0.2600,1.1000,0.0650,-1.0550,-0.4600,0.0000,0.1300,-0.0400
p_zero_5x_lower,p(zero impact) 5x lower; surplus redistributed proportionally,1.5162,0.4454,-0.0089,-0.7436,0.3198,-0.5675,1.1964,0.0000,-0.0127,-0.1836
p_harm_25pct_higher,p(harm) 25 percent higher; p(zero) constant at 50%,0.8925,0.7275,0.1625,0.5000,0.0325,-0.8275,-0.0650,0.0000,0.0325,0.1650
s_current_speeds,"Stellar settlement speed constant at 4e-5, the current speed of ships",0.6200,0.1000,0.0000,0.1000,0.0000,0.0000,0.5200,0.0000,0.0000,-0.6200
noise_check,No-op null check. Run at an offset --seed (e.g. 53) so its draws differ from the baseline; its SI vs baseline is then the pure Monte Carlo noise floor (anything below it is not a real signal).,0.1650,0.1000,0.0000,-0.1000,0.0000,0.0000,-0.0650,0.0000,0.0000,0.1650
