scenario,recipient_fund,weighted_allocation_pct,allocation_diff_pp,nashBargaining,credenceWeighted,mec,met,splitCycle,borda
baseline,ea_awf,12.7750,0.0000,10.5000,10.5000,17.0000,17.0000,17.0000,17.0000
baseline,givewell,12.9530,0.0000,15.3000,15.3000,0.0000,10.0000,20.1000,20.0000
baseline,leaf,4.9380,0.0000,6.2000,6.2000,1.0000,2.0000,5.6000,5.5000
baseline,longview_ai,23.2175,0.0000,34.9500,34.9500,0.0000,5.0000,0.0000,0.0000
baseline,longview_nuclear,3.8230,0.0000,2.1000,2.1000,15.0000,2.0000,0.1000,0.0000
baseline,navigation_fund_cagefree,15.6425,0.0000,15.4500,15.4500,16.0000,16.0000,16.0000,16.0000
baseline,navigation_fund_general,18.0580,0.0000,7.6000,7.6000,32.0000,42.0000,41.1000,41.5000
baseline,sentinel_bio,8.5930,0.0000,7.9000,7.9000,19.0000,6.0000,0.1000,0.0000
r_inf_100x_up,ea_awf,3.2217,-9.5533,4.7000,4.7000,0.0000,1.0000,0.0000,3.3333
r_inf_100x_up,givewell,6.6625,-6.2905,10.2500,10.2500,0.0000,0.0000,0.0000,0.0000
r_inf_100x_up,leaf,3.0875,-1.8505,4.7500,4.7500,0.0000,0.0000,0.0000,0.0000
r_inf_100x_up,longview_ai,72.5417,49.3242,59.5000,59.5000,100.0000,94.0000,99.0000,77.3333
r_inf_100x_up,longview_nuclear,0.0000,-3.8230,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
r_inf_100x_up,navigation_fund_cagefree,9.3750,-6.2675,13.3000,13.3000,0.0000,5.0000,0.0000,11.5000
r_inf_100x_up,navigation_fund_general,1.6450,-16.4130,2.5000,2.5000,0.0000,0.0000,0.0000,1.0000
r_inf_100x_up,sentinel_bio,3.4667,-5.1263,5.0000,5.0000,0.0000,0.0000,1.0000,6.8333
