effects at time horizon,,,,Risk profile: NEUTRAL,,,,,,Risk profile: UPSIDE sceptical,,,,,,Risk profile: DOWNSIDE CRITICAL,,,,,,Risk profile: COMBINED,,,,,,Risk profile: DMREU,,,,,,"Risk profile: WLU (low, 0.01)",,,,,,"Risk profile: WLU (moderate, 0.05)",,,,,,"Risk profile: WLU (high, 0.1)",,,,,,Risk profile: AMBIGUITY AVERSION,,,,,,Risk profile: AMBIGUITY BILATERAL,,,,,
project_id,near_term_xrisk,effect_id,recipient_type,neutral_t0,neutral_t1,neutral_t2,neutral_t3,neutral_t4,neutral_t5,upside_t0,upside_t1,upside_t2,upside_t3,upside_t4,upside_t5,downside_t0,downside_t1,downside_t2,downside_t3,downside_t4,downside_t5,combined_t0,combined_t1,combined_t2,combined_t3,combined_t4,combined_t5,dmreu_t0,dmreu_t1,dmreu_t2,dmreu_t3,dmreu_t4,dmreu_t5,wlu - low_t0,wlu - low_t1,wlu - low_t2,wlu - low_t3,wlu - low_t4,wlu - low_t5,wlu - moderate_t0,wlu - moderate_t1,wlu - moderate_t2,wlu - moderate_t3,wlu - moderate_t4,wlu - moderate_t5,wlu - high_t0,wlu - high_t1,wlu - high_t2,wlu - high_t3,wlu - high_t4,wlu - high_t5,ambiguity_t0,ambiguity_t1,ambiguity_t2,ambiguity_t3,ambiguity_t4,ambiguity_t5,ambiguity bilateral_t0,ambiguity bilateral_t1,ambiguity bilateral_t2,ambiguity bilateral_t3,ambiguity bilateral_t4,ambiguity bilateral_t5
sentinel_bio,FALSE,effect_human_lives_extinction,human_life_years,120.4,1171,5268,5.851e+04,3.551e+05,6.128e+19,76.64,896.1,4114,4.442e+04,2.671e+05,-1.045e+19,39.21,385.4,1718,1.892e+04,1.15e+05,1.95e+19,-60.77,-394,-1672,-2.019e+04,-1.247e+05,-5.339e+19,-9.772,-18.75,-39.02,-1017,-6960,-1.518e+19,41.48,431.3,1921,2.075e+04,1.235e+05,1.19e+19,27.35,255,1010,8446,3.941e+04,-2.136e+19,10.8,48.92,-38.45,-5106,-4.985e+04,-3.029e+19,22.21,409.1,1957,2.028e+04,1.209e+05,-1.068e+19,43.78,615.9,2888,3.067e+04,1.839e+05,2.341e+15
sentinel_bio_100m_1b,FALSE,effect_human_lives_sub_ext_100m_1b,human_life_years,838.9,2113,2249,1217,0.18,0,786.4,2027,2086,798.3,-0.01223,0,274.9,690.4,752.8,430.6,0.1311,0,-30.73,85.26,-180.8,-639.6,-0.06251,0,102.6,399.1,196.9,-110.9,-0.01839,0,298.7,780.6,780.9,385.6,0.07303,0,192.7,485.3,463.8,215,0.05451,0,64.89,125,90.83,25.36,0.03365,0,545.8,1540,1349,163.9,-0.0125,0,684.9,1864,1734,372.9,0,0
sentinel_bio_10m_100m,FALSE,effect_human_lives_sub_ext_10m_100m,human_life_years,211.8,533.8,567.2,303.9,0.03849,0,198.8,511.8,525.2,200.6,-0.007177,0,69.42,175.2,192.2,108.4,0.009776,0,-7.631,21.81,-42.43,-158.1,-0.03668,0,25.97,100.7,50.45,-27.2,-0.01093,0,76.48,200.2,200.4,97.99,0.01104,0,54,136.8,131.8,60.84,0.007006,0,26.46,58.35,49.37,18.36,0.002324,0,137.9,388.4,341,41.64,-0.007337,0,173.1,470.2,437.6,93.61,0,0
sentinel_bio_1b_8b,FALSE,effect_human_lives_sub_ext_1b_8b,human_life_years,951,2396,2555,1381,0.1953,0,910.7,2335,2429,970.2,-0.02435,0,311.3,787.3,871.7,501.9,0.09796,0,14.2,217.5,-48.86,-661.4,-0.1244,0,142.8,534.6,291.6,-107.8,-0.0369,0,338.6,886.8,892.2,441.3,0.06771,0,218.4,552.2,532.8,248.2,0.04573,0,73.06,142.6,109.2,33.29,0.02092,0,668.1,1862,1672,237.4,-0.02489,0,822.5,2217,2100,472.4,0,0
longview_nuclear,FALSE,effect_human_lives_extinction,human_life_years,103.1,1049,5080,5.847e+04,3.55e+05,5.727e+19,61.68,783.1,3935,4.447e+04,2.676e+05,-1.09e+19,32.78,337.6,1657,1.894e+04,1.146e+05,1.365e+19,-57.5,-385.9,-1640,-2.017e+04,-1.251e+05,-5.573e+19,-10.21,-29.6,-47.95,-996.7,-6964,-1.588e+19,34.62,380.2,1852,2.074e+04,1.234e+05,9.348e+18,22.64,223.3,974.8,8453,3.927e+04,-2.284e+19,8.66,40.53,-34.03,-5087,-5.001e+04,-3.166e+19,14.39,341.1,1858,2.024e+04,1.206e+05,-1.114e+19,33.03,528.8,2756,3.062e+04,1.837e+05,2.374e+15
longview_nuclear_100m_1b,FALSE,effect_human_lives_sub_ext_100m_1b,human_life_years,724.2,1993,2373,1327,0.2683,0,671.8,1907,2210,902.4,-0.01794,0,238,649.1,794.4,467.1,0.1965,0,-53.33,59.84,-154.2,-658.6,-0.09168,0,67.83,357.1,232.9,-110.2,-0.02687,0,252.8,730.8,830,421.9,0.1091,0,162.7,454,493.7,235.3,0.08116,0,54.8,117.2,96.94,27.27,0.04981,0,443.7,1433,1460,220.7,-0.01834,0,567.6,1743,1862,450.2,0,0
longview_nuclear_10m_100m,FALSE,effect_human_lives_sub_ext_10m_100m,human_life_years,182.8,503.5,598.7,331.8,0.05505,0,169.7,481.8,556.7,227,-0.01093,0,60.09,164.8,202.5,117.9,0.01134,0,-13.36,15.38,-36.08,-162.6,-0.05584,0,17.17,90.19,59.44,-26.94,-0.01662,0,64.7,187.4,213,107.3,0.01508,0,45.58,128,140.1,66.67,0.009121,0,22.31,54.69,52.5,20.09,0.002221,0,112,361.6,368.9,56.07,-0.01117,0,143.3,439.8,469.8,113.2,0,0
longview_nuclear_1b_8b,FALSE,effect_human_lives_sub_ext_1b_8b,human_life_years,820.8,2260,2696,1507,0.2835,0,779.7,2199,2570,1093,-0.03577,0,269.4,739.8,917.2,545.7,0.1404,0,-16.82,182.3,-14.36,-673.2,-0.1828,0,97.82,480.3,337.6,-104.2,-0.05408,0,286.4,830.1,947.3,483.3,0.09771,0,184.2,516.4,566.1,272,0.06542,0,61.61,133.6,115.5,36.31,0.02905,0,546.8,1736,1803,309.8,-0.03657,0,685.3,2076,2250,567.9,0,0
longview_ai,TRUE,effect_human_lives_extinction,human_life_years,298.7,2145,8934,9.807e+04,5.95e+05,1.145e+20,201.7,1728,7376,7.812e+04,4.676e+05,-1.392e+20,-1581,-1.114e+04,-4.584e+04,-5.005e+05,-3.033e+06,-4.423e+20,-1989,-1.34e+04,-5.49e+04,-6.065e+05,-3.687e+06,-7.115e+20,-534.5,-3403,-1.378e+04,-1.538e+05,-9.37e+05,-2.097e+20,-365,-2644,-1.102e+04,-1.229e+05,-7.569e+05,-1.438e+20,-481.9,-3641,-1.567e+04,-1.837e+05,-1.168e+06,-2.803e+20,-616.5,-4764,-2.077e+04,-2.463e+05,-1.571e+06,-3.118e+20,-67.16,172.8,1085,5335,2.135e+04,-1.423e+20,239.2,1926,8094,8.584e+04,5.156e+05,1.373e+16
longview_ai_100m_1b,TRUE,effect_human_lives_sub_ext_100m_1b,human_life_years,153.8,286.5,293.9,163.6,0.0384,0,127.4,247.9,222.1,4.332,-0.0208,0,-778,-1478,-1536,-839.5,-0.0448,0,-939.9,-1751,-1920,-1216,-0.1063,0,-242.7,-438.9,-517.8,-338.9,-0.03187,0,-177.6,-342.7,-351.8,-187.6,-0.003282,0,-230.2,-448.9,-464.6,-252,-0.009885,0,-292,-573.3,-594.6,-324.2,-0.01745,0,12.68,52.92,-49.73,-190.9,-0.02126,0,138.8,269.8,244,53.94,0,0
