effects at time horizon,,,,Risk profile: NEUTRAL,,,,,,Risk profile: UPSIDE sceptical,,,,,,Risk profile: DOWNSIDE CRITICAL,,,,,,Risk profile: COMBINED,,,,,,Risk profile: DMREU,,,,,,"Risk profile: WLU (low, 0.01)",,,,,,"Risk profile: WLU (moderate, 0.05)",,,,,,"Risk profile: WLU (high, 0.1)",,,,,,Risk profile: AMBIGUITY AVERSION,,,,,,Risk profile: AMBIGUITY BILATERAL,,,,,
project_id,near_term_xrisk,effect_id,recipient_type,neutral_t0,neutral_t1,neutral_t2,neutral_t3,neutral_t4,neutral_t5,upside_t0,upside_t1,upside_t2,upside_t3,upside_t4,upside_t5,downside_t0,downside_t1,downside_t2,downside_t3,downside_t4,downside_t5,combined_t0,combined_t1,combined_t2,combined_t3,combined_t4,combined_t5,dmreu_t0,dmreu_t1,dmreu_t2,dmreu_t3,dmreu_t4,dmreu_t5,wlu - low_t0,wlu - low_t1,wlu - low_t2,wlu - low_t3,wlu - low_t4,wlu - low_t5,wlu - moderate_t0,wlu - moderate_t1,wlu - moderate_t2,wlu - moderate_t3,wlu - moderate_t4,wlu - moderate_t5,wlu - high_t0,wlu - high_t1,wlu - high_t2,wlu - high_t3,wlu - high_t4,wlu - high_t5,ambiguity_t0,ambiguity_t1,ambiguity_t2,ambiguity_t3,ambiguity_t4,ambiguity_t5,ambiguity bilateral_t0,ambiguity bilateral_t1,ambiguity bilateral_t2,ambiguity bilateral_t3,ambiguity bilateral_t4,ambiguity bilateral_t5
sentinel_bio,FALSE,effect_human_lives_extinction,human_life_years,230.6,2247,1.011e+04,1.122e+05,6.809e+05,1.101e+20,175.6,1917,8737,9.532e+04,5.746e+05,-1.355e+19,115.3,1126,5010,5.505e+04,3.342e+05,5.576e+19,-31.14,43.57,342.9,431.3,-1732,-6.947e+19,10.68,297,1447,1.452e+04,8.603e+04,-1.87e+19,103.8,1205,5448,5.926e+04,3.553e+05,3.894e+19,75.94,836.6,3537,3.33e+04,1.765e+05,-3.802e+19,42.63,374.7,1111,497.2,-4.77e+04,-6.996e+19,86.68,1190,5553,5.886e+04,3.528e+05,-1.388e+19,118,1485,6886,7.385e+04,4.437e+05,1.356e+16
sentinel_bio_100m_1b,FALSE,effect_human_lives_sub_ext_100m_1b,human_life_years,1615,4075,4335,2332,0.3753,0,1560,3987,4167,1836,-0.01899,0,807.6,2029,2165,1179,0.2993,0,443.4,1335,1039,-356.9,-0.09704,0,514.2,1661,1166,51.94,-0.02777,0,787.2,2191,2003,871.7,0.1593,0,582,1614,1386,555.5,0.1228,0,315.9,820.4,610.7,198.5,0.08137,0,1269,3426,3257,822.3,-0.01941,0,1457,3859,3791,1142,0,0
sentinel_bio_10m_100m,FALSE,effect_human_lives_sub_ext_10m_100m,human_life_years,408.9,1032,1097,588.2,0.08667,0,395.4,1010,1053,463.8,-0.007538,0,205.6,517,552.4,300.6,0.05651,0,113.7,340.7,267.9,-86.81,-0.03853,0,130.5,420.7,296.1,14.16,-0.01123,0,201.7,561.1,513.7,223.4,0.03387,0,158.2,437.9,380.2,153.9,0.02628,0,101.8,269.7,210.8,73.45,0.01744,0,321.5,867.5,824.4,207.2,-0.007706,0,369,976.9,958.6,286.9,0,0
sentinel_bio_1b_8b,FALSE,effect_human_lives_sub_ext_1b_8b,human_life_years,1835,4629,4931,2656,0.4331,0,1794,4569,4808,2183,-0.02795,0,922.7,2319,2491,1369,0.3212,0,582.2,1695,1427,-267.5,-0.1429,0,654.3,2100,1497,103.3,-0.04115,0,896.7,2496,2290,1000,0.1775,0,664.6,1846,1592,641.6,0.1342,0,362.2,943.9,709.9,236.2,0.08504,0,1515,4057,3920,1047,-0.02857,0,1721,4524,4507,1406,0,0
longview_nuclear,FALSE,effect_human_lives_extinction,human_life_years,197.6,2014,9727,1.12e+05,6.799e+05,1.23e+20,144.6,1694,8385,9.529e+04,5.752e+05,-1.372e+19,97.26,1005,4863,5.569e+04,3.38e+05,6.793e+19,-36.58,-5.605,337.5,1450,4508,-7.035e+19,4.711,239.9,1388,1.485e+04,8.812e+04,-1.884e+19,84.91,1054,5253,5.948e+04,3.566e+05,4.634e+19,61.62,728.2,3426,3.372e+04,1.791e+05,-3.712e+19,34.01,324.4,1107,1148,-4.353e+04,-7.076e+19,66.03,1026,5309,5.901e+04,3.54e+05,-1.406e+19,93.37,1294,6584,7.379e+04,4.438e+05,1.41e+16
longview_nuclear_100m_1b,FALSE,effect_human_lives_sub_ext_100m_1b,human_life_years,1394,3842,4574,2547,0.5621,0,1339,3755,4406,2045,-0.03216,0,697.9,1913,2284,1286,0.4335,0,346.2,1233,1145,-313.7,-0.1644,0,389.7,1518,1296,87.05,-0.04701,0,648.2,2033,2148,960.5,0.2345,0,474.7,1492,1492,613.4,0.178,0,254.8,755.9,660.8,220,0.1142,0,1058,3205,3485,975.3,-0.03288,0,1227,3620,4041,1326,0,0
longview_nuclear_10m_100m,FALSE,effect_human_lives_sub_ext_10m_100m,human_life_years,352.7,973.8,1157,642.4,0.1245,0,339.1,951.7,1114,516.2,-0.01166,0,177.5,487.8,582.2,328,0.07781,0,88.78,315.5,294.3,-75.55,-0.05961,0,98.94,384.6,328.6,23.09,-0.01733,0,166,521,550.5,246.2,0.04772,0,129.2,405.5,408.6,169.9,0.03651,0,82.41,249.1,227.4,81.35,0.02348,0,267.8,812.3,882.1,245.8,-0.01192,0,310.5,916.9,1022,333.3,0,0
longview_nuclear_1b_8b,FALSE,effect_human_lives_sub_ext_1b_8b,human_life_years,1584,4365,5201,2900,0.646,0,1542,4305,5078,2423,-0.04341,0,797.1,2186,2624,1495,0.4724,0,464.6,1573,1552,-203.9,-0.2219,0,498.4,1920,1657,149.6,-0.06364,0,738.1,2316,2453,1103,0.2627,0,541.8,1706,1711,708.8,0.1964,0,291.8,869.8,766,262.1,0.1217,0,1268,3801,4186,1233,-0.04437,0,1455,4248,4795,1627,0,0
longview_ai,TRUE,effect_human_lives_extinction,human_life_years,884,6292,2.607e+04,2.853e+05,1.73e+06,3.188e+20,772.3,5835,2.444e+04,2.645e+05,1.594e+06,-2.029e+20,-1806,-1.277e+04,-5.248e+04,-5.727e+05,-3.47e+06,-4.938e+20,-2358,-1.569e+04,-6.401e+04,-7.098e+05,-4.321e+06,-1.038e+21,-486.7,-2389,-9127,-1.091e+05,-6.752e+05,-2.997e+20,-322.9,-2486,-1.052e+04,-1.204e+05,-7.545e+05,-1.746e+20,-559.4,-4628,-2.065e+04,-2.541e+05,-1.666e+06,-4.967e+20,-840.9,-7191,-3.257e+04,-4.041e+05,-2.648e+06,-5.978e+20,392.3,3803,1.629e+04,1.672e+05,9.939e+05,-2.075e+20,774,5952,2.485e+04,2.662e+05,1.603e+06,9.921e+16
longview_ai_100m_1b,TRUE,effect_human_lives_sub_ext_100m_1b,human_life_years,445.1,838.9,869.9,484.1,0.07151,0,417.7,799.4,795.4,280.2,-0.04412,0,-898.1,-1702,-1756,-951.6,-0.105,0,-1102,-2039,-2257,-1546,-0.2255,0,-181,-280.8,-466.9,-414.8,-0.06751,0,-159.5,-314.1,-306.8,-151.9,-0.01168,0,-267.9,-539.3,-533.3,-272,-0.02467,0,-400.3,-815.4,-802.2,-407.8,-0.03961,0,270.8,557.7,428,-78.7,-0.0451,0,424.6,820.1,789.4,251.2,0,0
longview_ai_10m_100m,TRUE,effect_human_lives_sub_ext_10m_100m,human_life_years,127.9,241.2,248.9,136.8,0.008881,0,118.9,227.5,223.9,75.84,-0.01713,0,-258.5,-490.3,-507.2,-275.2,-0.05963,0,-320.9,-594.7,-658.9,-448.1,-0.08755,0,-55.43,-88.33,-140.2,-120.4,-0.02626,0,-44.79,-88.34,-86.99,-43.58,-0.01344,0,-71.17,-143.7,-143.3,-73.71,-0.01641,0,-103.7,-212.2,-211.1,-108.5,-0.0199,0,74.06,153,114,-27,-0.01751,0,120.4,232.5,222,68.57,0,0
longview_ai_1b_8b,TRUE,effect_human_lives_sub_ext_1b_8b,human_life_years,1003,1889,1957,1082,0.1386,0,962,1833,1845,693.9,-0.1204,0,-2016,-3819,-3950,-2154,-0.3428,0,-2407,-4457,-4927,-3422,-0.6152,0,-348.2,-507.9,-960.7,-916.2,-0.1842,0,-362.6,-713.7,-700.2,-351.7,-0.05962,0,-629,-1264,-1250,-640.3,-0.09316,0,-952.2,-1936,-1898,-962.2,-0.1312,0,678.9,1377,1112,-114.4,-0.123,0,990.7,1902,1861,615.2,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
