project_id,effect_id,recipient_type,near_term_xrisk,neutral_t0,neutral_t1,neutral_t2,neutral_t3,neutral_t4,neutral_t5,upside_t0,upside_t1,upside_t2,upside_t3,upside_t4,upside_t5,downside_t0,downside_t1,downside_t2,downside_t3,downside_t4,downside_t5,combined_t0,combined_t1,combined_t2,combined_t3,combined_t4,combined_t5,dmreu_t0,dmreu_t1,dmreu_t2,dmreu_t3,dmreu_t4,dmreu_t5,wlu - low_t0,wlu - low_t1,wlu - low_t2,wlu - low_t3,wlu - low_t4,wlu - low_t5,wlu - moderate_t0,wlu - moderate_t1,wlu - moderate_t2,wlu - moderate_t3,wlu - moderate_t4,wlu - moderate_t5,wlu - high_t0,wlu - high_t1,wlu - high_t2,wlu - high_t3,wlu - high_t4,wlu - high_t5,ambiguity_t0,ambiguity_t1,ambiguity_t2,ambiguity_t3,ambiguity_t4,ambiguity_t5,ambiguity bilateral_t0,ambiguity bilateral_t1,ambiguity bilateral_t2,ambiguity bilateral_t3,ambiguity bilateral_t4,ambiguity bilateral_t5
sentinel_bio,effect_human_lives_extinction,human_life_years,False,230.5716426285106,2246.767315098779,10107.592125094348,112206.11262355208,680945.6915276855,1.1013206205641948e+20,175.6017957252615,1916.709990585212,8736.516355287302,95324.41624209136,574562.2778298759,-1.3546918547190227e+19,115.31015686139106,1125.7367574319378,5010.335538613561,55045.63176243121,334150.6254785344,5.575522943453748e+19,-31.144227841946538,43.568292682708,342.92793135956816,431.3313095929847,-1732.2278269744088,-6.946868541288656e+19,10.676045172167907,296.95797992881427,1446.951171697125,14524.852377960913,86033.48164212213,-1.87016680030663e+19,103.83127308047608,1205.2421602938075,5447.687460837561,59260.653038226126,355287.37751804193,3.8938990336166765e+19,75.94263144780022,836.6093153624471,3537.4958744962178,33300.73460086217,176468.60414869947,-3.8024615890603065e+19,42.62660164340881,374.66228580544873,1111.3861209707854,497.17251364009417,-47698.064702180476,-6.9961776342412214e+19,86.6793702961912,1189.5178962994773,5553.489878009518,58862.41504532484,352771.63984848745,-1.3883126783092478e+19,117.99173490676866,1484.675161544801,6886.161162616146,73846.60891867592,443720.0931761469,1.356331804957021e+16
sentinel_bio_100m_1b,effect_human_lives_sub_ext_100m_1b,human_life_years,False,1615.0080260240647,4074.517079218038,4334.529138891599,2332.280967014749,0.375296737751181,0.0,1560.481481312388,3987.1729655902477,4167.107137760827,1836.0075181049654,-0.0189868201958269,0.0,807.6317359572121,2029.313753099321,2164.806127893486,1178.7441496959227,0.29934945696787335,0.0,443.3803268698396,1334.9359993495639,1039.0018844651563,-356.9163036262756,-0.0970443621208447,0.0,514.1551665930247,1661.1690187106337,1166.4259389841009,51.944918136013705,-0.02777018150833843,0.0,787.2418598210153,2191.00354020557,2003.3772233096013,871.7084569502027,0.15933613485359321,0.0,581.9521294044715,1614.1681929042918,1386.4769996413133,555.4621686269475,0.12278200892822148,0.0,315.89400719105043,820.3859397756889,610.7465549507598,198.48141236129152,0.08137358380052705,0.0,1268.7035379492022,3425.601525683917,3256.9550057309175,822.262131362212,-0.01940887242416894,0.0,1457.1914515207436,3859.1298141885436,3791.3048918689733,1141.6505268720587,0.0,0.0
sentinel_bio_10m_100m,effect_human_lives_sub_ext_10m_100m,human_life_years,False,408.90519744257983,1032.2935495388774,1096.7771464227094,588.189466471738,0.08666544781996491,0.0,395.4348081951071,1010.0115222687726,1053.4393045749266,463.81868071363095,-0.007538297097964721,0.0,205.60676714612913,516.9730659501995,552.3799293801961,300.5850315356625,0.05651225942810599,0.0,113.67254310302127,340.74373263067025,267.9106854527186,-86.81090996624488,-0.038529318011353356,0.0,130.54408799333717,420.6546456609359,296.13997471458333,14.155590807622493,-0.011232560590403277,0.0,201.6510516292809,561.0638389694452,513.6858208256617,223.40108440166355,0.03386933884182574,0.0,158.19483885238103,437.8664220754087,380.1586953394241,153.91294709850374,0.026277769679693745,0.0,101.81456959098455,269.685726441695,210.8220596882742,73.45442510225104,0.01743873729943889,0.0,321.4900321275846,867.5191178914408,824.4091419964357,207.18659613150422,-0.00770586360227067,0.0,368.9768514205514,976.9014119577992,958.5697636992172,286.8672305019234,0.0,0.0
sentinel_bio_1b_8b,effect_human_lives_sub_ext_1b_8b,human_life_years,False,1835.129592447152,4628.630168865888,4930.5102536083305,2655.640610715772,0.43305068353390586,0.0,1793.9587413144816,4568.747313006501,4807.89941735636,2182.8441200162133,-0.027951942143949228,0.0,922.6611973948104,2318.6643334342825,2491.1061511106723,1369.4591731059238,0.32124291495810886,0.0,582.220717152978,1695.3349818160725,1426.5761800652044,-267.48752851260866,-0.14286638665248982,0.0,654.260819848231,2099.9195309573606,1496.7477664589642,103.2999259267744,-0.04115253924484909,0.0,896.6923621633588,2495.827073593458,2289.590804860743,1000.3548354179002,0.17751234786554465,0.0,664.6297104977134,1845.6508905751573,1591.537447365377,641.5937044637398,0.1341566347636442,0.0,362.24226744391524,943.9273947444697,709.9304809089168,236.18914560586558,0.0850434911811568,0.0,1514.972093528762,4056.64834243529,3920.2050514639823,1047.2840435271578,-0.02857327733049797,0.0,1720.9975790252138,4523.773154218531,4506.991952400984,1406.2005052061886,0.0,0.0
longview_nuclear,effect_human_lives_extinction,human_life_years,False,197.644429855616,2014.0829079164669,9726.921306851615,111997.87926964113,679862.6910058899,1.2299830140248177e+20,144.64908400610827,1693.8717597039263,8384.56587884597,95288.57286249343,575152.230569236,-1.3715832002130524e+19,97.26081202147077,1004.6296124634524,4863.102583380475,55693.463232893424,337955.1085087909,6.793138945518482e+19,-36.58198016660099,-5.604534363963705,337.4984408046181,1449.6842425053376,4507.930510508561,-7.034993549934658e+19,4.710569160842541,239.89950018727768,1387.9692963718505,14851.86277757588,88123.46297384592,-1.8835076223610495e+19,84.90529874190341,1053.6833253345415,5252.829337398368,59478.07202013362,356648.08078166685,4.633614415153017e+19,61.622089998592955,728.2306780775149,3425.56080668368,33718.772781395535,179146.63577861007,-3.712050668261394e+19,34.00524048718699,324.3654908142138,1107.2365180119405,1147.669380049366,-43533.2210766897,-7.07630392332115e+19,66.03303445536702,1026.2875901483148,5309.43350547036,59005.67395028991,354015.6722544761,-1.4058957981534636e+19,93.36513421276653,1293.917706788198,6584.0268604012335,73787.27087842963,443816.0192549282,1.4098798402310456e+16
longview_nuclear_100m_1b,effect_human_lives_sub_ext_100m_1b,human_life_years,False,1393.8022531265394,3841.9786002509823,4573.520408702964,2546.8471078811235,0.5621379245966732,0.0,1338.6999264335982,3755.2719381717934,4405.9309811057265,2044.5621125713699,-0.03216043897474409,0.0,697.9411608669136,1912.5024676067571,2283.978993025083,1285.9389984354577,0.43349616869769675,0.0,346.21356550098704,1233.0698752545056,1144.9082700225858,-313.65919798908203,-0.16437661776121695,0.0,389.6968156747662,1517.8491890896971,1295.543472459629,87.05458514392248,-0.04701107265781831,0.0,648.2016526358735,2032.6252304676896,2148.2728801378676,960.5458667737962,0.23448559007859374,0.0,474.72973650351,1492.0928997089864,1492.465471017554,613.378890739061,0.1779871093379758,0.0,254.78856029032121,755.9164479383827,660.761947597236,220.01229383099556,0.11423212336253917,0.0,1057.5427414932046,3205.435743668926,3485.343202698148,975.2772527921709,-0.03287532355224339,0.0,1226.9989018459717,3619.9296266361225,4040.6212158005847,1325.7410418124746,0.0,0.0
longview_nuclear_10m_100m,effect_human_lives_sub_ext_10m_100m,human_life_years,False,352.6807601424634,973.847520535548,1157.2152508434629,642.3840326540075,0.12446114824349297,0.0,339.0879737970022,951.7219989904257,1113.9907438631355,516.1502245437945,-0.01166254236619642,0.0,177.54347053362767,487.81325234050416,582.1743136305503,327.99245878815526,0.07781097877870727,0.0,88.7812348532703,315.4650907522357,294.26450924256136,-75.54584423100142,-0.05960892729597831,0.0,98.93896670003721,384.6304444419398,328.61049491178284,23.089054302202737,-0.017334861276441897,0.0,165.9949714127461,520.986249668918,550.5299060734668,246.19147046919915,0.047723576580605456,0.0,129.24680662664724,405.47180951593407,408.62709505081483,169.9314353552909,0.036510054265901724,0.0,82.40642057977301,249.119431372237,227.38530751783517,81.34954025001615,0.02348494217663339,0.0,267.8115977931233,812.3032662801883,882.0878558550186,245.83424392810807,-0.01192178545919566,0.0,310.49254771785127,916.8776111777811,1021.6507153424847,333.2790932948043,0.0,0.0
longview_nuclear_1b_8b,effect_human_lives_sub_ext_1b_8b,human_life_years,False,1583.5087309200378,4365.0273223858785,5200.889055287297,2900.272592177711,0.6459755497486039,0.0,1541.7986789802467,4304.977272541105,5078.241547761144,2423.473564111705,-0.043406095311999716,0.0,797.1331963687721,2185.9560179540176,2623.907717781023,1494.7428146883365,0.47235116850060505,0.0,464.56512580046456,1573.207411435731,1551.786678431622,-203.8900587028019,-0.22185478075130355,0.0,498.4089877543761,1920.215934831649,1657.1543725183699,149.59320718038032,-0.06364319841292865,0.0,738.1112981509801,2315.823621117286,2453.2727245215933,1102.5969798940941,0.26267532729575577,0.0,541.8156121153105,1706.1956454462243,1711.3496449518518,708.7928616391389,0.19644886214751248,0.0,291.82133349356906,869.7658315415456,766.0344223381559,262.05726929252575,0.12170647923473189,0.0,1268.4207619826477,3800.716626495397,4186.050947185619,1232.8828110196187,-0.04437095615026071,0.0,1454.8830994041898,4248.425181710193,4795.161213553602,1626.5776471530273,0.0,0.0
longview_ai,effect_human_lives_extinction,human_life_years,True,883.9904840677227,6291.781966196395,26068.563347265586,285256.8080518309,1729949.937052678,3.1877128942932944e+20,772.3388777810493,5835.2672237305505,24442.39467051224,264472.33450414415,1594217.3323509567,-2.0288063088466677e+20,-1806.3150839766229,-12773.80934043912,-52484.80686074656,-572729.9339057223,-3469564.0351580167,-4.9375412164627766e+20,-2357.8000883743657,-15686.763638082732,-64007.10538469849,-709811.2604764618,-4321234.8486528015,-1.038126069072892e+21,-486.7472281172152,-2389.3255335289127,-9126.998598407477,-109076.71396593684,-675155.7501630608,-2.996923470727477e+20,-322.9369361073016,-2486.182335706554,-10524.522474642765,-120383.45882661412,-754536.9607547926,-1.746039858299218e+20,-559.4462984284994,-4628.38754893893,-20651.741981878244,-254054.91298188074,-1666412.3584814575,-4.967388116414603e+20,-840.865665576299,-7191.127558829346,-32571.763575929475,-404089.42893258523,-2647970.619712942,-5.977883923596453e+20,392.3074606337915,3802.630875863538,16292.403702711374,167247.40677433807,993857.5319292693,-2.075392787462004e+20,774.015072298572,5951.921045818446,24853.721852869316,266243.0697372058,1602927.9991579547,9.920776339321869e+16
longview_ai_100m_1b,effect_human_lives_sub_ext_100m_1b,human_life_years,True,445.0802729409355,838.9147676759864,869.9293240429758,484.0640161787899,0.07150750069908039,0.0,417.73664566306246,799.3689231819378,795.40704920065,280.15789463956384,-0.04412199584709286,0.0,-898.0833232607024,-1701.8115791491614,-1756.2062945428115,-951.5698458967246,-0.10498048268929117,0.0,-1102.2150461172425,-2039.4807072763074,-2256.5293864555997,-1546.2428476008847,-0.22551385109870997,0.0,-181.00445784677055,-280.84023576498834,-466.9189946458869,-414.81721471000895,-0.06751095001890915,0.0,-159.4679384178478,-314.0913381326251,-306.8240325943425,-151.91287646891243,-0.011675585496410776,0.0,-267.9351361998779,-539.2505057607472,-533.3428820128227,-272.02653049740826,-0.024670317694351535,0.0,-400.2985567958141,-815.4177783405464,-802.1879382875305,-407.81779388281257,-0.0396110113047698,0.0,270.805323517654,557.72266967949,427.98179888233466,-78.69671878860295,-0.045102770219742,0.0,424.623260000424,820.0684849120036,789.4008597131092,251.23535128570333,0.0,0.0
