effects at time horizon,,,,Risk profile: NEUTRAL,,,,,,Risk profile: UPSIDE sceptical,,,,,,Risk profile: DOWNSIDE CRITICAL,,,,,,Risk profile: COMBINED,,,,,,Risk profile: DMREU,,,,,,"Risk profile: WLU (low, 0.01)",,,,,,"Risk profile: WLU (moderate, 0.05)",,,,,,"Risk profile: WLU (high, 0.1)",,,,,,Risk profile: AMBIGUITY AVERSION,,,,,,Risk profile: AMBIGUITY BILATERAL,,,,,
project_id,near_term_xrisk,effect_id,recipient_type,neutral_t0,neutral_t1,neutral_t2,neutral_t3,neutral_t4,neutral_t5,upside_t0,upside_t1,upside_t2,upside_t3,upside_t4,upside_t5,downside_t0,downside_t1,downside_t2,downside_t3,downside_t4,downside_t5,combined_t0,combined_t1,combined_t2,combined_t3,combined_t4,combined_t5,dmreu_t0,dmreu_t1,dmreu_t2,dmreu_t3,dmreu_t4,dmreu_t5,wlu - low_t0,wlu - low_t1,wlu - low_t2,wlu - low_t3,wlu - low_t4,wlu - low_t5,wlu - moderate_t0,wlu - moderate_t1,wlu - moderate_t2,wlu - moderate_t3,wlu - moderate_t4,wlu - moderate_t5,wlu - high_t0,wlu - high_t1,wlu - high_t2,wlu - high_t3,wlu - high_t4,wlu - high_t5,ambiguity_t0,ambiguity_t1,ambiguity_t2,ambiguity_t3,ambiguity_t4,ambiguity_t5,ambiguity bilateral_t0,ambiguity bilateral_t1,ambiguity bilateral_t2,ambiguity bilateral_t3,ambiguity bilateral_t4,ambiguity bilateral_t5
sentinel_bio,FALSE,effect_human_lives_extinction,human_life_years,64.58,630.2,2842,3.168e+04,1.924e+05,3.009e+19,31.25,406.5,1893,2.029e+04,1.218e+05,-4.295e+18,31.62,316.6,1428,1.591e+04,9.67e+04,1.291e+19,-30.66,-201.6,-852.8,-1.013e+04,-6.23e+04,-2.195e+19,-4.984,-18.79,-66.37,-937.7,-5966,-6.29e+18,23.89,241.5,1080,1.178e+04,7.038e+04,6.412e+18,17.14,160.3,661.5,6148,3.205e+04,-7.096e+18,9.297,67.77,196.9,233.3,-6407,-1.015e+19,3.037,119,593.5,5991,3.549e+04,-4.39e+18,11.72,203.6,976.3,1.024e+04,6.127e+04,2.029e+14
sentinel_bio_100m_1b,FALSE,effect_human_lives_sub_ext_100m_1b,human_life_years,447.6,1124,1192,643.6,0.05517,0,396.8,1039,1032,313.5,-0.007806,0,222.2,552.4,591.4,328.2,0.02394,0,-14.02,67.55,-114.7,-334.1,-0.0399,0,27.8,118.7,44.72,-53.06,-0.0119,0,168.8,429,440.5,226.9,0.01825,0,119,293.1,291.6,143.5,0.01224,0,60.64,133.8,121,51.43,0.005375,0,216.4,651.8,499.1,-11.74,-0.00798,0,280,814,667,70.39,0,0
sentinel_bio_10m_100m,FALSE,effect_human_lives_sub_ext_10m_100m,human_life_years,113,284.6,302.1,162.3,0.009117,0,100.4,263,261.6,79.72,-0.005917,0,56.06,141.5,153.2,84.26,-0.01455,0,-3.405,18.61,-24.98,-82.37,-0.03024,0,7.081,30.45,12.42,-12.8,-0.009072,0,43.1,110.3,113.9,58.33,-0.001755,0,32.53,81.06,81.53,40.02,-0.003316,0,19.86,46.03,43.5,19.2,-0.005133,0,54.81,164.9,127.2,-2.563,-0.006049,0,70.87,205.5,168.9,17.78,0,0
sentinel_bio_1b_8b,FALSE,effect_human_lives_sub_ext_1b_8b,human_life_years,508.6,1277,1358,732.8,0.05113,0,468.5,1213,1227,394.6,-0.01685,0,253,631.7,682.1,379,-0.01627,0,13.03,154,-47.42,-359.8,-0.08612,0,41.43,165,75.99,-53.55,-0.02578,0,191.9,488.5,504.2,259.8,0.006872,0,135.4,334.2,334.8,165,-0.0003525,0,68.94,153.2,140.5,60.3,-0.008607,0,274.3,813.5,643.2,1.854,-0.01722,0,347,997.7,833.8,94.34,0,0
longview_nuclear,FALSE,effect_human_lives_extinction,human_life_years,55.98,567.3,2745,3.153e+04,1.915e+05,3.259e+19,24.84,354.2,1820,2.035e+04,1.224e+05,-3.368e+18,28.69,292.3,1429,1.627e+04,9.856e+04,1.912e+19,-26.9,-183.5,-769.1,-9472,-5.864e+04,-1.721e+19,-4.438,-18.02,-49.15,-749.8,-4909,-4.855e+18,20.86,218.5,1057,1.185e+04,7.076e+04,8.76e+18,15.09,146.2,658,6294,3.288e+04,-4.882e+18,8.399,64.07,214.1,449.3,-5155,-7.907e+18,0.996,97.61,576,6132,3.632e+04,-3.443e+18,8.148,171.6,932.4,1.026e+04,6.139e+04,2.159e+14
longview_nuclear_100m_1b,FALSE,effect_human_lives_sub_ext_100m_1b,human_life_years,386.4,1061,1257,702.5,0.09374,0,335.9,976.4,1097,364.9,-0.01132,0,191.8,522.3,623.2,356.8,0.04844,0,-30.54,51.78,-97.89,-349.4,-0.05788,0,16.46,105.6,55.96,-54.24,-0.01721,0,144.2,403.9,466.2,247.9,0.03295,0,101.5,276.2,308.7,156.8,0.02279,0,51.65,126.7,128.1,56.01,0.01125,0,168.4,602.3,550.2,3.933,-0.01158,0,222.9,755.1,727.9,94.35,0,0
longview_nuclear_10m_100m,FALSE,effect_human_lives_sub_ext_10m_100m,human_life_years,97.45,268.6,318.6,177.3,0.01421,0,84.89,247.3,278.1,92.78,-0.009197,0,48.24,133.7,161.3,91.74,-0.02258,0,-7.671,14.55,-20.74,-86.02,-0.04701,0,4.177,27.12,15.27,-13.02,-0.01409,0,36.76,103.9,120.5,63.8,-0.002721,0,27.7,76.38,86.25,43.78,-0.005204,0,16.87,43.5,46.01,20.99,-0.008086,0,42.63,152.4,140.1,1.451,-0.009401,0,56.43,190.8,184.3,23.84,0,0
longview_nuclear_1b_8b,FALSE,effect_human_lives_sub_ext_1b_8b,human_life_years,438.9,1206,1432,799.9,0.08155,0,398.1,1142,1301,456.7,-0.02594,0,218.3,597.5,717.9,412.1,-0.02222,0,-9.723,131.5,-23.98,-373,-0.1326,0,26.53,147.7,90.69,-53.93,-0.03965,0,163.9,460.1,533.2,283.8,0.01186,0,115.4,315.1,354.1,180.3,0.0002168,0,58.67,145.1,148.5,65.69,-0.01302,0,215.8,753.1,705.5,23.47,-0.02652,0,278.2,926.9,907.4,125.3,0,0
longview_ai,TRUE,effect_human_lives_extinction,human_life_years,242.4,1731,7206,7.917e+04,4.802e+05,8.668e+19,156.6,1348,5728,6.034e+04,3.609e+05,-5.709e+19,-514,-3608,-1.476e+04,-1.604e+05,-9.715e+05,-1.417e+20,-802.3,-5260,-2.14e+04,-2.371e+05,-1.443e+06,-2.918e+20,-215.8,-1377,-5559,-6.183e+04,-3.764e+05,-8.592e+19,-84.87,-615.5,-2560,-2.895e+04,-1.81e+05,-4.262e+19,-142.1,-1097,-4803,-5.822e+04,-3.788e+05,-1.099e+20,-207.7,-1637,-7244,-8.813e+04,-5.706e+05,-1.245e+20,-29.09,197.4,1056,7781,4.141e+04,-5.836e+19,141.9,1262,5347,5.571e+04,3.333e+05,2.161e+15
longview_ai_100m_1b,TRUE,effect_human_lives_sub_ext_100m_1b,human_life_years,122.8,230.3,238.6,135.7,0.01708,0,97.65,192.8,169.7,7.726,-0.004752,0,-251.2,-478.4,-488.7,-252.1,-0.001932,0,-370.4,-681.9,-765,-485.4,-0.02429,0,-97.98,-177.7,-205.6,-130.2,-0.007275,0,-39.91,-77.98,-78.55,-37.49,0.00327,0,-65.42,-129.4,-133.5,-69.18,0.001236,0,-95.35,-189.3,-196.7,-104.7,-0.001125,0,11.93,42.58,-21.53,-88.98,-0.004858,0,88.95,180,145,10.21,0,0
longview_ai_10m_100m,TRUE,effect_human_lives_sub_ext_10m_100m,human_life_years,35.27,66.35,69.15,39.15,0.002382,0,27.29,53.84,47.09,1.229,-0.00312,0,-72.23,-136.9,-138,-70.21,-0.0101,0,-107.9,-198.2,-220.1,-137.1,-0.01595,0,-28.61,-51.89,-59.1,-36.8,-0.004789,0,-11.2,-21.67,-21.24,-9.867,-0.002076,0,-17.44,-34.37,-34.95,-17.81,-0.002659,0,-24.9,-49.45,-51.01,-26.91,-0.003345,0,2.008,9.476,-8.333,-25.35,-0.003189,0,24.61,49.8,39.61,2.616,0,0
longview_ai_1b_8b,TRUE,effect_human_lives_sub_ext_1b_8b,human_life_years,277.5,520.7,543.1,307.7,0.02723,0,237.3,462.8,425.5,44.13,-0.018,0,-561.4,-1064,-1078,-556.4,-0.04478,0,-805.8,-1475,-1659,-1077,-0.09201,0,-211.7,-380.1,-444.4,-287,-0.0276,0,-89.74,-174.1,-171.9,-82.31,-0.005723,0,-152.1,-298.9,-304.8,-158.3,-0.01096,0,-224.5,-442.9,-455.6,-242.1,-0.01698,0,51.76,145.7,-1.66,-193.4,-0.0184,0,217.6,437.4,360.5,27.66,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
