effects at time horizon,,,,Risk profile: NEUTRAL,,,,,,Risk profile: UPSIDE sceptical,,,,,,Risk profile: DOWNSIDE CRITICAL,,,,,,Risk profile: COMBINED,,,,,,Risk profile: DMREU,,,,,,"Risk profile: WLU (low, 0.01)",,,,,,"Risk profile: WLU (moderate, 0.05)",,,,,,"Risk profile: WLU (high, 0.1)",,,,,,Risk profile: AMBIGUITY AVERSION,,,,,,Risk profile: AMBIGUITY BILATERAL,,,,,
project_id,near_term_xrisk,effect_id,recipient_type,neutral_t0,neutral_t1,neutral_t2,neutral_t3,neutral_t4,neutral_t5,upside_t0,upside_t1,upside_t2,upside_t3,upside_t4,upside_t5,downside_t0,downside_t1,downside_t2,downside_t3,downside_t4,downside_t5,combined_t0,combined_t1,combined_t2,combined_t3,combined_t4,combined_t5,dmreu_t0,dmreu_t1,dmreu_t2,dmreu_t3,dmreu_t4,dmreu_t5,wlu - low_t0,wlu - low_t1,wlu - low_t2,wlu - low_t3,wlu - low_t4,wlu - low_t5,wlu - moderate_t0,wlu - moderate_t1,wlu - moderate_t2,wlu - moderate_t3,wlu - moderate_t4,wlu - moderate_t5,wlu - high_t0,wlu - high_t1,wlu - high_t2,wlu - high_t3,wlu - high_t4,wlu - high_t5,ambiguity_t0,ambiguity_t1,ambiguity_t2,ambiguity_t3,ambiguity_t4,ambiguity_t5,ambiguity bilateral_t0,ambiguity bilateral_t1,ambiguity bilateral_t2,ambiguity bilateral_t3,ambiguity bilateral_t4,ambiguity bilateral_t5
sentinel_bio,FALSE,effect_human_lives_extinction,human_life_years,111.3,1012,4458,5.163e+04,3.034e+05,7.184e+13,64.77,734.1,3298,3.76e+04,2.176e+05,-2.422e+08,75.25,568.1,2114,2.443e+04,1.427e+05,7.184e+13,-16.26,-147.4,-953,-1.299e+04,-8.067e+04,-2.168e+09,1.716,30.6,56.35,56.79,-1164,9.273e+11,48.97,435.5,1787,2.023e+04,1.167e+05,3.504e+13,37.63,300.7,1082,1.03e+04,5.108e+04,1.118e+13,24.47,144.8,280.3,-439.5,-1.707e+04,1.828e+12,20.59,306.5,1443,1.481e+04,8.36e+04,-1.949e+08,30.47,428.5,2082,2.219e+04,1.271e+05,3.051e+08
sentinel_bio_100m_1b,FALSE,effect_human_lives_sub_ext_100m_1b,human_life_years,857.3,2157,2261,1031,0,0,804.9,2076,2104,700.6,0,0,351.2,868.8,846,110.7,0,0,58.18,288.7,-47.18,-806.2,0,0,132.8,478.9,242.4,-171,0,0,330.5,863.8,821.4,258.1,0,0,225.8,571.4,506.1,100.8,0,0,98.91,212,133.8,-74.87,0,0,575.6,1606,1399,134.6,0,0,709.1,1926,1784,378,0,0
sentinel_bio_10m_100m,FALSE,effect_human_lives_sub_ext_10m_100m,human_life_years,226.7,561.4,587.1,285.7,0,0,215.5,540.7,545.6,196.7,0,0,106.7,242.3,248.8,108.3,0,0,31.52,92.93,13.26,-136.8,0,0,39.36,128.8,71.09,-22.09,0,0,92.74,232.7,224.9,94.21,0,0,70.1,168.9,156.1,59.86,0,0,42.29,89.56,73.26,20.46,0,0,154.3,419.1,359.1,44.56,0,0,186,498.6,451.3,91.92,0,0
sentinel_bio_1b_8b,FALSE,effect_human_lives_sub_ext_1b_8b,human_life_years,1007,2521,2655,1317,0,0,969.5,2462,2516,953.2,0,0,463.3,1103,1083,387.4,0,0,171.3,552.1,188.7,-718.8,0,0,199.3,669.6,381.3,-128.3,0,0,404,1038,991.7,397.1,0,0,283.8,702.2,626.6,207.7,0,0,138,288,194.4,-3.452,0,0,727.1,2002,1796,231.8,0,0,869.6,2350,2225,480,0,0
longview_nuclear,FALSE,effect_human_lives_extinction,human_life_years,88.04,834.7,3962,4.688e+04,2.771e+05,2.587e+13,52.59,593.1,2910,3.43e+04,2.032e+05,-4.498e+09,44.65,328.9,1430,1.733e+04,1.127e+05,2.585e+13,-32.72,-285.8,-1340,-1.634e+04,-8.698e+04,-2.369e+10,-3.977,-22.75,-87.39,-1182,-4391,4.139e+11,33.92,313.4,1446,1.683e+04,1.01e+05,1.273e+13,24.59,195.2,790.4,7428,3.97e+04,4.285e+12,13.72,58.49,43.72,-2778,-2.427e+04,7.482e+11,11.63,231.3,1248,1.388e+04,8.115e+04,-4.376e+09,23.23,368,1933,2.185e+04,1.256e+05,4.62e+08
longview_nuclear_100m_1b,FALSE,effect_human_lives_sub_ext_100m_1b,human_life_years,746.2,2019,2399,1142,0,0,694.5,1942,2243,803.8,0,0,316.9,797.1,916.8,145.9,0,0,37.88,235.7,5.045,-830,0,0,97.66,425.5,288,-170.9,0,0,284.5,797.3,883.4,293.6,0,0,195.3,524.5,548.6,120,0,0,88.14,190.4,151.8,-74.16,0,0,476.7,1485,1520,188.2,0,0,593.4,1790,1922,452.7,0,0
longview_nuclear_10m_100m,FALSE,effect_human_lives_sub_ext_10m_100m,human_life_years,197.1,527.1,623.5,313.2,0,0,185.2,506.9,579.3,221.6,0,0,96.15,226.5,265.2,118.2,0,0,24.35,80.81,24.24,-141.2,0,0,29.79,115.7,81.87,-21.71,0,0,79.8,216.6,240.8,103.6,0,0,60.55,157.1,167.4,65.79,0,0,37.07,83.23,78.77,22.4,0,0,127.5,388.1,390.6,58.13,0,0,155.1,463.2,487.7,110.4,0,0
longview_nuclear_1b_8b,FALSE,effect_human_lives_sub_ext_1b_8b,human_life_years,876.2,2363,2823,1439,0,0,838.6,2309,2679,1065,0,0,419.8,1016,1166,434.4,0,0,136.6,481.4,253.1,-722.6,0,0,151.1,597.3,440,-122.5,0,0,348.5,959.8,1066,438.8,0,0,246.3,645.8,677,232.1,0,0,123.4,260.2,214.9,1.263,0,0,603.2,1858,1947,304.4,0,0,727,2190,2395,573.8,0,0
longview_ai,TRUE,effect_human_lives_extinction,human_life_years,356.7,2511,1.032e+04,1.133e+05,6.669e+05,3.835e+14,264.1,2079,8699,9.609e+04,5.58e+05,-9.762e+12,-791.1,-5862,-2.466e+04,-2.68e+05,-1.542e+06,3.445e+14,-1144,-7850,-3.26e+04,-3.603e+05,-2.09e+06,-4.99e+13,-297.1,-1921,-7898,-8.809e+04,-5.126e+05,-1.072e+13,-137.3,-1099,-4794,-5.389e+04,-3.157e+05,1.537e+14,-225.2,-1862,-8379,-1.007e+05,-6.199e+05,2.851e+13,-326.9,-2729,-1.234e+04,-1.494e+05,-9.212e+05,-1.53e+13,29.66,710.2,3160,2.947e+04,1.68e+05,-9.979e+12,257.4,2089,8723,9.214e+04,5.369e+05,1.371e+09
longview_ai_100m_1b,TRUE,effect_human_lives_sub_ext_100m_1b,human_life_years,205.2,405,396,146.3,-0.1008,0,180.6,370.8,328,20.55,-0.1008,0,-632.1,-1161,-1223,-820.2,-0.504,0,-786.8,-1426,-1597,-1155,-0.5152,0,-191.3,-326,-414.9,-322.8,-0.1549,0,-129.9,-236.9,-250.2,-187.7,-0.1529,0,-185,-350.3,-366.4,-249.2,-0.1598,0,-250.4,-484.8,-501.4,-318.3,-0.1679,0,69.2,175.8,58.45,-166.8,-0.103,0,197.9,398.2,350.7,78.18,0,0
longview_ai_10m_100m,TRUE,effect_human_lives_sub_ext_10m_100m,human_life_years,61.97,120.3,117.2,56.52,-0.01145,0,56.17,108.6,91.81,14.7,-0.01145,0,-169.5,-315.7,-330.7,-189.3,-0.05726,0,-215.9,-395.9,-442.8,-292.9,-0.05853,0,-52.41,-90.83,-114.8,-80.73,-0.0176,0,-32.56,-60.77,-64.14,-37.81,-0.01731,0,-45.81,-88.32,-92.54,-53.22,-0.01785,0,-61.79,-121.5,-126.2,-70.95,-0.01851,0,20.76,49.87,15.08,-41.63,-0.01171,0,56.95,113.3,98.12,20.87,0,0
longview_ai_1b_8b,TRUE,effect_human_lives_sub_ext_1b_8b,human_life_years,508.3,989.9,972.1,435.8,-0.172,0,468.9,944.6,861.3,155.8,-0.172,0,-1296,-2393,-2552,-1564,-0.8602,0,-1613,-2915,-3302,-2347,-0.8793,0,-370.4,-618,-835.5,-647.7,-0.2644,0,-248,-456.1,-493.3,-326.5,-0.2612,0,-383,-732.3,-776.5,-476.6,-0.2739,0,-542.1,-1057,-1102,-643,-0.2887,0,230.9,543.5,300.9,-302,-0.1759,0,485.6,983.9,910.1,204.4,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
