project_id,effect_id,recipient_type,near_term_xrisk,neutral_t0,neutral_t1,neutral_t2,neutral_t3,neutral_t4,neutral_t5,upside_t0,upside_t1,upside_t2,upside_t3,upside_t4,upside_t5,downside_t0,downside_t1,downside_t2,downside_t3,downside_t4,downside_t5,combined_t0,combined_t1,combined_t2,combined_t3,combined_t4,combined_t5,dmreu_t0,dmreu_t1,dmreu_t2,dmreu_t3,dmreu_t4,dmreu_t5,wlu - low_t0,wlu - low_t1,wlu - low_t2,wlu - low_t3,wlu - low_t4,wlu - low_t5,wlu - moderate_t0,wlu - moderate_t1,wlu - moderate_t2,wlu - moderate_t3,wlu - moderate_t4,wlu - moderate_t5,wlu - high_t0,wlu - high_t1,wlu - high_t2,wlu - high_t3,wlu - high_t4,wlu - high_t5,ambiguity_t0,ambiguity_t1,ambiguity_t2,ambiguity_t3,ambiguity_t4,ambiguity_t5,ambiguity bilateral_t0,ambiguity bilateral_t1,ambiguity bilateral_t2,ambiguity bilateral_t3,ambiguity bilateral_t4,ambiguity bilateral_t5
sentinel_bio,effect_human_lives_extinction,human_life_years,False,111.30675570664343,1012.0582189899948,4457.52075332644,51628.731158598974,303436.1789593041,71842440716359.38,64.76784527610992,734.1033138481577,3298.0848213208383,37595.78632131796,217558.38539955893,-242153441.04951397,75.2523807998148,568.0637099952881,2114.077429844774,24434.616014768064,142743.27040605134,71840510722392.8,-16.263746169395215,-147.37644616195288,-952.9635696519073,-12985.455851929632,-80674.39679010067,-2167880089.458529,1.7158413512981912,30.5951321310374,56.348627359148296,56.791271396357615,-1164.092832074256,927319633800.7865,48.96721827377404,435.51918196431177,1786.6851584183612,20228.339304438632,116715.62250045562,35043359929989.605,37.62601207657604,300.66380311707354,1081.628475975471,10302.290205127752,51082.74769540833,11184082504675.514,24.468430489905884,144.79180564937406,280.2878229146458,-439.51319033629557,-17073.36046752663,1827638069426.986,20.59384492045359,306.50933332955844,1442.6867774232942,14814.48738968094,83598.41420162449,-194889887.5845916,30.473766169186327,428.47505029694486,2081.72844113703,22193.266789207948,127129.9024591337,305113624.837576
sentinel_bio_100m_1b,effect_human_lives_sub_ext_100m_1b,human_life_years,False,857.3262132687327,2157.4374573258215,2260.9778477169616,1030.9581105251168,0.0,0.0,804.8674493250568,2076.094048217441,2103.607337639243,700.6027716479844,0.0,0.0,351.2104578512382,868.7547962034153,845.9889773602517,110.69618988033368,0.0,0.0,58.18205189031977,288.6696399799671,-47.18008132184893,-806.19170068009,0.0,0.0,132.83262426398466,478.93986654998065,242.36917384604808,-170.95386408480374,0.0,0.0,330.5374229894583,863.8175119155366,821.3525464590672,258.1492286592361,0.0,0.0,225.78487446251447,571.382850797938,506.1416418956887,100.81615050036959,0.0,0.0,98.9074047804939,211.97658708615927,133.75403974752376,-74.87211039097436,0.0,0.0,575.573009451336,1606.061459723647,1399.3317862411914,134.57173383615185,0.0,0.0,709.0678249260089,1926.3676413962498,1783.9639919128258,378.0368122548096,0.0,0.0
sentinel_bio_10m_100m,effect_human_lives_sub_ext_10m_100m,human_life_years,False,226.74955657089464,561.3517274799453,587.0944627399637,285.7090062873874,0.0,0.0,215.48339056789578,540.6728786594913,545.5867507407548,196.69973060254318,0.0,0.0,106.69190043685926,242.2509189299496,248.77995403161984,108.28741111673743,0.0,0.0,31.518442118081918,92.93447595964479,13.257497817497049,-136.81715569228513,0.0,0.0,39.36300013705386,128.81526341037537,71.08904430613183,-22.091603688062904,0.0,0.0,92.73761153687575,232.7278862109655,224.94692217781912,94.21296006428959,0.0,0.0,70.09846009311319,168.94005419531626,156.1232869341101,59.85814181350325,0.0,0.0,42.28715240545062,89.55536680872387,73.26275553659005,20.457260547632263,0.0,0.0,154.25073212252906,419.1441841675745,359.10894730063717,44.557022121292114,0.0,0.0,185.98973943774507,498.6166768141746,451.2859971839387,91.91881659868776,0.0,0.0
sentinel_bio_1b_8b,effect_human_lives_sub_ext_1b_8b,human_life_years,False,1006.9577062063051,2521.2566265326736,2655.1195442539624,1317.3833516219795,0.0,0.0,969.474792780413,2462.027242825893,2515.6732995361454,953.1996526016105,0.0,0.0,463.3116276104922,1102.9288967243697,1082.6721878628505,387.427692602485,0.0,0.0,171.34057554684532,552.0918431522679,188.7472319067221,-718.8459186436606,0.0,0.0,199.3148593069676,669.6192365311977,381.2812639516128,-128.26623952410407,0.0,0.0,403.96532632594744,1038.1360255918466,991.714498298892,397.07419050911426,0.0,0.0,283.8306532427665,702.181246944022,626.5707562156874,207.65296402846678,0.0,0.0,137.96280319688054,288.0364744383608,194.37337798649722,-3.451772102549224,0.0,0.0,727.0979535145663,2002.0169529831703,1796.2254317631416,231.82721049550506,0.0,0.0,869.5879474321893,2350.350697449235,2225.158389415152,480.031288033366,0.0,0.0
longview_nuclear,effect_human_lives_extinction,human_life_years,False,88.03720463588391,834.7285687624125,3961.8850859798235,46882.94631871319,277128.2826359142,25873272499302.258,52.587728370089984,593.1281434752495,2909.5920615662826,34302.65229109469,203167.28751009173,-4497773514.413192,44.64618880746035,328.89184653634885,1429.6470811842444,17326.310505468904,112665.60946419193,25854383024618.062,-32.72427444907701,-285.7872929425562,-1340.4857455731199,-16337.405626832584,-86981.11582601075,-23686160756.068214,-3.976997381847663,-22.747431507450955,-87.385644268296,-1182.3598812440478,-4391.379312572924,413944706091.98083,33.92462511823104,313.41039907556905,1446.4732597771977,16826.564964950034,101012.14583823734,12727929241940.893,24.59496146413506,195.15985018989537,790.3522376166852,7427.801845857766,39701.615556954166,4285123829595.2466,13.724677434094374,58.49205913245608,43.720878696977536,-2777.845929226133,-24268.743732779476,748154557182.8381,11.633402601490614,231.31841515021026,1248.1652340685523,13877.690311214352,81145.44226773988,-4375868021.523367,23.232926325434086,368.0341699410061,1932.6319181326885,21854.366318346914,125613.63183041883,461957652.1727994
longview_nuclear_100m_1b,effect_human_lives_sub_ext_100m_1b,human_life_years,False,746.1826568698967,2019.3686888581935,2399.1722400845592,1141.976043023985,0.0,0.0,694.5398151214354,1942.2950983113244,2242.5093829218154,803.8162000445093,0.0,0.0,316.8784638919266,797.0918761896125,916.7705734114701,145.90950780223042,0.0,0.0,37.877561786013935,235.7196921902582,5.045309257750958,-830.0164183099319,0.0,0.0,97.65761034592519,425.47437099656173,288.0158709235565,-170.9058782454207,0.0,0.0,284.4931393091577,797.311555485153,883.4100312695525,293.6067179374196,0.0,0.0,195.27605358905302,524.5251610150917,548.6032505895187,120.0123584018083,0.0,0.0,88.14497872216259,190.36774912364496,151.82525834629078,-74.15672568889342,0.0,0.0,476.74575569672567,1485.226279847388,1520.471789465532,188.24039929842456,0.0,0.0,593.3741526152688,1790.2087868842468,1921.733935200065,452.7075871162275,0.0,0.0
longview_nuclear_10m_100m,effect_human_lives_sub_ext_10m_100m,human_life_years,False,197.07157215701207,527.1255907318698,623.5364492620438,313.171140927266,0.0,0.0,185.2118784577739,506.9025193442718,579.3095787256773,221.642570928115,0.0,0.0,96.1497263029463,226.50847886334975,265.16851360514295,118.1834657437275,0.0,0.0,24.351134876938605,80.81098566436418,24.235512866247166,-141.2058752790166,0.0,0.0,29.794484116402742,115.72073004952907,81.8737658114655,-21.71479875217681,0.0,0.0,79.80096583013051,216.60623247496775,240.8082689650188,103.56654216111556,0.0,0.0,60.55437354422782,157.09034383428576,167.38411625365774,65.7874180363182,0.0,0.0,37.074695793493454,83.23254808184144,78.76538275903748,22.397337664962873,0.0,0.0,127.5213087083922,388.1252190270042,390.5871377741477,58.12571812808358,0.0,0.0,155.05695099188787,463.24769157989334,487.67114017643945,110.37943667008136,0.0,0.0
longview_nuclear_1b_8b,effect_human_lives_sub_ext_1b_8b,human_life_years,False,876.2271796428921,2362.577726231277,2822.8566056740237,1439.05571706673,0.0,0.0,838.5826358220003,2308.9925181457147,2678.8901178378837,1065.3414296444903,0.0,0.0,419.81101923860683,1015.8664827644858,1166.2281532727234,434.4347495243826,0.0,0.0,136.58726217527297,481.3714000132468,253.08487973613626,-722.5579803323512,0.0,0.0,151.07277777262493,597.2644094934477,440.01263438055554,-122.51396011702971,0.0,0.0,348.5038520432005,959.7692595898964,1066.2164783011776,438.76688152304905,0.0,0.0,246.31690777358367,645.8140706966575,677.0036620536191,232.07189686620237,0.0,0.0,123.35541003968099,260.1696314647235,214.9188475750045,1.263288686004252,0.0,0.0,603.1714215304766,1858.0845577387952,1946.6195546321824,304.443844485061,0.0,0.0,727.0461849381117,2190.29627435566,2395.4878298594263,573.7753560514225,0.0,0.0
longview_ai,effect_human_lives_extinction,human_life_years,True,356.6700566750929,2511.199799353264,10316.451372624453,113293.85108842568,666919.7908177439,383533515111544.75,264.07597003854517,2079.327664728637,8699.123148328554,96091.80950219832,557993.6465278628,-9762008509463.275,-791.0958651320029,-5862.48982506038,-24662.14011234396,-267963.27497410314,-1541843.769895901,344481999659495.9,-1143.6758939054869,-7850.020111759623,-32597.37802313635,-360278.96088076755,-2090009.0775281999,-49900490830730.65,-297.1494481583793,-1920.976506296619,-7898.433079559474,-88092.75212784612,-512609.58592696144,-10715980508139.104,-137.2887713174224,-1098.6551045116614,-4794.422907413877,-53893.37519437083,-315680.1339558245,153667585227686.25,-225.1655957975437,-1862.2941597792837,-8378.706804250123,-100721.0000376502,-619921.8611489732,28507106561138.527,-326.8756866039306,-2728.7327557462745,-12337.880132492819,-149446.30467328354,-921185.4643349648,-15295884262542.64,29.659855837800073,710.2178312782709,3160.4634366987066,29471.777797055507,167961.12290711878,-9978989163039.305,257.38845761551806,2088.901351546626,8722.691280051535,92135.04593085675,536913.9187230465,1371156527.250174
longview_ai_100m_1b,effect_human_lives_sub_ext_100m_1b,human_life_years,True,205.1836083952256,405.0494902543882,396.0106872460582,146.31396242225998,-0.10079305408823694,0.0,180.59249900436896,370.7579763563286,327.9921795509086,20.552399292860425,-0.10079305408823694,0.0,-632.1135072204729,-1161.4795474921118,-1223.285429232707,-820.1738315914877,-0.5039652704411848,0.0,-786.7529105354643,-1425.6416099763242,-1596.9246321697858,-1154.8478215622167,-0.5151925642701463,0.0,-191.31949606208622,-325.9888705183672,-414.904225005111,-322.7937658156022,-0.1549393124852116,0.0,-129.93426066369582,-236.91532371775574,-250.19742761864745,-187.74299955842113,-0.15292360132561242,0.0,-184.96731793936436,-350.2625005264707,-366.40171510707916,-249.18340215730612,-0.15980755687917444,0.0,-250.4072469129172,-484.82334456312975,-501.4170904183008,-318.3361976891127,-0.16794179569353088,0.0,69.19743634541608,175.7864234549053,58.44602031795368,-166.8286977487036,-0.10303851285402922,0.0,197.9391110744659,398.22716976998737,350.72495744121784,78.17517716097585,0.0,0.0
