effects at time horizon,,,,Risk profile: NEUTRAL,,,,,,Risk profile: UPSIDE sceptical,,,,,,Risk profile: DOWNSIDE CRITICAL,,,,,,Risk profile: COMBINED,,,,,,Risk profile: DMREU,,,,,,"Risk profile: WLU (low, 0.01)",,,,,,"Risk profile: WLU (moderate, 0.05)",,,,,,"Risk profile: WLU (high, 0.1)",,,,,,Risk profile: AMBIGUITY AVERSION,,,,,,Risk profile: AMBIGUITY BILATERAL,,,,,
project_id,near_term_xrisk,effect_id,recipient_type,neutral_t0,neutral_t1,neutral_t2,neutral_t3,neutral_t4,neutral_t5,upside_t0,upside_t1,upside_t2,upside_t3,upside_t4,upside_t5,downside_t0,downside_t1,downside_t2,downside_t3,downside_t4,downside_t5,combined_t0,combined_t1,combined_t2,combined_t3,combined_t4,combined_t5,dmreu_t0,dmreu_t1,dmreu_t2,dmreu_t3,dmreu_t4,dmreu_t5,wlu - low_t0,wlu - low_t1,wlu - low_t2,wlu - low_t3,wlu - low_t4,wlu - low_t5,wlu - moderate_t0,wlu - moderate_t1,wlu - moderate_t2,wlu - moderate_t3,wlu - moderate_t4,wlu - moderate_t5,wlu - high_t0,wlu - high_t1,wlu - high_t2,wlu - high_t3,wlu - high_t4,wlu - high_t5,ambiguity_t0,ambiguity_t1,ambiguity_t2,ambiguity_t3,ambiguity_t4,ambiguity_t5,ambiguity bilateral_t0,ambiguity bilateral_t1,ambiguity bilateral_t2,ambiguity bilateral_t3,ambiguity bilateral_t4,ambiguity bilateral_t5
sentinel_bio,FALSE,effect_human_lives_extinction,human_life_years,12.8,124.8,563,6267,3.802e+04,6.625e+18,8.386,96.96,446.1,4841,2.912e+04,-7.576e+17,6.325,61.97,280.8,3133,1.902e+04,3.594e+18,-3.778,-16.78,-62.79,-843.6,-5329,-3.872e+18,-0.2615,5.342,29.56,274.9,1589,-1.073e+18,5.186,54.46,245.3,2680,1.603e+04,1.959e+18,4.16,40.81,172.4,1654,8853,-1.29e+18,2.931,24.47,85.83,472.3,834.3,-2.2e+18,2.84,47.44,225.7,2360,1.41e+04,-7.742e+17,4.592,64.6,302.8,3215,1.928e+04,2.632e+14
sentinel_bio_100m_1b,FALSE,effect_human_lives_sub_ext_100m_1b,human_life_years,89.47,226.4,240.9,129,0.01734,0,84.22,217.7,224.1,87.18,-0.002565,0,44.59,112.6,119.7,64.2,0.007086,0,14.19,52.34,26.12,-44.05,-0.01311,0,16.07,55.34,34.47,-4.93,-0.003882,0,37.67,99.33,98.32,47.08,0.005744,0,29.98,77.42,74.02,33.6,0.004304,0,20.47,50,44.46,17.92,0.002597,0,60.07,168.6,150,22.24,-0.002622,0,72.16,197.5,183.4,39.68,0,0
sentinel_bio_10m_100m,FALSE,effect_human_lives_sub_ext_10m_100m,human_life_years,22.64,57.27,60.94,32.66,0.004352,0,21.29,55.06,56.68,22.1,-0.0006597,0,11.29,28.55,30.29,16.28,0.001713,0,3.58,13.26,6.55,-11.14,-0.003372,0,4.059,13.99,8.692,-1.24,-0.0009989,0,9.636,25.41,25.15,12.07,0.001444,0,8.112,20.97,20.12,9.21,0.001157,0,6.213,15.38,13.93,5.818,0.0008097,0,15.18,42.62,37.88,5.609,-0.0006744,0,18.24,49.92,46.35,10.02,0,0
sentinel_bio_1b_8b,FALSE,effect_human_lives_sub_ext_1b_8b,human_life_years,101.6,256.9,273.3,146.4,0.02206,0,97.54,250.8,260.7,105.4,-0.00278,0,50.68,128,135.7,72.99,0.01094,0,21.1,71.53,43.51,-44.58,-0.01421,0,21,71.31,45.63,-4.083,-0.0042,0,42.79,112.8,111.5,53.45,0.007786,0,34.07,87.99,83.94,38.14,0.00596,0,23.25,56.82,50.32,20.33,0.003802,0,73.15,203.4,184.2,30.46,-0.002842,0,86.73,235.4,222.1,50.33,0,0
longview_nuclear,FALSE,effect_human_lives_extinction,human_life_years,11.03,112,542,6265,3.805e+04,6.086e+18,6.845,85.42,427.5,4830,2.909e+04,-8.966e+17,5.428,55.49,269.4,3113,1.889e+04,2.5e+18,-3.745,-17.6,-63.18,-858.7,-5463,-4.582e+18,-0.3931,3.726,27.43,270.6,1554,-1.288e+18,4.372,48.35,235.8,2673,1.599e+04,1.482e+18,3.501,36.23,165.7,1645,8796,-1.699e+18,2.459,21.75,82.57,462.6,755.7,-2.619e+18,1.979,40.19,215.5,2363,1.412e+04,-9.162e+17,3.485,55.64,290,3223,1.934e+04,2.655e+14
longview_nuclear_100m_1b,FALSE,effect_human_lives_sub_ext_100m_1b,human_life_years,77.15,213.4,254.2,141,0.0262,0,71.88,204.8,237.4,98.34,-0.004407,0,38.43,106.2,126.4,70.14,0.008576,0,9.409,47.46,31.31,-43.65,-0.02253,0,11.66,50.22,39.01,-4.134,-0.006675,0,31.75,93,104.6,51.69,0.008101,0,25.21,72.48,78.81,36.94,0.005751,0,17.15,46.84,47.42,19.76,0.002979,0,48.99,157.1,161.9,28.77,-0.004505,0,59.65,184.6,197,47.92,0,0
longview_nuclear_10m_100m,FALSE,effect_human_lives_sub_ext_10m_100m,human_life_years,19.52,54,64.3,35.69,0.006651,0,18.17,51.8,60.05,24.95,-0.001194,0,9.723,26.92,31.97,17.79,0.001874,0,2.366,12.03,7.862,-11.04,-0.006104,0,2.943,12.7,9.84,-1.037,-0.00181,0,8.122,23.8,26.74,13.25,0.002008,0,6.824,19.64,21.41,10.13,0.001521,0,5.213,14.41,14.84,6.412,0.000935,0,12.38,39.71,40.91,7.258,-0.001221,0,15.08,46.66,49.79,12.1,0,0
longview_nuclear_1b_8b,FALSE,effect_human_lives_sub_ext_1b_8b,human_life_years,87.6,242.3,288.4,160,0.03452,0,83.47,236.2,275.8,118.4,-0.004395,0,43.69,120.7,143.3,79.73,0.01694,0,15.13,65.43,50.01,-43.39,-0.02246,0,15.42,64.81,51.37,-2.957,-0.006629,0,36.07,105.6,118.6,58.69,0.01211,0,28.64,82.37,89.37,41.94,0.009125,0,19.48,53.23,53.68,22.41,0.005617,0,60.02,189.7,198.4,38.62,-0.004493,0,72.07,220.3,238,60.44,0,0
longview_ai,TRUE,effect_human_lives_extinction,human_life_years,49.32,350.7,1447,1.581e+04,9.581e+04,1.624e+19,39.39,308.6,1291,1.381e+04,8.294e+04,-1.158e+19,-99.78,-705.7,-2915,-3.193e+04,-1.936e+05,-3.006e+19,-141.6,-933.2,-3818,-4.254e+04,-2.592e+05,-5.917e+19,-35.3,-207.8,-831.6,-9494,-5.816e+04,-1.729e+19,-15.82,-118.5,-505.8,-5831,-3.663e+04,-9.495e+18,-24.77,-199.8,-898.9,-1.121e+04,-7.398e+04,-2.394e+19,-35.53,-296.5,-1358,-1.72e+04,-1.139e+05,-2.786e+19,10.86,146.7,641.3,6252,3.662e+04,-1.183e+19,37.86,305.3,1279,1.354e+04,8.126e+04,2.305e+15
longview_ai_100m_1b,TRUE,effect_human_lives_sub_ext_100m_1b,human_life_years,24.7,46.74,48.42,26.54,0.003382,0,22.06,42.84,41.05,9.934,-0.00264,0,-49.7,-94.17,-97.64,-53.7,-0.007178,0,-65.83,-121.3,-136.7,-93.79,-0.01349,0,-15.16,-26.24,-34.3,-25.33,-0.004044,0,-7.764,-15.07,-15.32,-8.201,-0.001073,0,-11.61,-23.09,-23.97,-13.21,-0.001566,0,-16.3,-32.89,-34.38,-19.08,-0.002156,0,10.22,22.74,12.6,-11.77,-0.002699,0,21.69,42.66,38.89,8.466,0,0
longview_ai_10m_100m,TRUE,effect_human_lives_sub_ext_10m_100m,human_life_years,7.12,13.46,13.93,7.629,0.0007603,0,6.241,12.15,11.52,2.588,-0.0009202,0,-14.25,-27.03,-28.1,-15.45,-0.002921,0,-19.16,-35.34,-39.89,-27.16,-0.004703,0,-4.485,-7.821,-10.09,-7.336,-0.001411,0,-2.158,-4.2,-4.296,-2.303,-0.0005704,0,-3.027,-6.052,-6.34,-3.516,-0.0006909,0,-4.098,-8.334,-8.827,-4.962,-0.0008371,0,2.683,6.053,3.071,-3.564,-0.0009407,0,6.093,12.01,10.84,2.268,0,0
longview_ai_1b_8b,TRUE,effect_human_lives_sub_ext_1b_8b,human_life_years,55.63,105.2,109,59.68,0.009473,0,51.57,99.58,97.48,26.98,-0.006142,0,-111.8,-211.8,-219.8,-120.4,-0.0151,0,-143.7,-264.4,-298.6,-207.7,-0.03139,0,-31.85,-54.2,-73.62,-56.02,-0.009406,0,-17.74,-34.4,-35,-18.62,-0.001768,0,-27.48,-54.56,-56.55,-30.89,-0.003201,0,-39.32,-79.05,-82.26,-45.13,-0.004895,0,27.52,59.65,37.44,-23.64,-0.006279,0,51.48,100.8,93.42,21.61,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
