effects at time horizon,,,,Risk profile: NEUTRAL,,,,,,Risk profile: UPSIDE sceptical,,,,,,Risk profile: DOWNSIDE CRITICAL,,,,,,Risk profile: COMBINED,,,,,,Risk profile: DMREU,,,,,,"Risk profile: WLU (low, 0.01)",,,,,,"Risk profile: WLU (moderate, 0.05)",,,,,,"Risk profile: WLU (high, 0.1)",,,,,,Risk profile: AMBIGUITY AVERSION,,,,,,Risk profile: AMBIGUITY BILATERAL,,,,,
project_id,near_term_xrisk,effect_id,recipient_type,neutral_t0,neutral_t1,neutral_t2,neutral_t3,neutral_t4,neutral_t5,upside_t0,upside_t1,upside_t2,upside_t3,upside_t4,upside_t5,downside_t0,downside_t1,downside_t2,downside_t3,downside_t4,downside_t5,combined_t0,combined_t1,combined_t2,combined_t3,combined_t4,combined_t5,dmreu_t0,dmreu_t1,dmreu_t2,dmreu_t3,dmreu_t4,dmreu_t5,wlu - low_t0,wlu - low_t1,wlu - low_t2,wlu - low_t3,wlu - low_t4,wlu - low_t5,wlu - moderate_t0,wlu - moderate_t1,wlu - moderate_t2,wlu - moderate_t3,wlu - moderate_t4,wlu - moderate_t5,wlu - high_t0,wlu - high_t1,wlu - high_t2,wlu - high_t3,wlu - high_t4,wlu - high_t5,ambiguity_t0,ambiguity_t1,ambiguity_t2,ambiguity_t3,ambiguity_t4,ambiguity_t5,ambiguity bilateral_t0,ambiguity bilateral_t1,ambiguity bilateral_t2,ambiguity bilateral_t3,ambiguity bilateral_t4,ambiguity bilateral_t5
sentinel_bio,FALSE,effect_human_lives_extinction,human_life_years,1280,1.248e+04,5.63e+04,6.268e+05,3.803e+06,6.626e+20,838.6,9696,4.462e+04,4.841e+05,2.912e+06,-7.577e+19,632.6,6197,2.808e+04,3.133e+05,1.902e+06,3.595e+20,-377.8,-1679,-6281,-8.441e+04,-5.332e+05,-3.873e+20,-26.15,534.2,2956,2.748e+04,1.588e+05,-1.073e+20,499.3,5255,2.366e+04,2.583e+05,1.544e+06,1.86e+20,320.1,3101,1.28e+04,1.164e+05,5.912e+05,-1.486e+20,117,653.8,702,-3.373e+04,-3.737e+05,-2.3e+20,284,4744,2.257e+04,2.36e+05,1.409e+06,-7.743e+19,459.2,6461,3.028e+04,3.215e+05,1.928e+06,2.632e+16
sentinel_bio_100m_1b,FALSE,effect_human_lives_sub_ext_100m_1b,human_life_years,8947,2.264e+04,2.409e+04,1.29e+04,1.734,0,8422,2.177e+04,2.241e+04,8718,-0.2565,0,4459,1.126e+04,1.197e+04,6420,0.7086,0,1419,5234,2612,-4405,-1.311,0,1607,5534,3447,-493,-0.3882,0,3630,9580,9463,4518,0.5485,0,2303,5926,5564,2460,0.3073,0,748.6,1574,1144,288.7,0.04576,0,6007,1.686e+04,1.5e+04,2224,-0.2622,0,7216,1.975e+04,1.834e+04,3968,0,0
sentinel_bio_10m_100m,FALSE,effect_human_lives_sub_ext_10m_100m,human_life_years,2264,5727,6094,3266,0.4352,0,2129,5506,5668,2210,-0.06597,0,1129,2855,3029,1628,0.1713,0,358,1326,655,-1114,-0.3372,0,405.9,1399,869.2,-124,-0.09989,0,928.9,2452,2422,1159,0.1379,0,635.2,1638,1545,690.4,0.08417,0,283.7,650.1,525.2,179.6,0.02411,0,1518,4262,3788,560.9,-0.06744,0,1824,4992,4635,1002,0,0
sentinel_bio_1b_8b,FALSE,effect_human_lives_sub_ext_1b_8b,human_life_years,1.016e+04,2.569e+04,2.733e+04,1.464e+04,2.206,0,9754,2.508e+04,2.607e+04,1.054e+04,-0.278,0,5068,1.28e+04,1.357e+04,7299,1.094,0,2110,7153,4351,-4458,-1.421,0,2100,7131,4563,-408.3,-0.42,0,4123,1.088e+04,1.073e+04,5130,0.7469,0,2617,6735,6306,2794,0.445,0,848,1783,1277,328.3,0.1197,0,7315,2.034e+04,1.842e+04,3046,-0.2842,0,8673,2.354e+04,2.221e+04,5033,0,0
longview_nuclear,FALSE,effect_human_lives_extinction,human_life_years,1103,1.12e+04,5.421e+04,6.266e+05,3.805e+06,6.087e+20,684.5,8542,4.275e+04,4.83e+05,2.909e+06,-8.967e+19,542.8,5549,2.694e+04,3.113e+05,1.889e+06,2.5e+20,-374.5,-1760,-6320,-8.59e+04,-5.466e+05,-4.583e+20,-39.31,372.5,2743,2.705e+04,1.553e+05,-1.289e+20,420.7,4663,2.274e+04,2.576e+05,1.54e+06,1.382e+20,268.4,2748,1.23e+04,1.155e+05,5.847e+05,-1.901e+20,96.78,581.4,662.9,-3.483e+04,-3.829e+05,-2.732e+20,197.9,4019,2.155e+04,2.363e+05,1.412e+06,-9.164e+19,348.5,5564,2.9e+04,3.223e+05,1.934e+06,2.655e+16
longview_nuclear_100m_1b,FALSE,effect_human_lives_sub_ext_100m_1b,human_life_years,7715,2.134e+04,2.542e+04,1.41e+04,2.62,0,7188,2.048e+04,2.374e+04,9834,-0.4407,0,3843,1.062e+04,1.264e+04,7014,0.8576,0,940.9,4746,3131,-4365,-2.253,0,1166,5022,3901,-413.4,-0.6675,0,3058,8969,1.007e+04,4962,0.7698,0,1930,5544,5931,2707,0.3839,0,623.6,1480,1224,322.6,-0.03104,0,4899,1.571e+04,1.619e+04,2877,-0.4505,0,5965,1.846e+04,1.97e+04,4792,0,0
longview_nuclear_10m_100m,FALSE,effect_human_lives_sub_ext_10m_100m,human_life_years,1952,5400,6430,3569,0.6651,0,1817,5180,6005,2495,-0.1194,0,972.3,2692,3197,1779,0.1874,0,236.6,1203,786.2,-1104,-0.6104,0,294.3,1270,984,-103.7,-0.181,0,782.5,2296,2575,1273,0.1904,0,532.6,1533,1646,759.7,0.1021,0,236.5,610.1,561.1,199,0.003961,0,1238,3971,4091,725.8,-0.1221,0,1508,4666,4979,1210,0,0
longview_nuclear_1b_8b,FALSE,effect_human_lives_sub_ext_1b_8b,human_life_years,8760,2.423e+04,2.884e+04,1.6e+04,3.452,0,8347,2.362e+04,2.758e+04,1.184e+04,-0.4395,0,4369,1.207e+04,1.433e+04,7973,1.694,0,1513,6543,5001,-4339,-2.246,0,1542,6481,5137,-295.7,-0.6629,0,3474,1.019e+04,1.142e+04,5634,1.161,0,2193,6301,6722,3075,0.6765,0,706.6,1677,1368,365.9,0.158,0,6002,1.897e+04,1.984e+04,3862,-0.4493,0,7207,2.203e+04,2.38e+04,6044,0,0
longview_ai,TRUE,effect_human_lives_extinction,human_life_years,4933,3.509e+04,1.449e+05,1.584e+06,9.601e+06,1.628e+21,3939,3.087e+04,1.292e+05,1.382e+06,8.3e+06,-1.16e+21,-9980,-7.061e+04,-2.919e+05,-3.199e+06,-1.94e+07,-3.012e+21,-1.416e+04,-9.339e+04,-3.824e+05,-4.265e+06,-2.599e+07,-5.929e+21,-3531,-2.08e+04,-8.333e+04,-9.523e+05,-5.834e+06,-1.733e+21,-1739,-1.301e+04,-5.544e+04,-6.369e+05,-3.99e+06,-1.002e+21,-3241,-2.562e+04,-1.132e+05,-1.37e+06,-8.877e+06,-2.486e+21,-4913,-3.939e+04,-1.743e+05,-2.097e+06,-1.346e+07,-2.828e+21,1085,1.466e+04,6.409e+04,6.242e+05,3.656e+06,-1.186e+21,3787,3.054e+04,1.279e+05,1.355e+06,8.134e+06,2.306e+17
longview_ai_100m_1b,TRUE,effect_human_lives_sub_ext_100m_1b,human_life_years,2470,4674,4842,2654,0.3382,0,2206,4284,4105,993.4,-0.264,0,-4970,-9417,-9764,-5370,-0.7178,0,-6583,-1.213e+04,-1.367e+04,-9379,-1.349,0,-1516,-2624,-3430,-2533,-0.4044,0,-855.8,-1660,-1684,-898.7,-0.1173,0,-1552,-3065,-3138,-1695,-0.2044,0,-2350,-4668,-4755,-2544,-0.3005,0,1022,2274,1260,-1177,-0.2699,0,2169,4266,3889,846.6,0,0
