scenario,project_id,base_alloc,new_alloc,alloc_delta,rank_delta
all effects far,ea_awf,12.78,13.04,0.26,0
all effects far,givewell,13.05,16.59,3.54,1
all effects far,leaf,4.94,0.66,-4.27,-1
all effects far,longview_ai,23.32,22.72,-0.60,0
all effects far,longview_nuclear,4.28,4.53,0.25,1
all effects far,navigation_fund_cagefree,15.64,15.64,0.00,-1
all effects far,navigation_fund_general,18.06,18.41,0.35,0
all effects far,sentinel_bio,7.94,8.41,0.48,0
all effects near,ea_awf,12.78,12.78,0.00,0
all effects near,givewell,13.05,13.05,0.00,0
all effects near,leaf,4.94,4.94,0.00,0
all effects near,longview_ai,23.32,23.32,0.00,0
all effects near,longview_nuclear,4.28,4.28,0.00,0
all effects near,navigation_fund_cagefree,15.64,15.64,0.00,0
all effects near,navigation_fund_general,18.06,18.06,0.00,0
all effects near,sentinel_bio,7.94,7.94,0.00,0
health effects near,ea_awf,12.78,12.94,0.16,1
health effects near,givewell,13.05,12.58,-0.47,-1
health effects near,leaf,4.94,4.15,-0.79,-1
health effects near,longview_ai,23.32,24.12,0.80,0
health effects near,longview_nuclear,4.28,4.28,0.00,1
health effects near,navigation_fund_cagefree,15.64,15.64,0.00,0
health effects near,navigation_fund_general,18.06,18.36,0.30,0
health effects near,sentinel_bio,7.94,7.94,0.00,0
