worldview_idx,worldview_name,risk_profile,multiplier,sensitivity_index,diff_ghd,diff_gcr,diff_aw
0,Total Utilitarian,0,baseline,0.0000,0.0000,0.0000,0.0000
0,Total Utilitarian,0,0.1,0.0000,0.0000,0.0000,0.0000
0,Total Utilitarian,0,0.2,0.0000,0.0000,0.0000,0.0000
0,Total Utilitarian,0,0.5,0.0000,0.0000,0.0000,0.0000
0,Total Utilitarian,0,sentience_only,0.0000,0.0000,0.0000,0.0000
0,Total Utilitarian,0,low_animals,0.0000,0.0000,0.0000,0.0000
0,Total Utilitarian,0,moderate_high,0.0000,0.0000,0.0000,0.0000
0,Total Utilitarian,0,moderate,0.0000,0.0000,0.0000,0.0000
1,Total Utilitarian,7,baseline,0.0000,0.0000,0.0000,0.0000
1,Total Utilitarian,7,0.1,42.0000,41.0000,1.0000,-42.0000
1,Total Utilitarian,7,0.2,24.0000,23.0000,1.0000,-24.0000
1,Total Utilitarian,7,0.5,0.0000,0.0000,0.0000,0.0000
1,Total Utilitarian,7,sentience_only,0.0000,0.0000,0.0000,0.0000
1,Total Utilitarian,7,low_animals,75.0000,73.0000,2.0000,-75.0000
1,Total Utilitarian,7,moderate_high,0.0000,0.0000,0.0000,0.0000
1,Total Utilitarian,7,moderate,35.0000,34.0000,1.0000,-35.0000
2,Total Utilitarian,2,baseline,0.0000,0.0000,0.0000,0.0000
2,Total Utilitarian,2,0.1,60.0000,60.0000,0.0000,-60.0000
2,Total Utilitarian,2,0.2,42.0000,42.0000,0.0000,-42.0000
2,Total Utilitarian,2,0.5,20.0000,20.0000,0.0000,-20.0000
2,Total Utilitarian,2,sentience_only,0.0000,0.0000,0.0000,0.0000
2,Total Utilitarian,2,low_animals,75.0000,75.0000,0.0000,-75.0000
2,Total Utilitarian,2,moderate_high,0.0000,0.0000,0.0000,0.0000
2,Total Utilitarian,2,moderate,36.0000,36.0000,0.0000,-36.0000
3,Total Utilitarian,6,baseline,0.0000,0.0000,0.0000,0.0000
3,Total Utilitarian,6,0.1,51.0000,51.0000,0.0000,-51.0000
3,Total Utilitarian,6,0.2,34.0000,34.0000,0.0000,-34.0000
3,Total Utilitarian,6,0.5,12.0000,12.0000,0.0000,-12.0000
3,Total Utilitarian,6,sentience_only,0.0000,0.0000,0.0000,0.0000
3,Total Utilitarian,6,low_animals,75.0000,75.0000,0.0000,-75.0000
3,Total Utilitarian,6,moderate_high,0.0000,0.0000,0.0000,0.0000
3,Total Utilitarian,6,moderate,27.0000,27.0000,0.0000,-27.0000
4,Total Utilitarian,0,baseline,0.0000,0.0000,0.0000,0.0000
4,Total Utilitarian,0,0.1,21.0000,6.0000,15.0000,-21.0000
4,Total Utilitarian,0,0.2,5.0000,0.0000,5.0000,-5.0000
