multiplier,worldview_name,worldview_idx,eff_mult_chickens_birds,eff_mult_fish,eff_mult_shrimp,eff_mult_non_shrimp_invertebrates,eff_mult_mammals
0.1,Total Utilitarian,2,0.100000,0.100000,0.100000,0.100000,0.100000
0.1,Total Utilitarian,3,0.100000,0.100000,0.100000,0.100000,0.100000
0.1,Total Utilitarian,1,0.100000,0.100000,0.100000,0.100000,0.100000
0.1,Contractualism,9,0.100000,0.100000,0.100000,0.100000,0.100000
0.1,Consequentialism (Non-Utilitarian),8,0.100000,0.100000,0.100000,0.100000,0.100000
0.1,Total Utilitarian,4,0.100000,0.100000,0.100000,0.100000,0.100000
0.1,Consequentialism (Non-Utilitarian),7,0.100000,0.100000,0.100000,0.100000,0.100000
0.1,Total Utilitarian,0,0.100000,0.100000,0.100000,0.100000,0.100000
0.1,Consequentialism (Non-Utilitarian),5,0.100000,0.100000,0.100000,0.100000,0.100000
0.1,Consequentialism (Non-Utilitarian),6,0.100000,0.100000,0.100000,0.100000,0.100000
0.1,Contractualism,10,0.100000,0.100000,0.100000,0.100000,0.100000
0.1,Contractualism,11,0.100000,0.100000,0.100000,0.100000,0.100000
0.1,Kantianism,12,0.100000,0.100000,0.100000,0.100000,0.100000
0.1,Custom,13,0.100000,0.100000,0.100000,0.100000,0.100000
0.2,Total Utilitarian,2,0.200000,0.200000,0.200000,0.200000,0.200000
0.2,Total Utilitarian,3,0.200000,0.200000,0.200000,0.200000,0.200000
0.2,Consequentialism (Non-Utilitarian),8,0.200000,0.200000,0.200000,0.200000,0.200000
0.2,Total Utilitarian,1,0.200000,0.200000,0.200000,0.200000,0.200000
0.2,Contractualism,9,0.200000,0.200000,0.200000,0.200000,0.200000
0.2,Consequentialism (Non-Utilitarian),7,0.200000,0.200000,0.200000,0.200000,0.200000
0.2,Total Utilitarian,4,0.200000,0.200000,0.200000,0.200000,0.200000
0.2,Total Utilitarian,0,0.200000,0.200000,0.200000,0.200000,0.200000
0.2,Consequentialism (Non-Utilitarian),5,0.200000,0.200000,0.200000,0.200000,0.200000
0.2,Consequentialism (Non-Utilitarian),6,0.200000,0.200000,0.200000,0.200000,0.200000
0.2,Contractualism,10,0.200000,0.200000,0.200000,0.200000,0.200000
0.2,Contractualism,11,0.200000,0.200000,0.200000,0.200000,0.200000
0.2,Kantianism,12,0.200000,0.200000,0.200000,0.200000,0.200000
0.2,Custom,13,0.200000,0.200000,0.200000,0.200000,0.200000
0.5,Total Utilitarian,2,0.500000,0.500000,0.500000,0.500000,0.500000
0.5,Consequentialism (Non-Utilitarian),8,0.500000,0.500000,0.500000,0.500000,0.500000
0.5,Total Utilitarian,3,0.500000,0.500000,0.500000,0.500000,0.500000
0.5,Consequentialism (Non-Utilitarian),7,0.500000,0.500000,0.500000,0.500000,0.500000
0.5,Contractualism,9,0.500000,0.500000,0.500000,0.500000,0.500000
0.5,Total Utilitarian,0,0.500000,0.500000,0.500000,0.500000,0.500000
0.5,Total Utilitarian,1,0.500000,0.500000,0.500000,0.500000,0.500000
0.5,Total Utilitarian,4,0.500000,0.500000,0.500000,0.500000,0.500000
0.5,Consequentialism (Non-Utilitarian),5,0.500000,0.500000,0.500000,0.500000,0.500000
0.5,Consequentialism (Non-Utilitarian),6,0.500000,0.500000,0.500000,0.500000,0.500000
0.5,Contractualism,10,0.500000,0.500000,0.500000,0.500000,0.500000
0.5,Contractualism,11,0.500000,0.500000,0.500000,0.500000,0.500000
0.5,Kantianism,12,0.500000,0.500000,0.500000,0.500000,0.500000
0.5,Custom,13,0.500000,0.500000,0.500000,0.500000,0.500000
1.0,Total Utilitarian,0,1.000000,1.000000,1.000000,1.000000,1.000000
1.0,Total Utilitarian,1,1.000000,1.000000,1.000000,1.000000,1.000000
1.0,Total Utilitarian,2,1.000000,1.000000,1.000000,1.000000,1.000000
1.0,Total Utilitarian,3,1.000000,1.000000,1.000000,1.000000,1.000000
1.0,Total Utilitarian,4,1.000000,1.000000,1.000000,1.000000,1.000000
1.0,Consequentialism (Non-Utilitarian),5,1.000000,1.000000,1.000000,1.000000,1.000000
1.0,Consequentialism (Non-Utilitarian),6,1.000000,1.000000,1.000000,1.000000,1.000000
1.0,Consequentialism (Non-Utilitarian),7,1.000000,1.000000,1.000000,1.000000,1.000000
1.0,Consequentialism (Non-Utilitarian),8,1.000000,1.000000,1.000000,1.000000,1.000000
1.0,Contractualism,9,1.000000,1.000000,1.000000,1.000000,1.000000
1.0,Contractualism,10,1.000000,1.000000,1.000000,1.000000,1.000000
1.0,Contractualism,11,1.000000,1.000000,1.000000,1.000000,1.000000
1.0,Kantianism,12,1.000000,1.000000,1.000000,1.000000,1.000000
1.0,Custom,13,1.000000,1.000000,1.000000,1.000000,1.000000
2,Consequentialism (Non-Utilitarian),8,2.000000,2.000000,2.000000,2.000000,2.000000
2,Consequentialism (Non-Utilitarian),7,2.000000,2.000000,2.000000,2.000000,2.000000
2,Contractualism,11,2.000000,2.000000,2.000000,2.000000,2.000000
2,Total Utilitarian,0,1.875000,2.000000,2.000000,2.000000,2.000000
2,Total Utilitarian,1,1.000000,1.000000,1.000000,1.000000,1.000000
2,Total Utilitarian,2,1.875000,2.000000,2.000000,2.000000,2.000000
2,Total Utilitarian,3,1.875000,2.000000,2.000000,2.000000,2.000000
2,Total Utilitarian,4,1.000000,1.000000,1.000000,1.000000,1.000000
2,Consequentialism (Non-Utilitarian),5,2.000000,2.000000,2.000000,2.000000,2.000000
2,Consequentialism (Non-Utilitarian),6,2.000000,2.000000,2.000000,2.000000,2.000000
2,Contractualism,9,1.875000,2.000000,2.000000,2.000000,2.000000
2,Contractualism,10,1.875000,2.000000,2.000000,2.000000,2.000000
2,Kantianism,12,2.000000,2.000000,2.000000,2.000000,2.000000
2,Custom,13,2.000000,2.000000,2.000000,2.000000,2.000000
5,Consequentialism (Non-Utilitarian),8,5.000000,5.000000,5.000000,5.000000,5.000000
5,Consequentialism (Non-Utilitarian),7,5.000000,5.000000,5.000000,5.000000,5.000000
5,Contractualism,11,5.000000,5.000000,5.000000,5.000000,5.000000
5,Consequentialism (Non-Utilitarian),6,5.000000,5.000000,5.000000,5.000000,5.000000
5,Total Utilitarian,0,1.875000,2.500000,3.125000,2.857143,2.045455
5,Total Utilitarian,1,1.000000,1.000000,1.000000,1.000000,1.000000
5,Total Utilitarian,2,1.875000,2.500000,3.125000,2.857143,2.045455
5,Total Utilitarian,3,1.875000,2.500000,3.125000,2.857143,2.045455
5,Total Utilitarian,4,1.000000,1.000000,1.000000,1.000000,1.000000
5,Consequentialism (Non-Utilitarian),5,5.000000,5.000000,5.000000,5.000000,5.000000
5,Contractualism,9,1.875000,2.500000,3.125000,2.857143,2.045455
5,Contractualism,10,1.875000,2.500000,3.125000,2.857143,2.045455
5,Kantianism,12,5.000000,5.000000,5.000000,5.000000,5.000000
5,Custom,13,5.000000,5.000000,5.000000,5.000000,5.000000
10,Consequentialism (Non-Utilitarian),8,7.500000,10.000000,10.000000,10.000000,8.181818
10,Consequentialism (Non-Utilitarian),7,7.500000,10.000000,10.000000,10.000000,8.181818
10,Contractualism,11,10.000000,10.000000,10.000000,10.000000,10.000000
10,Consequentialism (Non-Utilitarian),6,10.000000,10.000000,10.000000,10.000000,10.000000
10,Total Utilitarian,0,1.875000,2.500000,3.125000,2.857143,2.045455
10,Total Utilitarian,1,1.000000,1.000000,1.000000,1.000000,1.000000
10,Total Utilitarian,2,1.875000,2.500000,3.125000,2.857143,2.045455
10,Total Utilitarian,3,1.875000,2.500000,3.125000,2.857143,2.045455
10,Total Utilitarian,4,1.000000,1.000000,1.000000,1.000000,1.000000
10,Consequentialism (Non-Utilitarian),5,7.500000,10.000000,10.000000,10.000000,8.181818
10,Contractualism,9,1.875000,2.500000,3.125000,2.857143,2.045455
10,Contractualism,10,1.875000,2.500000,3.125000,2.857143,2.045455
10,Kantianism,12,10.000000,10.000000,10.000000,10.000000,10.000000
10,Custom,13,10.000000,10.000000,10.000000,10.000000,10.000000
100,Contractualism,11,100.000000,100.000000,100.000000,100.000000,100.000000
100,Consequentialism (Non-Utilitarian),6,75.000000,60.000000,100.000000,100.000000,18.000000
100,Consequentialism (Non-Utilitarian),8,7.500000,10.000000,12.500000,10.000000,8.181818
100,Consequentialism (Non-Utilitarian),7,7.500000,10.000000,12.500000,10.000000,8.181818
100,Kantianism,12,100.000000,100.000000,100.000000,100.000000,100.000000
100,Custom,13,100.000000,100.000000,100.000000,100.000000,100.000000
100,Total Utilitarian,0,1.875000,2.500000,3.125000,2.857143,2.045455
100,Total Utilitarian,1,1.000000,1.000000,1.000000,1.000000,1.000000
100,Total Utilitarian,2,1.875000,2.500000,3.125000,2.857143,2.045455
100,Total Utilitarian,3,1.875000,2.500000,3.125000,2.857143,2.045455
100,Total Utilitarian,4,1.000000,1.000000,1.000000,1.000000,1.000000
100,Consequentialism (Non-Utilitarian),5,7.500000,10.000000,12.500000,10.000000,8.181818
100,Contractualism,9,1.875000,2.500000,3.125000,2.857143,2.045455
100,Contractualism,10,1.875000,2.500000,3.125000,2.857143,2.045455
