multiplier,recipient_fund,weighted_allocation_pct,allocation_diff_pp,nashBargaining,credenceWeighted,mec,met,splitCycle,borda
1.0,ea_awf,12.7750,0.0000,10.5000,10.5000,17.0000,17.0000,17.0000,17.0000
1.0,givewell,12.9530,0.0000,15.3000,15.3000,0.0000,10.0000,20.1000,20.0000
1.0,leaf,4.9380,0.0000,6.2000,6.2000,1.0000,2.0000,5.6000,5.5000
1.0,longview_ai,23.2175,0.0000,34.9500,34.9500,0.0000,5.0000,0.0000,0.0000
1.0,longview_nuclear,3.8230,0.0000,2.1000,2.1000,15.0000,2.0000,0.1000,0.0000
1.0,navigation_fund_cagefree,15.6425,0.0000,15.4500,15.4500,16.0000,16.0000,16.0000,16.0000
1.0,navigation_fund_general,18.0580,0.0000,7.6000,7.6000,32.0000,42.0000,41.1000,41.5000
1.0,sentinel_bio,8.5930,0.0000,7.9000,7.9000,19.0000,6.0000,0.1000,0.0000
0.1,ea_awf,5.4425,-7.3325,5.8500,5.8500,2.0000,10.0000,3.5000,3.0000
0.1,givewell,33.8917,20.9387,23.7000,23.7000,50.0000,33.0000,76.8333,77.0000
0.1,leaf,6.2467,1.3087,6.8000,6.8000,6.0000,2.0000,7.3333,7.0000
0.1,longview_ai,23.3500,0.1325,35.0000,35.0000,0.0000,6.0000,0.0000,0.0000
0.1,longview_nuclear,4.3150,0.4920,2.1000,2.1000,15.0000,7.0000,0.0000,0.0000
0.1,navigation_fund_cagefree,13.7092,-1.9333,15.0500,15.0500,8.0000,16.0000,11.3333,11.0000
0.1,navigation_fund_general,3.1400,-14.9180,3.6000,3.6000,0.0000,7.0000,1.0000,1.0000
0.1,sentinel_bio,9.9050,1.3120,7.9000,7.9000,19.0000,19.0000,0.0000,1.0000
100,ea_awf,16.6750,3.9000,16.5000,16.5000,17.0000,17.0000,17.0000,17.0000
100,givewell,7.1995,-5.7535,5.5500,5.5500,0.0000,17.0000,19.1000,18.2000
100,leaf,2.5020,-2.4360,2.6000,2.6000,0.0000,2.0000,6.1000,6.2000
100,longview_ai,18.1865,-5.0310,27.0500,27.0500,0.0000,6.0000,0.0000,0.2000
100,longview_nuclear,3.6270,-0.1960,2.1000,2.1000,15.0000,0.0000,0.1000,0.2000
100,navigation_fund_cagefree,15.8375,0.1950,15.7500,15.7500,16.0000,16.0000,16.0000,16.0000
100,navigation_fund_general,27.9755,9.9175,22.5500,22.5500,33.0000,42.0000,41.6000,42.0000
100,sentinel_bio,7.9970,-0.5960,7.9000,7.9000,19.0000,0.0000,0.1000,0.2000
10,ea_awf,16.1875,3.4125,15.7500,15.7500,17.0000,17.0000,17.0000,17.0000
10,givewell,11.2200,-1.7330,12.4000,12.4000,0.0000,17.0000,13.5000,19.0000
10,leaf,3.8875,-1.0505,4.7500,4.7500,0.0000,2.0000,6.0000,6.0000
10,longview_ai,20.5075,-2.7100,29.9500,29.9500,0.0000,6.0000,5.5000,0.0000
10,longview_nuclear,3.6150,-0.2080,2.1000,2.1000,15.0000,0.0000,0.0000,0.0000
10,navigation_fund_cagefree,15.7075,0.0650,15.5500,15.5500,16.0000,16.0000,16.0000,16.0000
10,navigation_fund_general,20.8900,2.8320,11.6000,11.6000,33.0000,42.0000,42.0000,42.0000
10,sentinel_bio,7.9850,-0.6080,7.9000,7.9000,19.0000,0.0000,0.0000,0.0000
5,ea_awf,15.4400,2.6650,14.6000,14.6000,17.0000,17.0000,17.0000,17.0000
5,givewell,12.5233,-0.4297,14.4000,14.4000,0.0000,17.0000,13.5000,19.1667
5,leaf,3.9458,-0.9922,4.8500,4.8500,0.0000,2.0000,6.0000,5.6667
5,longview_ai,20.5433,-2.6742,30.0000,30.0000,0.0000,6.0000,5.5000,0.1667
5,longview_nuclear,3.6183,-0.2047,2.1000,2.1000,15.0000,0.0000,0.0000,0.1667
5,navigation_fund_cagefree,15.7075,0.0650,15.5500,15.5500,16.0000,16.0000,16.0000,16.0000
5,navigation_fund_general,20.2333,2.1753,10.6000,10.6000,33.0000,42.0000,42.0000,41.6667
5,sentinel_bio,7.9883,-0.6047,7.9000,7.9000,19.0000,0.0000,0.0000,0.1667
2,ea_awf,13.5875,0.8125,11.7500,11.7500,17.0000,17.0000,17.0000,17.0000
2,givewell,13.1755,0.2225,15.1500,15.1500,0.0000,14.0000,19.1000,20.0000
2,leaf,3.9505,-0.9875,4.8500,4.8500,0.0000,2.0000,6.1000,5.5000
2,longview_ai,22.8625,-0.3550,34.2500,34.2500,0.0000,6.0000,0.0000,0.0000
2,longview_nuclear,3.6230,-0.2000,2.1000,2.1000,15.0000,0.0000,0.1000,0.0000
2,navigation_fund_cagefree,15.6425,-0.0000,15.4500,15.4500,16.0000,16.0000,16.0000,16.0000
2,navigation_fund_general,18.8655,0.8075,8.5500,8.5500,33.0000,42.0000,41.6000,41.5000
2,sentinel_bio,8.2930,-0.3000,7.9000,7.9000,19.0000,3.0000,0.1000,0.0000
