worldview_idx,worldview_name,risk_profile,multiplier,sensitivity_index,si_scaled_pp_per_oom,diff_ea_awf,diff_givewell,diff_leaf,diff_longview_ai,diff_longview_nuclear,diff_navigation_fund_cagefree,diff_navigation_fund_general,diff_sentinel_bio,ghd,gcr,aw,ca_sensitivity_index,ca_si_scaled_pp_per_oom,diff_ghd,diff_gcr,diff_aw,eff_mult_chickens_birds,eff_mult_fish,eff_mult_shrimp,eff_mult_non_shrimp_invertebrates,eff_mult_mammals
0,Total Utilitarian,0,1.0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.000000,1.000000,1.000000,1.000000,1.000000
0,Total Utilitarian,0,0.1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.100000,0.100000,0.100000,0.100000,0.100000
0,Total Utilitarian,0,100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.875000,2.500000,3.125000,2.857143,2.045455
0,Total Utilitarian,0,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.875000,2.500000,3.125000,2.857143,2.045455
0,Total Utilitarian,0,5,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.875000,2.500000,3.125000,2.857143,2.045455
0,Total Utilitarian,0,2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.875000,2.000000,2.000000,2.000000,2.000000
1,Total Utilitarian,7,1.0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,19.0000,6.0000,75.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.000000,1.000000,1.000000,1.000000,1.000000
1,Total Utilitarian,7,0.1,42.0000,42.0000,-7.0000,40.0000,1.0000,1.0000,0.0000,0.0000,-35.0000,0.0000,60.0000,7.0000,33.0000,42.0000,42.0000,41.0000,1.0000,-42.0000,0.100000,0.100000,0.100000,0.100000,0.100000
1,Total Utilitarian,7,100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,19.0000,6.0000,75.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.000000,1.000000,1.000000,1.000000,1.000000
1,Total Utilitarian,7,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,19.0000,6.0000,75.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.000000,1.000000,1.000000,1.000000,1.000000
1,Total Utilitarian,7,5,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,19.0000,6.0000,75.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.000000,1.000000,1.000000,1.000000,1.000000
1,Total Utilitarian,7,2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,19.0000,6.0000,75.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.000000,1.000000,1.000000,1.000000,1.000000
2,Total Utilitarian,2,1.0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,25.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.000000,1.000000,1.000000,1.000000,1.000000
2,Total Utilitarian,2,0.1,60.0000,60.0000,-14.0000,59.0000,1.0000,0.0000,0.0000,-5.0000,-41.0000,0.0000,85.0000,0.0000,15.0000,60.0000,60.0000,60.0000,0.0000,-60.0000,0.100000,0.100000,0.100000,0.100000,0.100000
2,Total Utilitarian,2,100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,25.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.875000,2.500000,3.125000,2.857143,2.045455
2,Total Utilitarian,2,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,25.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.875000,2.500000,3.125000,2.857143,2.045455
