method,step,increment_M,cumulative_M,winner,ea_awf_M,ea_awf_cumulative_M,givewell_M,givewell_cumulative_M,leaf_M,leaf_cumulative_M,longview_ai_M,longview_ai_cumulative_M,longview_nuclear_M,longview_nuclear_cumulative_M,navigation_fund_cagefree_M,navigation_fund_cagefree_cumulative_M,navigation_fund_general_M,navigation_fund_general_cumulative_M,sentinel_bio_M,sentinel_bio_cumulative_M
nashBargaining,1,2.0000,2.00,leaf+longview_ai+navigation_fund_cagefree+sentinel_bio,0,0.0000,0,0.0000,0.4000,0.4000,0.6000,0.6000,0,0.0000,0.8000,0.8000,0,0.0000,0.2000,0.2000
nashBargaining,2,2.0000,4.00,leaf+longview_ai+navigation_fund_cagefree+sentinel_bio,0,0.0000,0,0.0000,0.4000,0.8000,0.7000,1.3000,0,0.0000,0.7000,1.5000,0,0.0000,0.2000,0.4000
nashBargaining,3,2.0000,6.00,givewell+leaf+longview_ai+navigation_fund_cagefree+sentinel_bio,0,0.0000,0.2000,0.2000,0.2000,1.0000,0.7000,2.0000,0,0.0000,0.7000,2.2000,0,0.0000,0.2000,0.6000
nashBargaining,4,2.0000,8.00,givewell+leaf+longview_ai+navigation_fund_cagefree+sentinel_bio,0,0.0000,0.2000,0.4000,0.2000,1.2000,0.7000,2.7000,0,0.0000,0.7000,2.9000,0,0.0000,0.2000,0.8000
nashBargaining,5,2.0000,10.00,givewell+leaf+longview_ai+navigation_fund_cagefree+sentinel_bio,0,0.0000,0.2000,0.6000,0.2000,1.4000,0.7000,3.4000,0,0.0000,0.7000,3.6000,0,0.0000,0.2000,1.0000
nashBargaining,6,2.0000,12.00,givewell+leaf+longview_ai+navigation_fund_cagefree+sentinel_bio,0,0.0000,0.2000,0.8000,0.2000,1.6000,0.7000,4.1000,0,0.0000,0.7000,4.3000,0,0.0000,0.2000,1.2000
nashBargaining,7,2.0000,14.00,givewell+leaf+longview_ai+navigation_fund_cagefree+sentinel_bio,0,0.0000,0.2000,1.0000,0.2000,1.8000,0.7000,4.8000,0,0.0000,0.7000,5.0000,0,0.0000,0.2000,1.4000
nashBargaining,8,2.0000,16.00,givewell+leaf+longview_ai+navigation_fund_cagefree+sentinel_bio,0,0.0000,0.2000,1.2000,0.2000,2.0000,0.7000,5.5000,0,0.0000,0.7000,5.7000,0,0.0000,0.2000,1.6000
nashBargaining,9,2.0000,18.00,givewell+leaf+longview_ai+navigation_fund_cagefree+sentinel_bio,0,0.0000,0.2000,1.4000,0.2000,2.2000,0.7000,6.2000,0,0.0000,0.7000,6.4000,0,0.0000,0.2000,1.8000
nashBargaining,10,2.0000,20.00,givewell+leaf+longview_ai+navigation_fund_cagefree+sentinel_bio,0,0.0000,0.2000,1.6000,0.2000,2.4000,0.7000,6.9000,0,0.0000,0.7000,7.1000,0,0.0000,0.2000,2.0000
