test,sensitivity_index,most_affected_cause,most_affected_delta,ghd_base,ghd_new,ghd_delta,gcr_base,gcr_new,gcr_delta,aw_base,aw_new,aw_delta
neutral_to_combined,90.1525,gcr,-90.15,0.00,35.32,35.32,90.15,0.00,-90.15,9.85,64.68,54.84
neutral_to_wlu_5,90.1485,gcr,-90.15,0.00,37.50,37.50,90.15,0.00,-90.15,9.85,62.49,52.65
neutral_to_wlu_10,90.1485,gcr,-90.15,0.00,37.76,37.76,90.15,0.00,-90.15,9.85,62.23,52.39
neutral_to_cont_upside_skep,80.6950,gcr,-80.69,0.00,28.76,28.76,90.15,9.46,-80.69,9.85,61.79,51.94
neutral_to_downside_critical,56.1525,gcr,-56.15,0.00,16.43,16.43,90.15,34.00,-56.15,9.85,49.57,39.72
specialblend_to_neutral,54.8190,gcr,54.82,18.19,0.00,-18.19,35.33,90.15,54.82,46.48,9.85,-36.63
specialblend_to_combined,35.3335,gcr,-35.33,18.19,35.32,17.13,35.33,0.00,-35.33,46.48,64.68,18.21
specialblend_to_wlu_5,35.3295,gcr,-35.33,18.19,37.50,19.31,35.33,0.00,-35.33,46.48,62.49,16.02
specialblend_to_wlu_10,35.3295,gcr,-35.33,18.19,37.76,19.57,35.33,0.00,-35.33,46.48,62.23,15.76
specialblend_to_cont_upside_skep,25.8760,gcr,-25.88,18.19,28.76,10.57,35.33,9.46,-25.88,46.48,61.79,15.31
specialblend_to_downside_critical,3.0907,aw,3.09,18.19,16.43,-1.76,35.33,34.00,-1.33,46.48,49.57,3.09
