test,version,method,ea_awf,givewell,leaf,longview_ai,longview_nuclear,navigation_fund_cagefree,navigation_fund_general,sentinel_bio
baseline,baseline,nashBargaining,10.50,15.30,6.20,34.95,2.80,15.45,7.60,7.20
baseline,baseline,credenceWeighted,10.50,15.30,6.20,34.95,2.80,15.45,7.60,7.20
baseline,baseline,mec,17.00,0.00,1.00,0.00,15.00,16.00,32.00,19.00
baseline,baseline,met,17.00,11.00,2.00,6.00,2.00,16.00,42.00,4.00
baseline,baseline,splitCycle,17.00,20.10,5.60,0.00,0.10,16.00,41.10,0.10
baseline,baseline,borda,17.00,20.00,5.50,0.00,0.00,16.00,41.50,0.00
baseline,baseline,lexicographicMaximin,0.00,96.00,4.00,0.00,0.00,0.00,0.00,0.00
specialblend_to_neutral,baseline,nashBargaining,10.50,15.30,6.20,34.95,2.80,15.45,7.60,7.20
specialblend_to_neutral,baseline,credenceWeighted,10.50,15.30,6.20,34.95,2.80,15.45,7.60,7.20
specialblend_to_neutral,baseline,mec,17.00,0.00,1.00,0.00,15.00,16.00,32.00,19.00
specialblend_to_neutral,baseline,met,17.00,11.00,2.00,6.00,2.00,16.00,42.00,4.00
specialblend_to_neutral,baseline,splitCycle,17.00,20.10,5.60,0.00,0.10,16.00,41.10,0.10
specialblend_to_neutral,baseline,borda,17.00,20.00,5.50,0.00,0.00,16.00,41.50,0.00
specialblend_to_neutral,baseline,lexicographicMaximin,0.00,96.00,4.00,0.00,0.00,0.00,0.00,0.00
specialblend_to_neutral,new_version,nashBargaining,3.75,0.00,0.00,83.30,0.65,10.05,1.35,0.90
specialblend_to_neutral,new_version,credenceWeighted,3.75,0.00,0.00,83.30,0.65,10.05,1.35,0.90
specialblend_to_neutral,new_version,mec,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00
specialblend_to_neutral,new_version,met,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00
specialblend_to_neutral,new_version,splitCycle,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00
specialblend_to_neutral,new_version,borda,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00
specialblend_to_neutral,new_version,lexicographicMaximin,0.00,54.00,4.00,42.00,0.00,0.00,0.00,0.00
specialblend_to_wlu_5,baseline,nashBargaining,10.50,15.30,6.20,34.95,2.80,15.45,7.60,7.20
specialblend_to_wlu_5,baseline,credenceWeighted,10.50,15.30,6.20,34.95,2.80,15.45,7.60,7.20
specialblend_to_wlu_5,baseline,mec,17.00,0.00,1.00,0.00,15.00,16.00,32.00,19.00
specialblend_to_wlu_5,baseline,met,17.00,11.00,2.00,6.00,2.00,16.00,42.00,4.00
specialblend_to_wlu_5,baseline,splitCycle,17.00,20.10,5.60,0.00,0.10,16.00,41.10,0.10
specialblend_to_wlu_5,baseline,borda,17.00,20.00,5.50,0.00,0.00,16.00,41.50,0.00
specialblend_to_wlu_5,baseline,lexicographicMaximin,0.00,96.00,4.00,0.00,0.00,0.00,0.00,0.00
specialblend_to_wlu_5,new_version,nashBargaining,16.76,26.61,8.26,0.00,0.00,16.00,32.36,0.00
specialblend_to_wlu_5,new_version,credenceWeighted,16.76,26.61,8.26,0.00,0.00,16.00,32.36,0.00
specialblend_to_wlu_5,new_version,mec,17.00,25.00,6.00,0.00,0.00,16.00,36.00,0.00
specialblend_to_wlu_5,new_version,met,7.00,65.00,7.00,0.00,0.00,16.00,5.00,0.00
specialblend_to_wlu_5,new_version,splitCycle,17.00,20.00,5.00,0.00,0.00,16.00,42.00,0.00
specialblend_to_wlu_5,new_version,borda,17.00,43.10,6.10,0.00,0.10,16.00,17.60,0.10
specialblend_to_wlu_5,new_version,lexicographicMaximin,0.00,96.00,4.00,0.00,0.00,0.00,0.00,0.00
specialblend_to_wlu_10,baseline,nashBargaining,10.50,15.30,6.20,34.95,2.80,15.45,7.60,7.20
specialblend_to_wlu_10,baseline,credenceWeighted,10.50,15.30,6.20,34.95,2.80,15.45,7.60,7.20
specialblend_to_wlu_10,baseline,mec,17.00,0.00,1.00,0.00,15.00,16.00,32.00,19.00
specialblend_to_wlu_10,baseline,met,17.00,11.00,2.00,6.00,2.00,16.00,42.00,4.00
specialblend_to_wlu_10,baseline,splitCycle,17.00,20.10,5.60,0.00,0.10,16.00,41.10,0.10
specialblend_to_wlu_10,baseline,borda,17.00,20.00,5.50,0.00,0.00,16.00,41.50,0.00
specialblend_to_wlu_10,baseline,lexicographicMaximin,0.00,96.00,4.00,0.00,0.00,0.00,0.00,0.00
specialblend_to_wlu_10,new_version,nashBargaining,16.99,27.39,7.69,0.00,0.00,16.00,31.94,0.00
specialblend_to_wlu_10,new_version,credenceWeighted,16.99,27.39,7.69,0.00,0.00,16.00,31.94,0.00
specialblend_to_wlu_10,new_version,mec,17.00,28.00,5.00,0.00,0.00,16.00,34.00,0.00
specialblend_to_wlu_10,new_version,met,6.00,70.00,4.00,0.00,0.00,16.00,4.00,0.00
specialblend_to_wlu_10,new_version,splitCycle,17.00,21.00,5.00,0.00,0.00,16.00,41.00,0.00
specialblend_to_wlu_10,new_version,borda,17.00,21.10,5.60,0.00,0.10,16.00,40.10,0.10
specialblend_to_wlu_10,new_version,lexicographicMaximin,0.00,97.00,3.00,0.00,0.00,0.00,0.00,0.00
specialblend_to_cont_upside_skep,baseline,nashBargaining,10.50,15.30,6.20,34.95,2.80,15.45,7.60,7.20
specialblend_to_cont_upside_skep,baseline,credenceWeighted,10.50,15.30,6.20,34.95,2.80,15.45,7.60,7.20
specialblend_to_cont_upside_skep,baseline,mec,17.00,0.00,1.00,0.00,15.00,16.00,32.00,19.00
specialblend_to_cont_upside_skep,baseline,met,17.00,11.00,2.00,6.00,2.00,16.00,42.00,4.00
specialblend_to_cont_upside_skep,baseline,splitCycle,17.00,20.10,5.60,0.00,0.10,16.00,41.10,0.10
specialblend_to_cont_upside_skep,baseline,borda,17.00,20.00,5.50,0.00,0.00,16.00,41.50,0.00
specialblend_to_cont_upside_skep,baseline,lexicographicMaximin,0.00,96.00,4.00,0.00,0.00,0.00,0.00,0.00
specialblend_to_cont_upside_skep,new_version,nashBargaining,17.00,17.56,4.06,14.55,0.00,15.91,30.91,0.00
specialblend_to_cont_upside_skep,new_version,credenceWeighted,17.00,17.56,4.06,14.55,0.00,15.91,30.91,0.00
specialblend_to_cont_upside_skep,new_version,mec,17.00,29.00,3.00,0.00,0.00,16.00,35.00,0.00
specialblend_to_cont_upside_skep,new_version,met,7.00,67.00,6.00,0.00,0.00,16.00,4.00,0.00
specialblend_to_cont_upside_skep,new_version,splitCycle,17.00,23.00,3.00,0.00,0.00,16.00,41.00,0.00
specialblend_to_cont_upside_skep,new_version,borda,17.00,23.00,3.00,0.00,0.00,16.00,41.00,0.00
specialblend_to_cont_upside_skep,new_version,lexicographicMaximin,0.00,99.00,1.00,0.00,0.00,0.00,0.00,0.00
specialblend_to_downside_critical,baseline,nashBargaining,10.50,15.30,6.20,34.95,2.80,15.45,7.60,7.20
specialblend_to_downside_critical,baseline,credenceWeighted,10.50,15.30,6.20,34.95,2.80,15.45,7.60,7.20
specialblend_to_downside_critical,baseline,mec,17.00,0.00,1.00,0.00,15.00,16.00,32.00,19.00
specialblend_to_downside_critical,baseline,met,17.00,11.00,2.00,6.00,2.00,16.00,42.00,4.00
specialblend_to_downside_critical,baseline,splitCycle,17.00,20.10,5.60,0.00,0.10,16.00,41.10,0.10
specialblend_to_downside_critical,baseline,borda,17.00,20.00,5.50,0.00,0.00,16.00,41.50,0.00
specialblend_to_downside_critical,baseline,lexicographicMaximin,0.00,96.00,4.00,0.00,0.00,0.00,0.00,0.00
specialblend_to_downside_critical,new_version,nashBargaining,16.34,13.89,8.14,0.00,15.00,15.79,11.84,19.00
specialblend_to_downside_critical,new_version,credenceWeighted,16.34,13.89,8.14,0.00,15.00,15.79,11.84,19.00
specialblend_to_downside_critical,new_version,mec,17.00,0.00,1.00,0.00,15.00,16.00,32.00,19.00
specialblend_to_downside_critical,new_version,met,17.00,12.00,7.00,0.00,15.00,16.00,14.00,19.00
specialblend_to_downside_critical,new_version,splitCycle,17.00,0.00,0.00,0.00,15.00,16.00,33.00,19.00
specialblend_to_downside_critical,new_version,borda,17.00,0.17,4.67,0.00,15.00,16.00,28.17,19.00
specialblend_to_downside_critical,new_version,lexicographicMaximin,0.00,96.00,4.00,0.00,0.00,0.00,0.00,0.00
specialblend_to_combined,baseline,nashBargaining,10.50,15.30,6.20,34.95,2.80,15.45,7.60,7.20
specialblend_to_combined,baseline,credenceWeighted,10.50,15.30,6.20,34.95,2.80,15.45,7.60,7.20
specialblend_to_combined,baseline,mec,17.00,0.00,1.00,0.00,15.00,16.00,32.00,19.00
specialblend_to_combined,baseline,met,17.00,11.00,2.00,6.00,2.00,16.00,42.00,4.00
specialblend_to_combined,baseline,splitCycle,17.00,20.10,5.60,0.00,0.10,16.00,41.10,0.10
specialblend_to_combined,baseline,borda,17.00,20.00,5.50,0.00,0.00,16.00,41.50,0.00
specialblend_to_combined,baseline,lexicographicMaximin,0.00,96.00,4.00,0.00,0.00,0.00,0.00,0.00
specialblend_to_combined,new_version,nashBargaining,16.60,29.35,5.80,0.00,0.00,15.95,32.30,0.00
specialblend_to_combined,new_version,credenceWeighted,16.60,29.35,5.80,0.00,0.00,15.95,32.30,0.00
specialblend_to_combined,new_version,mec,17.00,30.00,3.00,0.00,0.00,16.00,34.00,0.00
specialblend_to_combined,new_version,met,17.00,50.00,4.00,0.00,0.00,16.00,13.00,0.00
specialblend_to_combined,new_version,splitCycle,17.00,22.00,4.00,0.00,0.00,16.00,41.00,0.00
specialblend_to_combined,new_version,borda,17.00,23.00,4.00,0.00,0.00,16.00,40.00,0.00
specialblend_to_combined,new_version,lexicographicMaximin,0.00,99.00,1.00,0.00,0.00,0.00,0.00,0.00
neutral_to_wlu_5,baseline,nashBargaining,3.75,0.00,0.00,83.30,0.65,10.05,1.35,0.90
neutral_to_wlu_5,baseline,credenceWeighted,3.75,0.00,0.00,83.30,0.65,10.05,1.35,0.90
neutral_to_wlu_5,baseline,mec,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00
neutral_to_wlu_5,baseline,met,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00
neutral_to_wlu_5,baseline,splitCycle,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00
neutral_to_wlu_5,baseline,borda,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00
neutral_to_wlu_5,baseline,lexicographicMaximin,0.00,54.00,4.00,42.00,0.00,0.00,0.00,0.00
neutral_to_wlu_5,new_version,nashBargaining,16.76,26.61,8.26,0.00,0.00,16.00,32.36,0.00
neutral_to_wlu_5,new_version,credenceWeighted,16.76,26.61,8.26,0.00,0.00,16.00,32.36,0.00
