test,sensitivity_index,ca_sensitivity_index,ea_awf_delta,givewell_delta,leaf_delta,longview_ai_delta,longview_nuclear_delta,navigation_fund_cagefree_delta,navigation_fund_general_delta,sentinel_bio_delta
neutral_to_combined,90.1525,90.1525,14.30,30.80,5.02,-89.14,-0.42,9.43,30.60,-0.59
neutral_to_wlu_5,90.1485,90.1485,13.41,30.01,7.49,-89.14,-0.42,9.47,29.77,-0.58
neutral_to_wlu_10,90.1485,90.1485,13.45,31.10,6.66,-89.14,-0.42,9.47,29.46,-0.58
neutral_to_downside_critical,89.1450,56.1525,14.13,10.23,6.23,-89.14,14.58,9.33,16.22,18.41
neutral_to_cont_upside_skep,80.6950,80.6950,13.56,24.77,3.99,-79.69,-0.42,9.41,28.97,-0.59
specialblend_to_neutral,65.8275,54.6190,-10.34,-13.05,-4.94,65.83,-3.86,-9.11,-17.18,-7.35
specialblend_to_combined,35.5335,35.5335,3.96,17.74,0.08,-23.32,-4.28,0.33,13.42,-7.94
specialblend_to_wlu_5,35.5295,35.5295,3.07,16.96,2.55,-23.32,-4.28,0.36,12.59,-7.94
specialblend_to_wlu_10,35.5295,35.5295,3.12,18.05,1.72,-23.32,-4.28,0.36,12.28,-7.94
specialblend_to_downside_critical,27.0973,3.0583,3.80,-2.82,1.30,-23.32,10.72,0.22,-0.96,11.06
specialblend_to_cont_upside_skep,27.0234,26.0760,3.22,11.71,-0.95,-13.86,-4.28,0.30,11.79,-7.94
