test,project_id,base_alloc,new_alloc,alloc_delta,base_rank,new_rank,rank_delta
specialblend_to_neutral,ea_awf,12.78,2.44,-10.34,5,3,2
specialblend_to_neutral,givewell,12.95,0.00,-12.95,4,7,-3
specialblend_to_neutral,leaf,4.94,0.00,-4.94,7,8,-1
specialblend_to_neutral,longview_ai,23.22,89.14,65.93,1,1,0
specialblend_to_neutral,longview_nuclear,3.82,0.42,-3.40,8,6,2
specialblend_to_neutral,navigation_fund_cagefree,15.64,6.53,-9.11,3,2,1
specialblend_to_neutral,navigation_fund_general,18.06,0.88,-17.18,2,4,-2
specialblend_to_neutral,sentinel_bio,8.59,0.59,-8.01,6,5,1
specialblend_to_wlu_5,ea_awf,12.78,15.85,3.07,5,4,1
specialblend_to_wlu_5,givewell,12.95,30.01,17.06,4,2,2
specialblend_to_wlu_5,leaf,4.94,7.49,2.55,7,5,2
specialblend_to_wlu_5,longview_ai,23.22,0.00,-23.22,1,8,-7
specialblend_to_wlu_5,longview_nuclear,3.82,0.00,-3.82,8,7,1
specialblend_to_wlu_5,navigation_fund_cagefree,15.64,16.00,0.36,3,3,0
specialblend_to_wlu_5,navigation_fund_general,18.06,30.65,12.59,2,1,1
specialblend_to_wlu_5,sentinel_bio,8.59,0.00,-8.59,6,6,0
specialblend_to_wlu_10,ea_awf,12.78,15.89,3.12,5,4,1
specialblend_to_wlu_10,givewell,12.95,31.10,18.15,4,1,3
specialblend_to_wlu_10,leaf,4.94,6.66,1.72,7,5,2
specialblend_to_wlu_10,longview_ai,23.22,0.00,-23.22,1,8,-7
specialblend_to_wlu_10,longview_nuclear,3.82,0.00,-3.82,8,7,1
specialblend_to_wlu_10,navigation_fund_cagefree,15.64,16.00,0.36,3,3,0
specialblend_to_wlu_10,navigation_fund_general,18.06,30.34,12.28,2,2,0
specialblend_to_wlu_10,sentinel_bio,8.59,0.00,-8.59,6,6,0
specialblend_to_cont_upside_skep,ea_awf,12.78,16.00,3.22,5,3,2
specialblend_to_cont_upside_skep,givewell,12.95,24.77,11.81,4,2,2
specialblend_to_cont_upside_skep,leaf,4.94,3.99,-0.95,7,6,1
specialblend_to_cont_upside_skep,longview_ai,23.22,9.46,-13.76,1,5,-4
specialblend_to_cont_upside_skep,longview_nuclear,3.82,0.00,-3.82,8,8,0
specialblend_to_cont_upside_skep,navigation_fund_cagefree,15.64,15.94,0.30,3,4,-1
specialblend_to_cont_upside_skep,navigation_fund_general,18.06,29.84,11.79,2,1,1
specialblend_to_cont_upside_skep,sentinel_bio,8.59,0.00,-8.59,6,7,-1
specialblend_to_bilateral_skep,ea_awf,12.78,2.24,-10.53,5,3,2
specialblend_to_bilateral_skep,givewell,12.95,0.00,-12.95,4,5,-1
specialblend_to_bilateral_skep,leaf,4.94,0.00,-4.94,7,8,-1
specialblend_to_bilateral_skep,longview_ai,23.22,90.02,66.80,1,1,0
specialblend_to_bilateral_skep,longview_nuclear,3.82,0.00,-3.82,8,7,1
specialblend_to_bilateral_skep,navigation_fund_cagefree,15.64,6.86,-8.78,3,2,1
specialblend_to_bilateral_skep,navigation_fund_general,18.06,0.88,-17.18,2,4,-2
specialblend_to_bilateral_skep,sentinel_bio,8.59,0.00,-8.59,6,6,0
specialblend_to_downside_critical,ea_awf,12.78,16.49,3.71,5,3,2
specialblend_to_downside_critical,givewell,12.95,10.21,-2.74,4,6,-2
specialblend_to_downside_critical,leaf,4.94,6.21,1.28,7,7,0
specialblend_to_downside_critical,longview_ai,23.22,0.00,-23.22,1,8,-7
specialblend_to_downside_critical,longview_nuclear,3.82,15.00,11.18,8,5,3
specialblend_to_downside_critical,navigation_fund_cagefree,15.64,15.75,0.10,3,4,-1
specialblend_to_downside_critical,navigation_fund_general,18.06,17.34,-0.72,2,2,0
specialblend_to_downside_critical,sentinel_bio,8.59,19.00,10.41,6,1,5
specialblend_to_combined,ea_awf,12.78,16.74,3.96,5,3,2
specialblend_to_combined,givewell,12.95,30.50,17.54,4,2,2
specialblend_to_combined,leaf,4.94,4.82,-0.12,7,5,2
specialblend_to_combined,longview_ai,23.22,0.00,-23.22,1,8,-7
specialblend_to_combined,longview_nuclear,3.82,0.00,-3.82,8,7,1
specialblend_to_combined,navigation_fund_cagefree,15.64,15.97,0.33,3,4,-1
specialblend_to_combined,navigation_fund_general,18.06,31.98,13.92,2,1,1
specialblend_to_combined,sentinel_bio,8.59,0.00,-8.59,6,6,0
neutral_to_cont_upside_skep,ea_awf,2.44,16.00,13.56,3,3,0
neutral_to_cont_upside_skep,givewell,0.00,24.77,24.77,7,2,5
neutral_to_cont_upside_skep,leaf,0.00,3.99,3.99,8,6,2
neutral_to_cont_upside_skep,longview_ai,89.14,9.46,-79.69,1,5,-4
neutral_to_cont_upside_skep,longview_nuclear,0.42,0.00,-0.42,6,8,-2
neutral_to_cont_upside_skep,navigation_fund_cagefree,6.53,15.94,9.41,2,4,-2
neutral_to_cont_upside_skep,navigation_fund_general,0.88,29.84,28.97,4,1,3
neutral_to_cont_upside_skep,sentinel_bio,0.59,0.00,-0.59,5,7,-2
neutral_to_bilateral_skep,ea_awf,2.44,2.24,-0.19,3,3,0
neutral_to_bilateral_skep,givewell,0.00,0.00,0.00,7,5,2
neutral_to_bilateral_skep,leaf,0.00,0.00,0.00,8,8,0
neutral_to_bilateral_skep,longview_ai,89.14,90.02,0.88,1,1,0
neutral_to_bilateral_skep,longview_nuclear,0.42,0.00,-0.42,6,7,-1
neutral_to_bilateral_skep,navigation_fund_cagefree,6.53,6.86,0.32,2,2,0
neutral_to_bilateral_skep,navigation_fund_general,0.88,0.88,0.00,4,4,0
neutral_to_bilateral_skep,sentinel_bio,0.59,0.00,-0.59,5,6,-1
neutral_to_downside_critical,ea_awf,2.44,16.49,14.05,3,3,0
neutral_to_downside_critical,givewell,0.00,10.21,10.21,7,6,1
neutral_to_downside_critical,leaf,0.00,6.21,6.21,8,7,1
neutral_to_downside_critical,longview_ai,89.14,0.00,-89.14,1,8,-7
neutral_to_downside_critical,longview_nuclear,0.42,15.00,14.58,6,5,1
neutral_to_downside_critical,navigation_fund_cagefree,6.53,15.75,9.21,2,4,-2
neutral_to_downside_critical,navigation_fund_general,0.88,17.34,16.46,4,2,2
neutral_to_downside_critical,sentinel_bio,0.59,19.00,18.41,5,1,4
neutral_to_combined,ea_awf,2.44,16.74,14.30,3,3,0
neutral_to_combined,givewell,0.00,30.50,30.50,7,2,5
neutral_to_combined,leaf,0.00,4.82,4.82,8,5,3
neutral_to_combined,longview_ai,89.14,0.00,-89.14,1,8,-7
neutral_to_combined,longview_nuclear,0.42,0.00,-0.42,6,7,-1
neutral_to_combined,navigation_fund_cagefree,6.53,15.97,9.43,2,4,-2
neutral_to_combined,navigation_fund_general,0.88,31.98,31.10,4,1,3
neutral_to_combined,sentinel_bio,0.59,0.00,-0.59,5,6,-1
