test,sensitivity_index,most_affected_fund,most_affected_delta,ea_awf_base,ea_awf_new,ea_awf_delta,givewell_base,givewell_new,givewell_delta,leaf_base,leaf_new,leaf_delta,longview_ai_base,longview_ai_new,longview_ai_delta,longview_nuclear_base,longview_nuclear_new,longview_nuclear_delta,navigation_fund_cagefree_base,navigation_fund_cagefree_new,navigation_fund_cagefree_delta,navigation_fund_general_base,navigation_fund_general_new,navigation_fund_general_delta,sentinel_bio_base,sentinel_bio_new,sentinel_bio_delta
neutral_to_combined,90.1525,longview_ai,-89.14,2.44,16.74,14.30,0.00,30.50,30.50,0.00,4.82,4.82,89.14,0.00,-89.14,0.42,0.00,-0.42,6.53,15.97,9.43,0.88,31.98,31.10,0.59,0.00,-0.59
neutral_to_downside_critical,89.1450,longview_ai,-89.14,2.44,16.49,14.05,0.00,10.21,10.21,0.00,6.21,6.21,89.14,0.00,-89.14,0.42,15.00,14.58,6.53,15.75,9.21,0.88,17.34,16.46,0.59,19.00,18.41
neutral_to_cont_upside_skep,80.6950,longview_ai,-79.69,2.44,16.00,13.56,0.00,24.77,24.77,0.00,3.99,3.99,89.14,9.46,-79.69,0.42,0.00,-0.42,6.53,15.94,9.41,0.88,29.84,28.97,0.59,0.00,-0.59
specialblend_to_bilateral_skep,66.8050,longview_ai,66.80,12.78,2.24,-10.53,12.95,0.00,-12.95,4.94,0.00,-4.94,23.22,90.02,66.80,3.82,0.00,-3.82,15.64,6.86,-8.78,18.06,0.88,-17.18,8.59,0.00,-8.59
specialblend_to_neutral,65.9275,longview_ai,65.93,12.78,2.44,-10.34,12.95,0.00,-12.95,4.94,0.00,-4.94,23.22,89.14,65.93,3.82,0.42,-3.40,15.64,6.53,-9.11,18.06,0.88,-17.18,8.59,0.59,-8.01
specialblend_to_combined,35.7515,longview_ai,-23.22,12.78,16.74,3.96,12.95,30.50,17.54,4.94,4.82,-0.12,23.22,0.00,-23.22,3.82,0.00,-3.82,15.64,15.97,0.33,18.06,31.98,13.92,8.59,0.00,-8.59
specialblend_to_wlu_5,35.6295,longview_ai,-23.22,12.78,15.85,3.07,12.95,30.01,17.06,4.94,7.49,2.55,23.22,0.00,-23.22,3.82,0.00,-3.82,15.64,16.00,0.36,18.06,30.65,12.59,8.59,0.00,-8.59
specialblend_to_wlu_10,35.6295,longview_ai,-23.22,12.78,15.89,3.12,12.95,31.10,18.15,4.94,6.66,1.72,23.22,0.00,-23.22,3.82,0.00,-3.82,15.64,16.00,0.36,18.06,30.34,12.28,8.59,0.00,-8.59
specialblend_to_cont_upside_skep,27.1234,longview_ai,-13.76,12.78,16.00,3.22,12.95,24.77,11.81,4.94,3.99,-0.95,23.22,9.46,-13.76,3.82,0.00,-3.82,15.64,15.94,0.30,18.06,29.84,11.79,8.59,0.00,-8.59
specialblend_to_downside_critical,26.6763,longview_ai,-23.22,12.78,16.49,3.71,12.95,10.21,-2.74,4.94,6.21,1.28,23.22,0.00,-23.22,3.82,15.00,11.18,15.64,15.75,0.10,18.06,17.34,-0.72,8.59,19.00,10.41
neutral_to_bilateral_skep,1.2025,longview_ai,0.88,2.44,2.24,-0.19,0.00,0.00,0.00,0.00,0.00,0.00,89.14,90.02,0.88,0.42,0.00,-0.42,6.53,6.86,0.32,0.88,0.88,0.00,0.59,0.00,-0.59
