scenario_group,multiplier,ghd,gcr,aw,diff_ghd,diff_gcr,diff_aw
baseline,1.0,18.1910,35.3335,46.4755,0.0000,0.0000,0.0000
discount 500+,0.1,18.1910,35.3335,46.4755,0.0000,0.0000,0.0000
discount 500+,0.01,18.1910,35.3335,46.4755,0.0000,0.0000,0.0000
discount 500+,0.001,18.1910,35.3335,46.4755,0.0000,0.0000,0.0000
discount 500+,1e-7,18.1910,35.3335,46.4755,0.0000,0.0000,0.0000
discount 500+,1e-8,18.1910,35.3335,46.4755,0.0000,0.0000,0.0000
discount 500+,1e-9,18.3860,34.0335,47.5805,0.1950,-1.3000,1.1050
discount 500+,1e-10,19.1760,27.8485,52.9755,0.9850,-7.4850,6.5000
discount 500+,0,20.8808,20.2492,58.8700,2.6898,-15.0843,12.3945
discount 100-500 and 500+,0.1,18.1910,35.3335,46.4755,0.0000,0.0000,0.0000
discount 100-500 and 500+,0.01,18.1910,35.3335,46.4755,0.0000,0.0000,0.0000
discount 100-500 and 500+,0.001,18.1910,35.3335,46.4755,0.0000,0.0000,0.0000
discount 100-500 and 500+,1e-7,18.1910,35.3335,46.4755,0.0000,0.0000,0.0000
discount 100-500 and 500+,1e-8,18.1910,35.3335,46.4755,0.0000,0.0000,0.0000
discount 100-500 and 500+,1e-9,18.3860,34.0335,47.5805,0.1950,-1.3000,1.1050
discount 100-500 and 500+,1e-10,19.1760,27.8485,52.9755,0.9850,-7.4850,6.5000
discount 100-500 and 500+,0,23.8635,14.7610,61.3755,5.6725,-20.5725,14.9000
