scenario_group,multiplier,method,ea_awf,givewell,leaf,longview_ai,longview_nuclear,navigation_fund_cagefree,navigation_fund_general,sentinel_bio
baseline,1.0,nashBargaining,10.50,15.30,6.20,34.95,2.80,15.45,7.60,7.20
baseline,1.0,credenceWeighted,10.50,15.30,6.20,34.95,2.80,15.45,7.60,7.20
baseline,1.0,mec,17.00,0.00,1.00,0.00,15.00,16.00,32.00,19.00
baseline,1.0,met,17.00,11.00,2.00,6.00,2.00,16.00,42.00,4.00
baseline,1.0,splitCycle,17.00,20.10,5.60,0.00,0.10,16.00,41.10,0.10
baseline,1.0,borda,17.00,20.00,5.50,0.00,0.00,16.00,41.50,0.00
baseline,1.0,lexicographicMaximin,0.00,96.00,4.00,0.00,0.00,0.00,0.00,0.00
discount 500+,0.1,nashBargaining,10.50,15.30,6.20,34.95,2.80,15.45,7.60,7.20
discount 500+,0.1,credenceWeighted,10.50,15.30,6.20,34.95,2.80,15.45,7.60,7.20
discount 500+,0.1,mec,17.00,0.00,1.00,0.00,15.00,16.00,32.00,19.00
discount 500+,0.1,met,17.00,11.00,2.00,6.00,2.00,16.00,42.00,4.00
discount 500+,0.1,splitCycle,17.00,20.10,5.60,0.00,0.10,16.00,41.10,0.10
discount 500+,0.1,borda,17.00,20.00,5.50,0.00,0.00,16.00,41.50,0.00
discount 500+,0.1,lexicographicMaximin,0.00,96.00,4.00,0.00,0.00,0.00,0.00,0.00
discount 500+,0.01,nashBargaining,10.50,15.30,6.20,34.95,2.80,15.45,7.60,7.20
discount 500+,0.01,credenceWeighted,10.50,15.30,6.20,34.95,2.80,15.45,7.60,7.20
discount 500+,0.01,mec,17.00,0.00,1.00,0.00,15.00,16.00,32.00,19.00
discount 500+,0.01,met,17.00,11.00,2.00,6.00,2.00,16.00,42.00,4.00
discount 500+,0.01,splitCycle,17.00,20.10,5.60,0.00,0.10,16.00,41.10,0.10
discount 500+,0.01,borda,17.00,20.00,5.50,0.00,0.00,16.00,41.50,0.00
discount 500+,0.01,lexicographicMaximin,0.00,96.00,4.00,0.00,0.00,0.00,0.00,0.00
discount 500+,0.001,nashBargaining,10.50,15.30,6.20,34.95,2.80,15.45,7.60,7.20
discount 500+,0.001,credenceWeighted,10.50,15.30,6.20,34.95,2.80,15.45,7.60,7.20
discount 500+,0.001,mec,17.00,0.00,1.00,0.00,15.00,16.00,32.00,19.00
discount 500+,0.001,met,17.00,11.00,2.00,6.00,2.00,16.00,42.00,4.00
discount 500+,0.001,splitCycle,17.00,20.10,5.60,0.00,0.10,16.00,41.10,0.10
discount 500+,0.001,borda,17.00,20.00,5.50,0.00,0.00,16.00,41.50,0.00
discount 500+,0.001,lexicographicMaximin,0.00,96.00,4.00,0.00,0.00,0.00,0.00,0.00
discount 500+,1e-7,nashBargaining,10.50,15.30,6.20,34.95,2.80,15.45,7.60,7.20
discount 500+,1e-7,credenceWeighted,10.50,15.30,6.20,34.95,2.80,15.45,7.60,7.20
discount 500+,1e-7,mec,17.00,0.00,1.00,0.00,15.00,16.00,32.00,19.00
discount 500+,1e-7,met,17.00,11.00,2.00,6.00,2.00,16.00,42.00,4.00
discount 500+,1e-7,splitCycle,17.00,20.10,5.60,0.00,0.10,16.00,41.10,0.10
discount 500+,1e-7,borda,17.00,20.00,5.50,0.00,0.00,16.00,41.50,0.00
discount 500+,1e-7,lexicographicMaximin,0.00,96.00,4.00,0.00,0.00,0.00,0.00,0.00
discount 500+,1e-8,nashBargaining,10.50,15.30,6.20,34.95,2.80,15.45,7.60,7.20
discount 500+,1e-8,credenceWeighted,10.50,15.30,6.20,34.95,2.80,15.45,7.60,7.20
discount 500+,1e-8,mec,17.00,0.00,1.00,0.00,15.00,16.00,32.00,19.00
discount 500+,1e-8,met,17.00,11.00,2.00,6.00,2.00,16.00,42.00,4.00
discount 500+,1e-8,splitCycle,17.00,20.10,5.60,0.00,0.10,16.00,41.10,0.10
discount 500+,1e-8,borda,17.00,20.00,5.50,0.00,0.00,16.00,41.50,0.00
discount 500+,1e-8,lexicographicMaximin,0.00,96.00,4.00,0.00,0.00,0.00,0.00,0.00
discount 500+,1e-9,nashBargaining,10.90,15.30,6.30,34.95,2.60,15.45,7.90,6.60
discount 500+,1e-9,credenceWeighted,10.90,15.30,6.30,34.95,2.60,15.45,7.90,6.60
discount 500+,1e-9,mec,17.00,0.00,1.00,0.00,15.00,16.00,32.00,19.00
discount 500+,1e-9,met,17.00,11.00,2.00,6.00,2.00,16.00,42.00,4.00
discount 500+,1e-9,splitCycle,17.00,20.10,5.60,0.00,0.10,16.00,41.10,0.10
discount 500+,1e-9,borda,17.00,20.00,5.50,0.00,0.00,16.00,41.50,0.00
discount 500+,1e-9,lexicographicMaximin,0.00,96.00,4.00,0.00,0.00,0.00,0.00,0.00
discount 500+,1e-10,nashBargaining,16.10,15.75,6.65,33.85,0.00,15.70,11.95,0.00
discount 500+,1e-10,credenceWeighted,16.10,15.75,6.65,33.85,0.00,15.70,11.95,0.00
discount 500+,1e-10,mec,17.00,0.00,1.00,0.00,15.00,16.00,32.00,19.00
discount 500+,1e-10,met,17.00,17.00,2.00,6.00,0.00,16.00,42.00,0.00
discount 500+,1e-10,splitCycle,17.00,20.10,5.60,0.00,0.10,16.00,41.10,0.10
discount 500+,1e-10,borda,17.00,20.00,5.50,0.00,0.00,16.00,41.50,0.00
discount 500+,1e-10,lexicographicMaximin,0.00,96.00,4.00,0.00,0.00,0.00,0.00,0.00
discount 500+,0,nashBargaining,16.40,15.30,6.05,24.95,0.75,15.80,19.75,1.00
discount 500+,0,credenceWeighted,16.40,15.30,6.05,24.95,0.75,15.80,19.75,1.00
discount 500+,0,mec,17.00,14.00,5.00,0.00,5.00,16.00,36.00,7.00
discount 500+,0,met,17.00,17.00,2.00,6.00,0.00,16.00,42.00,0.00
discount 500+,0,splitCycle,17.00,14.75,5.58,0.17,2.17,16.00,41.42,2.92
discount 500+,0,borda,17.00,21.00,6.33,0.00,2.33,16.00,34.33,3.00
discount 500+,0,lexicographicMaximin,0.00,96.00,4.00,0.00,0.00,0.00,0.00,0.00
discount 100-500 and 500+,0.1,nashBargaining,10.50,15.30,6.20,34.95,2.80,15.45,7.60,7.20
discount 100-500 and 500+,0.1,credenceWeighted,10.50,15.30,6.20,34.95,2.80,15.45,7.60,7.20
discount 100-500 and 500+,0.1,mec,17.00,0.00,1.00,0.00,15.00,16.00,32.00,19.00
discount 100-500 and 500+,0.1,met,17.00,11.00,2.00,6.00,2.00,16.00,42.00,4.00
discount 100-500 and 500+,0.1,splitCycle,17.00,20.10,5.60,0.00,0.10,16.00,41.10,0.10
discount 100-500 and 500+,0.1,borda,17.00,20.00,5.50,0.00,0.00,16.00,41.50,0.00
discount 100-500 and 500+,0.1,lexicographicMaximin,0.00,96.00,4.00,0.00,0.00,0.00,0.00,0.00
discount 100-500 and 500+,0.01,nashBargaining,10.50,15.30,6.20,34.95,2.80,15.45,7.60,7.20
discount 100-500 and 500+,0.01,credenceWeighted,10.50,15.30,6.20,34.95,2.80,15.45,7.60,7.20
discount 100-500 and 500+,0.01,mec,17.00,0.00,1.00,0.00,15.00,16.00,32.00,19.00
discount 100-500 and 500+,0.01,met,17.00,11.00,2.00,6.00,2.00,16.00,42.00,4.00
discount 100-500 and 500+,0.01,splitCycle,17.00,20.10,5.60,0.00,0.10,16.00,41.10,0.10
discount 100-500 and 500+,0.01,borda,17.00,20.00,5.50,0.00,0.00,16.00,41.50,0.00
discount 100-500 and 500+,0.01,lexicographicMaximin,0.00,96.00,4.00,0.00,0.00,0.00,0.00,0.00
discount 100-500 and 500+,0.001,nashBargaining,10.50,15.30,6.20,34.95,2.80,15.45,7.60,7.20
discount 100-500 and 500+,0.001,credenceWeighted,10.50,15.30,6.20,34.95,2.80,15.45,7.60,7.20
discount 100-500 and 500+,0.001,mec,17.00,0.00,1.00,0.00,15.00,16.00,32.00,19.00
discount 100-500 and 500+,0.001,met,17.00,11.00,2.00,6.00,2.00,16.00,42.00,4.00
discount 100-500 and 500+,0.001,splitCycle,17.00,20.10,5.60,0.00,0.10,16.00,41.10,0.10
discount 100-500 and 500+,0.001,borda,17.00,20.00,5.50,0.00,0.00,16.00,41.50,0.00
discount 100-500 and 500+,0.001,lexicographicMaximin,0.00,96.00,4.00,0.00,0.00,0.00,0.00,0.00
discount 100-500 and 500+,1e-7,nashBargaining,10.50,15.30,6.20,34.95,2.80,15.45,7.60,7.20
discount 100-500 and 500+,1e-7,credenceWeighted,10.50,15.30,6.20,34.95,2.80,15.45,7.60,7.20
discount 100-500 and 500+,1e-7,mec,17.00,0.00,1.00,0.00,15.00,16.00,32.00,19.00
discount 100-500 and 500+,1e-7,met,17.00,11.00,2.00,6.00,2.00,16.00,42.00,4.00
discount 100-500 and 500+,1e-7,splitCycle,17.00,20.10,5.60,0.00,0.10,16.00,41.10,0.10
discount 100-500 and 500+,1e-7,borda,17.00,20.00,5.50,0.00,0.00,16.00,41.50,0.00
discount 100-500 and 500+,1e-7,lexicographicMaximin,0.00,96.00,4.00,0.00,0.00,0.00,0.00,0.00
discount 100-500 and 500+,1e-8,nashBargaining,10.50,15.30,6.20,34.95,2.80,15.45,7.60,7.20
discount 100-500 and 500+,1e-8,credenceWeighted,10.50,15.30,6.20,34.95,2.80,15.45,7.60,7.20
discount 100-500 and 500+,1e-8,mec,17.00,0.00,1.00,0.00,15.00,16.00,32.00,19.00
discount 100-500 and 500+,1e-8,met,17.00,11.00,2.00,6.00,2.00,16.00,42.00,4.00
discount 100-500 and 500+,1e-8,splitCycle,17.00,20.10,5.60,0.00,0.10,16.00,41.10,0.10
discount 100-500 and 500+,1e-8,borda,17.00,20.00,5.50,0.00,0.00,16.00,41.50,0.00
discount 100-500 and 500+,1e-8,lexicographicMaximin,0.00,96.00,4.00,0.00,0.00,0.00,0.00,0.00
discount 100-500 and 500+,1e-9,nashBargaining,10.90,15.30,6.30,34.95,2.60,15.45,7.90,6.60
discount 100-500 and 500+,1e-9,credenceWeighted,10.90,15.30,6.30,34.95,2.60,15.45,7.90,6.60
discount 100-500 and 500+,1e-9,mec,17.00,0.00,1.00,0.00,15.00,16.00,32.00,19.00
discount 100-500 and 500+,1e-9,met,17.00,11.00,2.00,6.00,2.00,16.00,42.00,4.00
discount 100-500 and 500+,1e-9,splitCycle,17.00,20.10,5.60,0.00,0.10,16.00,41.10,0.10
discount 100-500 and 500+,1e-9,borda,17.00,20.00,5.50,0.00,0.00,16.00,41.50,0.00
discount 100-500 and 500+,1e-9,lexicographicMaximin,0.00,96.00,4.00,0.00,0.00,0.00,0.00,0.00
discount 100-500 and 500+,1e-10,nashBargaining,16.10,15.75,6.65,33.85,0.00,15.70,11.95,0.00
discount 100-500 and 500+,1e-10,credenceWeighted,16.10,15.75,6.65,33.85,0.00,15.70,11.95,0.00
discount 100-500 and 500+,1e-10,mec,17.00,0.00,1.00,0.00,15.00,16.00,32.00,19.00
discount 100-500 and 500+,1e-10,met,17.00,17.00,2.00,6.00,0.00,16.00,42.00,0.00
discount 100-500 and 500+,1e-10,splitCycle,17.00,20.10,5.60,0.00,0.10,16.00,41.10,0.10
discount 100-500 and 500+,1e-10,borda,17.00,20.00,5.50,0.00,0.00,16.00,41.50,0.00
discount 100-500 and 500+,1e-10,lexicographicMaximin,0.00,96.00,4.00,0.00,0.00,0.00,0.00,0.00
discount 100-500 and 500+,0,nashBargaining,16.50,16.50,6.65,21.30,0.00,15.85,23.20,0.00
discount 100-500 and 500+,0,credenceWeighted,16.50,16.50,6.65,21.30,0.00,15.85,23.20,0.00
discount 100-500 and 500+,0,mec,17.00,23.00,6.00,0.00,1.00,16.00,36.00,1.00
discount 100-500 and 500+,0,met,17.00,17.00,2.00,6.00,0.00,16.00,42.00,0.00
discount 100-500 and 500+,0,splitCycle,17.00,20.10,5.60,0.00,0.10,16.00,41.10,0.10
discount 100-500 and 500+,0,borda,17.00,19.17,5.67,0.17,0.17,16.00,41.67,0.17
discount 100-500 and 500+,0,lexicographicMaximin,0.00,96.00,4.00,0.00,0.00,0.00,0.00,0.00
