scenario_group,multiplier,recipient_fund,weighted_allocation_pct,allocation_diff_pp,nashBargaining,credenceWeighted,mec,met,splitCycle,borda
baseline,1.0,ea_awf,12.7750,0.0000,10.5000,10.5000,17.0000,17.0000,17.0000,17.0000
baseline,1.0,givewell,12.9530,0.0000,15.3000,15.3000,0.0000,10.0000,20.1000,20.0000
baseline,1.0,leaf,4.9380,0.0000,6.2000,6.2000,1.0000,2.0000,5.6000,5.5000
baseline,1.0,longview_ai,23.2175,0.0000,34.9500,34.9500,0.0000,5.0000,0.0000,0.0000
baseline,1.0,longview_nuclear,3.8230,0.0000,2.1000,2.1000,15.0000,2.0000,0.1000,0.0000
baseline,1.0,navigation_fund_cagefree,15.6425,0.0000,15.4500,15.4500,16.0000,16.0000,16.0000,16.0000
baseline,1.0,navigation_fund_general,18.0580,0.0000,7.6000,7.6000,32.0000,42.0000,41.1000,41.5000
baseline,1.0,sentinel_bio,8.5930,0.0000,7.9000,7.9000,19.0000,6.0000,0.1000,0.0000
discount 500+,0.1,ea_awf,12.7750,0.0000,10.5000,10.5000,17.0000,17.0000,17.0000,17.0000
discount 500+,0.1,givewell,12.9530,0.0000,15.3000,15.3000,0.0000,10.0000,20.1000,20.0000
discount 500+,0.1,leaf,4.9380,0.0000,6.2000,6.2000,1.0000,2.0000,5.6000,5.5000
discount 500+,0.1,longview_ai,23.2175,0.0000,34.9500,34.9500,0.0000,5.0000,0.0000,0.0000
discount 500+,0.1,longview_nuclear,3.8230,0.0000,2.1000,2.1000,15.0000,2.0000,0.1000,0.0000
discount 500+,0.1,navigation_fund_cagefree,15.6425,0.0000,15.4500,15.4500,16.0000,16.0000,16.0000,16.0000
discount 500+,0.1,navigation_fund_general,18.0580,0.0000,7.6000,7.6000,32.0000,42.0000,41.1000,41.5000
discount 500+,0.1,sentinel_bio,8.5930,0.0000,7.9000,7.9000,19.0000,6.0000,0.1000,0.0000
discount 500+,0.01,ea_awf,12.7750,0.0000,10.5000,10.5000,17.0000,17.0000,17.0000,17.0000
discount 500+,0.01,givewell,12.9530,0.0000,15.3000,15.3000,0.0000,10.0000,20.1000,20.0000
discount 500+,0.01,leaf,4.9380,0.0000,6.2000,6.2000,1.0000,2.0000,5.6000,5.5000
discount 500+,0.01,longview_ai,23.2175,0.0000,34.9500,34.9500,0.0000,5.0000,0.0000,0.0000
discount 500+,0.01,longview_nuclear,3.8230,0.0000,2.1000,2.1000,15.0000,2.0000,0.1000,0.0000
