scenario_group,multiplier,sensitivity_index,cluster_si,diff_ea_awf,diff_givewell,diff_leaf,diff_longview_ai,diff_longview_nuclear,diff_navigation_fund_cagefree,diff_navigation_fund_general,diff_sentinel_bio
baseline,1.0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
discount 500+,0.1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
discount 500+,0.01,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
discount 500+,0.001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
discount 500+,1e-7,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
discount 500+,1e-8,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
discount 500+,1e-9,0.5200,0.5200,0.2600,0.0000,0.0650,0.0000,-0.1300,0.0000,0.1950,-0.3900
discount 500+,1e-10,7.8150,7.8150,3.6400,0.8925,0.2925,-0.7150,-2.0200,0.1625,2.8275,-5.0800
discount 500+,0,15.2518,15.2518,3.8350,2.2920,0.5178,-6.4867,-2.8205,0.2275,8.3795,-5.9447
discount 100-500 and 500+,0.1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
discount 100-500 and 500+,0.01,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
discount 100-500 and 500+,0.001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
discount 100-500 and 500+,1e-7,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
discount 100-500 and 500+,1e-8,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
discount 100-500 and 500+,1e-9,0.5200,0.5200,0.2600,0.0000,0.0650,0.0000,-0.1300,0.0000,0.1950,-0.3900
discount 100-500 and 500+,1e-10,7.8150,7.8150,3.6400,0.8925,0.2925,-0.7150,-2.0200,0.1625,2.8275,-5.0800
discount 100-500 and 500+,0,20.7625,20.7625,3.9000,4.8133,1.0458,-8.8692,-4.1167,0.2600,10.7433,-7.7767
