worldview,ghd,gcr,aw
Total Utilitarianism — Default,0.00,100.00,0.00
"Total Utilitarianism — Person-Affecting/Cluelessness, Sentience-only discounts, Empirical disbelief in upside scenarios",19.00,6.00,75.00
Total Utilitarianism — Weighted Linear Utility,25.00,0.00,75.00
"Total Utilitarianism — High life value, risk averse, and skeptical of upside cases",25.00,0.00,75.00
"Total Utilitarianism — Suffering forward, clueless, and only sentience discount",0.00,25.00,75.00
Non-Utilitarian Consequentialism — Default,0.00,100.00,0.00
Non-Utilitarian Consequentialism — High Life Value / Cluelessness / Low animals,0.00,100.00,0.00
Non-Utilitarian Consequentialism — Person-Affecting/Cluelessness,0.00,88.00,12.00
Non-Utilitarian Consequentialism — Weighted Linear Utility,72.00,0.00,28.00
Contractualism — Person-Affecting/Cluelessness and Animals Baseline,0.00,34.00,66.00
Contractualism — Person-Affecting/Cluelessness and Animals Baseline - Risk Neutral,0.00,100.00,0.00
Contractualism — Default + cluelessness,100.00,0.00,0.00
Kantianism — Low animals,100.00,0.00,0.00
Kantianism — Low animals / downside critical,100.00,0.00,0.00
