scenario,worldview,bound,credence_base,credence_scenario,fund_si,cluster_si,cross_cluster_share
Total Utilitarianism — Default_high,Total Utilitarianism — Default,high,0.1,0.25,27.3787,21.3327,0.7792
Non-Utilitarian Consequentialism — Default_high,Non-Utilitarian Consequentialism — Default,high,0.05,0.2,26.6662,21.1539,0.7933
Total Utilitarianism — Weighted Linear Utility_low,Total Utilitarianism — Weighted Linear Utility,low,0.1,0.05,13.8028,11.8872,0.8612
Contractualism — Person-Affecting/Cluelessness and Animals Baseline_high,Contractualism — Person-Affecting/Cluelessness and Animals Baseline,high,0.1,0.25,13.4453,9.1591,0.6812
Non-Utilitarian Consequentialism — Person-Affecting/Cluelessness_high,Non-Utilitarian Consequentialism — Person-Affecting/Cluelessness,high,0.05,0.2,11.9034,10.4912,0.8814
Contractualism — Default + cluelessness_high,Contractualism — Default + cluelessness,high,0.05,0.15,9.203,8.9933,0.9772
Kantianism — Low animals_high,Kantianism — Low animals,high,0.05,0.2,8.3848,8.3848,1.0
Kantianism — Low animals / downside critical_high,Kantianism — Low animals / downside critical,high,0.1,0.2,6.1534,6.1534,1.0
Contractualism — Person-Affecting/Cluelessness and Animals Baseline - Risk Neutral_high,Contractualism — Person-Affecting/Cluelessness and Animals Baseline - Risk Neutral,high,0.1,0.2,5.3299,5.3252,0.9991
Non-Utilitarian Consequentialism — High Life Value / Cluelessness / Low animals_high,Non-Utilitarian Consequentialism — High Life Value / Cluelessness / Low animals,high,0.05,0.15,5.2906,5.2906,1.0
Kantianism — Low animals / downside critical_low,Kantianism — Low animals / downside critical,low,0.1,0.01,5.0445,4.9722,0.9857
Total Utilitarianism — Weighted Linear Utility_high,Total Utilitarianism — Weighted Linear Utility,high,0.1,0.2,4.8621,4.6556,0.9575
Contractualism — Person-Affecting/Cluelessness and Animals Baseline - Risk Neutral_low,Contractualism — Person-Affecting/Cluelessness and Animals Baseline - Risk Neutral,low,0.1,0.01,4.7283,4.0943,0.8659
"Total Utilitarianism — Person-Affecting/Cluelessness, Sentience-only discounts, Empirical disbelief in upside scenarios_high","Total Utilitarianism — Person-Affecting/Cluelessness, Sentience-only discounts, Empirical disbelief in upside scenarios",high,0.1,0.2,4.6456,4.6456,1.0
"Total Utilitarianism — High life value, risk averse, and skeptical of upside cases_high","Total Utilitarianism — High life value, risk averse, and skeptical of upside cases",high,0.05,0.15,4.6336,4.4296,0.956
"Total Utilitarianism — Suffering forward, clueless, and only sentience discount_high","Total Utilitarianism — Suffering forward, clueless, and only sentience discount",high,0.05,0.15,4.4587,4.4587,1.0
Non-Utilitarian Consequentialism — Weighted Linear Utility_high,Non-Utilitarian Consequentialism — Weighted Linear Utility,high,0.05,0.15,3.5915,3.5915,1.0
Contractualism — Person-Affecting/Cluelessness and Animals Baseline_low,Contractualism — Person-Affecting/Cluelessness and Animals Baseline,low,0.1,0.05,3.566,1.9839,0.5563
Total Utilitarianism — Default_low,Total Utilitarianism — Default,low,0.1,0.05,2.849,2.5039,0.8789
"Total Utilitarianism — Person-Affecting/Cluelessness, Sentience-only discounts, Empirical disbelief in upside scenarios_low","Total Utilitarianism — Person-Affecting/Cluelessness, Sentience-only discounts, Empirical disbelief in upside scenarios",low,0.1,0.05,2.1931,2.1931,1.0
Contractualism — Default + cluelessness_low,Contractualism — Default + cluelessness,low,0.05,0.02,2.1021,1.7732,0.8435
Kantianism — Low animals_low,Kantianism — Low animals,low,0.05,0.01,2.0493,2.0068,0.9793
"Total Utilitarianism — Suffering forward, clueless, and only sentience discount_low","Total Utilitarianism — Suffering forward, clueless, and only sentience discount",low,0.05,0.02,1.3412,1.3299,0.9916
Non-Utilitarian Consequentialism — Default_low,Non-Utilitarian Consequentialism — Default,low,0.05,0.02,1.3352,1.146,0.8583
Non-Utilitarian Consequentialism — High Life Value / Cluelessness / Low animals_low,Non-Utilitarian Consequentialism — High Life Value / Cluelessness / Low animals,low,0.05,0.02,1.3352,1.114,0.8343
Non-Utilitarian Consequentialism — Person-Affecting/Cluelessness_low,Non-Utilitarian Consequentialism — Person-Affecting/Cluelessness,low,0.05,0.02,1.3198,1.1254,0.8527
"Total Utilitarianism — High life value, risk averse, and skeptical of upside cases_low","Total Utilitarianism — High life value, risk averse, and skeptical of upside cases",low,0.05,0.02,1.2944,1.1863,0.9165
Non-Utilitarian Consequentialism — Weighted Linear Utility_low,Non-Utilitarian Consequentialism — Weighted Linear Utility,low,0.05,0.02,1.2838,0.9227,0.7187
baseline,baseline,baseline,,,0.0,0.0,
